key,0
#,
int32,str
0,""
1,"連擊用技能。
使用時會按下列順序發動戰技。
如果連擊過程中未滿足戰技的發動條件，則回到第一個技能重新發動連擊。

1：<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>先鋒劍<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
2：<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>狂怒劍<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
3：<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>戰女神之怒<UIGlow>01</UIGlow><UIForeground>01</UIForeground>"
2,"連擊用技能。
使用時會按下列順序發動戰技。
如果連擊過程中未滿足戰技的發動條件，則回到第一個技能重新發動連擊。

1：<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>先鋒劍<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
2：<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>暴亂劍<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
3：<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>王權劍<UIGlow>01</UIGlow><UIForeground>01</UIForeground>

<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>※忠義之劍狀態中，變為贖罪劍。<UIGlow>01</UIGlow><UIForeground>01</UIForeground>"
3,"連擊用技能。
使用時會按下列順序發動戰技。
如果連擊過程中未滿足戰技的發動條件，則回到第一個技能重新發動連擊。

1：<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>重劈<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
2：<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>裂骨斬<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
3：<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>寒風斧<UIGlow>01</UIGlow><UIForeground>01</UIForeground>"
4,"連擊用技能。
使用時會按下列順序發動戰技。
如果連擊過程中未滿足戰技的發動條件，則回到第一個技能重新發動連擊。

1：<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>重劈<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
2：<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>凶殘裂<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
3：<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>暴風斬<UIGlow>01</UIGlow><UIForeground>01</UIForeground>"
5,"連擊用技能。
使用時會按下列順序發動戰技。
如果連擊過程中未滿足戰技的發動條件，則回到第一個技能重新發動連擊。

1：<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>重斬<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
2：<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>回環斬<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
3：<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>強力斬<UIGlow>01</UIGlow><UIForeground>01</UIForeground>"
6,"連擊用技能。
使用時會按下列順序發動戰技。
如果連擊過程中未滿足戰技的發動條件，則回到第一個技能重新發動連擊。

1：<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>重斬<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
2：<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>吸收斬<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
3：<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>噬魂斬<UIGlow>01</UIGlow><UIForeground>01</UIForeground>"
7,"連擊用技能。
使用時會按下列順序發動戰技。
如果連擊過程中未滿足戰技的發動條件，則回到第一個技能重新發動連擊。

1：<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>連擊<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
2：<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>正拳<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
3：<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>崩拳<UIGlow>01</UIGlow><UIForeground>01</UIForeground>"
8,"連擊用技能。
使用時會按下列順序發動戰技。
如果連擊過程中未滿足戰技的發動條件，則回到第一個技能重新發動連擊。

1：<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>雙龍腳<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
2：<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>雙掌打<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
3：<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>破碎拳<UIGlow>01</UIGlow><UIForeground>01</UIForeground>"
9,"連擊用技能。
使用時會按下列順序發動戰技。
如果連擊過程中未滿足戰技的發動條件，則回到第一個技能重新發動連擊。

1：<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>龍眼雷電<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
2：<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>直刺<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
3：<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>龍牙龍爪<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
4：<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>龍尾大迴旋<UIGlow>01</UIGlow><UIForeground>01</UIForeground>"
