key,0
#,Text
int32,str
0,""
1,"到達了阿巴拉提亞雲海的未知區域，即將向“<Sheet(AirshipExplorationPoint,IntegerParameter(1),0)/>”調整航線。"
2,"初次到達“<Sheet(AirshipExplorationPoint,IntegerParameter(1),0)/>”，即將開始探索。"
3,"到達“<Sheet(AirshipExplorationPoint,IntegerParameter(1),0)/>”，即將開始探索。"
4,"氣流安定，<Highlight>StringParameter(1)</Highlight>的“<Sheet(AirshipExplorationParamType,IntegerParameter(2),0)/>”滿足出發探索的要求。"
5,"檢測到強風，“<Sheet(AirshipExplorationParamType,IntegerParameter(2),0)/>”雖然滿足探索的要求，但會受到一定的影響。"
6,"檢測到強烈的湍流，“<Sheet(AirshipExplorationParamType,IntegerParameter(2),0)/>”雖然滿足探索的要求，但當前天氣進行探索十分困難。"
7,"氣流安定，“<Sheet(AirshipExplorationParamType,IntegerParameter(2),0)/>”沒有任何問題。"
8,"檢測到強風，“<Sheet(AirshipExplorationParamType,IntegerParameter(2),0)/>”雖然滿足探索的要求，但當前天氣進行探索十分困難。"
9,"“<Sheet(AirshipExplorationParamType,IntegerParameter(2),0)/>”處於不安定的狀態，不過仍然可以強行探索。"
10,"發現了包含優質成分的“<Sheet(Item,IntegerParameter(1),0)/>”，即將開始挑選回收物件。"
11,"發現了包含優質成分的“<Sheet(Item,IntegerParameter(1),0)/>”，即將開始進行回收。"
12,"檢測到“<Sheet(Item,IntegerParameter(1),0)/>”，即將開始進行回收。"
13,"檢測到“<Sheet(Item,IntegerParameter(1),0)/>”，即將開始進行回收。"
14,"充分利用了“<Sheet(AirshipExplorationParamType,IntegerParameter(2),0)/>”，回收量令人非常滿意！"
15,"利用了“<Sheet(AirshipExplorationParamType,IntegerParameter(2),0)/>”，回收量結果還算過得去。"
16,"以當前“<Sheet(AirshipExplorationParamType,IntegerParameter(2),0)/>”來說回收量有些令人不太滿意……"
17,"考慮到“<Sheet(AirshipExplorationParamType,IntegerParameter(2),0)/>”，回收量已經算還可以了。"
18,"以當前“<Sheet(AirshipExplorationParamType,IntegerParameter(2),0)/>”來說回收量令人相當不滿意……"
19,"考慮到“<Sheet(AirshipExplorationParamType,IntegerParameter(2),0)/>”，回收量基本沒有多少指望……"
20,"<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>獲得了<Value>IntegerParameter(2)</Value>個“<Sheet(Item,IntegerParameter(1),0)/>”！<UIGlow>01</UIGlow><UIForeground>01</UIForeground>"
21,"有一些額外的發現，探索繼續進行。"
22,"有一些額外的發現，不過還是先返航了。"
23,"有一些額外的發現……不過又不見了。"
24,"又觀察了一下周圍的情況，可是沒有任何發現。"
25,"“<Sheet(AirshipExplorationPoint,IntegerParameter(1),0)/>”探索完成！　發揮出了<Highlight>StringParameter(2)</Highlight>的最大性能，取得了十分喜人的成果！"
26,"“<Sheet(AirshipExplorationPoint,IntegerParameter(1),0)/>”探索完成！　發揮出了<Highlight>StringParameter(2)</Highlight>的性能，取得了不錯的成果！"
27,"“<Sheet(AirshipExplorationPoint,IntegerParameter(1),0)/>”探索完成！　雖然成果還不錯，但下次還要再繼續提高！"
28,"“<Sheet(AirshipExplorationPoint,IntegerParameter(1),0)/>”探索完成！　成果還算過得去，或許有必要考慮一下調整飛空艇的配件了。"
29,"“<Sheet(AirshipExplorationPoint,IntegerParameter(1),0)/>”探索完成！　結果十分不理想……"
30,"<UIForeground>F201F6</UIForeground><UIGlow>F201F7</UIGlow><Highlight>StringParameter(1)</Highlight>獲得了<Value>IntegerParameter(2)</Value><If(Equal(IntegerParameter(3),0))><Else/>(+<Value>IntegerParameter(3)</Value>%)</If>點經驗值！<UIGlow>01</UIGlow><UIForeground>01</UIForeground>"
31,"即將轉向下一個目的地“<Sheet(AirshipExplorationPoint,IntegerParameter(1),0)/>”。"
32,"所有目的地都探索完成！　即將返航！［探索完成］"
33,"<UIForeground>F201F6</UIForeground><UIGlow>F201F7</UIGlow>在航行中發現了“<Sheet(AirshipExplorationPoint,IntegerParameter(1),0)/>”！<UIGlow>01</UIGlow><UIForeground>01</UIForeground>"
34,"<UIForeground>F201F6</UIForeground><UIGlow>F201F7</UIGlow>探索的成果得到了認可，可以登記新的飛空艇了！<UIGlow>01</UIGlow><UIForeground>01</UIForeground>"
