key,0,1
#,Name,Description
int32,str,str
0,"",""
1,"雪風","金碟遊樂園交換"
2,"水車低鳴","格里達尼亞出售"
3,"偉大的母港","利姆薩·羅敏薩出售"
4,"希望之都","烏爾達哈出售"
5,"監牢","伊修加爾德出售"
6,"砂之家","薩納蘭出售"
7,"曼德維爾金碟遊樂園","金碟遊樂園交換"
8,"陸行鳥競賽","金碟遊樂園交換"
9,"再來一杯！","道具製作
主要素材：摩杜納等地交換"
10,"華彩的山麓","道具製作
主要素材：德拉瓦尼亞山麓地的危險標的怪物處獲得"
11,"雲中匿影","道具製作
主要素材：阿巴拉提亞雲海的危險標的怪物處獲得"
12,"水晶序曲　～冒險的序章～","成就“旋律的沉醉者1”報酬"
13,"非著名調查員","金碟遊樂園交換"
14,"唯一的行路","道具製作
主要素材：尋寶獲得"
15,"走向世界","道具製作
主要素材：飛空艇探索獲得"
16,"啪啪呀","季節活動報酬"
17,"堅毅","伊修加爾德交換"
18,"以血洗血","道具製作
主要素材：狼獄水上鬥技場交換"
19,"餓狼群集","道具製作
主要素材：狼獄水上鬥技場交換"
20,"激潮","道具製作
主要素材：“逆轉要害沙斯塔夏溶洞”獲得"
21,"漆黑的誓言","道具製作
主要素材：“地下靈殿塔姆·塔拉墓園”或“慘劇靈殿塔姆·塔拉墓園”獲得"
22,"黑暗的擁抱","道具製作
主要素材：“騷亂坑道銅鈴銅山”獲得"
23,"風暴中的燈火","道具製作
主要素材：“領航明燈天狼星燈塔”獲得"
24,"異想天開","道具製作
主要素材：“蒼天聖戰魔科學研究所”獲得"
25,"上下易位","道具製作
主要素材：“星海空間顛倒塔”獲得"
26,"魔大戰的傷痕","道具製作
主要素材：“腐壞遺跡無限城市街古跡”獲得"
27,"天降之力","金碟遊樂園交換"
28,"究極武器","成就“旋律的沉醉者2”報酬"
29,"諸神已死","道具製作
主要素材：新生篇主線劇情相關的高難度討伐戰“究極幻想？？？？破壞作戰”獲得
（以最低品級參加時獲得概率上升）"
30,"原始的審判","道具製作
主要素材：“極 伊弗利特殲滅戰”獲得
（以最低品級參加時獲得概率上升）"
31,"墮天使","道具製作
主要素材：“極 迦樓羅殲滅戰”獲得
（以最低品級參加時獲得概率上升）"
