key,0,1,2,3,4,5
#,,,,,,
int32,str,byte,uint32,uint32,uint16,uint16
0,"完成1次探索任務",1,1,0,50,0
1,"完成3種探索任務",1,3,0,75,1
2,"獲得1次探索任務的金星獎勵",1,1,0,75,2
3,"完成1次緊急探索任務",1,1,0,50,3
4,"完成1次機甲行動",1,1,0,100,4
5,"挑戰1次宇宙好運道",1,1,0,50,5
6,"完成10次月球探索任務",2,10,1,300,6
7,"完成50次月球探索任務",2,50,1,450,7
8,"完成100次月球探索任務",2,100,1,900,8
9,"完成500次月球探索任務",2,500,1,1500,9
10,"完成10種月球探索任務",2,10,1,300,10
11,"完成50種月球探索任務",2,50,1,900,11
12,"完成100種月球探索任務",2,100,1,2400,12
13,"獲得10種月球探索任務的金星獎勵",2,10,1,300,13
14,"獲得50種月球探索任務的金星獎勵",2,50,1,900,14
15,"獲得100種月球探索任務的金星獎勵",2,100,1,2400,15
16,"完成1次月球的緊急探索任務",2,1,2,500,16
17,"完成10次月球的緊急探索任務",2,10,2,1000,17
18,"完成30次月球的緊急探索任務",2,30,2,3000,18
19,"以駕駛員身份參加並完成1次月球的機甲行動",2,1,1,1500,22
20,"以駕駛員身份參加並完成5次月球的機甲行動",2,5,1,3000,23
21,"以駕駛員身份參加並完成10次月球的機甲行動",2,10,1,4500,24
22,"以協助員身份參加並完成5次月球的機甲行動",2,5,1,300,25
23,"以協助員身份參加並完成20次月球的機甲行動",2,20,1,900,26
24,"以協助員身份參加並完成50次月球的機甲行動",2,50,1,2100,27
25,"完成木工師的3種月球D階探索任務",2,3,3,50,28
26,"完成木工師的4種月球C階探索任務",2,4,3,100,29
27,"獲得木工師的3種月球B階探索任務的金星獎勵",2,3,3,200,30
28,"完成鍛造師的3種月球D階探索任務",2,3,7,50,31
29,"完成鍛造師的4種月球C階探索任務",2,4,7,100,32
30,"獲得鍛造師的3種月球B階探索任務的金星獎勵",2,3,7,200,33
31,"完成甲冑師的3種月球D階探索任務",2,3,11,50,34
32,"完成甲冑師的4種月球C階探索任務",2,4,11,100,35
33,"獲得甲冑師的3種月球B階探索任務的金星獎勵",2,3,11,200,36
34,"完成金工師的3種月球D階探索任務",2,3,15,50,37
35,"完成金工師的4種月球C階探索任務",2,4,15,100,38
36,"獲得金工師的3種月球B階探索任務的金星獎勵",2,3,15,200,39
37,"完成皮革師的3種月球D階探索任務",2,3,19,50,40
38,"完成皮革師的4種月球C階探索任務",2,4,19,100,41
39,"獲得皮革師的3種月球B階探索任務的金星獎勵",2,3,19,200,42
