key,0,1,2,3,4,5,6,7
#,,,,,,,,
int32,str,sbyte,str,sbyte,sbyte,sbyte,sbyte,sbyte
0,"",0,"0",0,0,1,0,0
1000,"",0,"",0,0,0,0,0
1001,"木工宇宙資料I",0,"0",0,0,1,0,0
1002,"木工宇宙資料II",0,"0",0,0,1,0,0
1003,"木工宇宙資料III",0,"0",0,0,1,0,0
1004,"木工宇宙資料IV",0,"0",0,0,1,0,0
1005,"鍛造宇宙資料I",0,"0",0,0,1,0,0
1006,"鍛造宇宙資料II",0,"0",0,0,1,0,0
1007,"鍛造宇宙資料III",0,"0",0,0,1,0,0
1008,"鍛造宇宙資料IV",0,"0",0,0,1,0,0
1009,"甲冑宇宙資料I",0,"0",0,0,1,0,0
1010,"甲冑宇宙資料II",0,"0",0,0,1,0,0
1011,"甲冑宇宙資料III",0,"0",0,0,1,0,0
1012,"甲冑宇宙資料IV",0,"0",0,0,1,0,0
1013,"金工宇宙資料I",0,"0",0,0,1,0,0
1014,"金工宇宙資料II",0,"0",0,0,1,0,0
1015,"金工宇宙資料III",0,"0",0,0,1,0,0
1016,"金工宇宙資料IV",0,"0",0,0,1,0,0
1017,"皮革宇宙資料I",0,"0",0,0,1,0,0
1018,"皮革宇宙資料II",0,"0",0,0,1,0,0
1019,"皮革宇宙資料III",0,"0",0,0,1,0,0
1020,"皮革宇宙資料IV",0,"0",0,0,1,0,0
1021,"裁縫宇宙資料I",0,"0",0,0,1,0,0
1022,"裁縫宇宙資料II",0,"0",0,0,1,0,0
1023,"裁縫宇宙資料III",0,"0",0,0,1,0,0
1024,"裁縫宇宙資料IV",0,"0",0,0,1,0,0
1025,"鍊金宇宙資料I",0,"0",0,0,1,0,0
1026,"鍊金宇宙資料II",0,"0",0,0,1,0,0
1027,"鍊金宇宙資料III",0,"0",0,0,1,0,0
1028,"鍊金宇宙資料IV",0,"0",0,0,1,0,0
1029,"烹調宇宙資料I",0,"0",0,0,1,0,0
1030,"烹調宇宙資料II",0,"0",0,0,1,0,0
1031,"烹調宇宙資料III",0,"0",0,0,1,0,0
1032,"烹調宇宙資料IV",0,"0",0,0,1,0,0
1033,"採掘宇宙資料I",0,"0",0,0,1,0,0
1034,"採掘宇宙資料II",0,"0",0,0,1,0,0
1035,"採掘宇宙資料III",0,"0",0,0,1,0,0
1036,"採掘宇宙資料IV",0,"0",0,0,1,0,0
1037,"園藝宇宙資料I",0,"0",0,0,1,0,0
1038,"園藝宇宙資料II",0,"0",0,0,1,0,0
1039,"園藝宇宙資料III",0,"0",0,0,1,0,0
