key,0
#,
int32,str
0,""
1,"已達成探索任務的目標！"
2,"已達成探索任務的目標！"
3,"宇宙探索相關任務專用道具。"
4,"現在<Sheet(ClassJob,IntegerParameter(1),0)/>能進行的研究已經全部完成了！
請耐心等待接下來的研究方針敲定吧！"
5,"<Sheet(ClassJob,IntegerParameter(1),0)/>的研究資料分析工作有進展了！
過來宇宙研究所一趟好嗎？"
6,"<Sheet(ClassJob,IntegerParameter(1),0)/>的研究資料分析進度如下！"
7,"唔……這個東西是這樣……那個的話……"
8,"宇宙研究使用的研究模塊參考了魔法大學的設計。"
9,"宇宙研究取得進展，我們就能做出更好的工具，
更好的為計畫做出貢獻啦！"
10,"越高級的研究就需要越詳細的資料，
這方面只能靠你啦，加油！"
11,"推進不同領域的研究能提升全體的資料分析效率！"
12,"唦唦……誒……唦……
連……了嗎……奇怪……唦……"
13,""
14,""
15,""
16,""
17,""
