key,0,1
#,,
int32,str,str
0,"TEXT_DEEPDUNGEON2REWARD_DD2SHOP_000_000","雖然這可能聽起來有些矛盾，
但是真的是很閒，一點事情都沒有。
啊，我是指警備的工作啦。"
1,"TEXT_DEEPDUNGEON2REWARD_DD2SHOP_000_010","哎呀……已經到了幹活的時間了嗎？
呵呵呵……我正等你呢。
你需要我做些什麼呢？"
2,"TEXT_DEEPDUNGEON2REWARD_DD2SHOP_000_020","看來到了展現鬼師眾技術的時候了呢。
你來告訴我需要做些什麼吧。"
3,"TEXT_DEEPDUNGEON2REWARD_START_MENU_TITLE","要做什麼？"
4,"TEXT_DEEPDUNGEON2REWARD_START_SHOP","道具交換"
5,"TEXT_DEEPDUNGEON2REWARD_START_SHOP2","將聚魔裝備帶出迷宮"
6,"TEXT_DEEPDUNGEON2REWARD_START_EXCHANGE","製作<Sheet(Item,23166,0)/>"
7,"TEXT_DEEPDUNGEON2REWARD_START_EXPLAIN","聽取說明"
8,"TEXT_DEEPDUNGEON2REWARD_START_EXIT","取消"
9,"TEXT_DEEPDUNGEON2REWARD_DD2SHOP_000_030","抱歉，請你能不能優先去探索30層？
拿出聚魔裝備的事情在那之後再考慮吧。"
10,"TEXT_DEEPDUNGEON2REWARD_SYSTEM_000_031","想要將用於天之御柱的聚魔裝備帶出迷宮，
必須先突破30層，
並且完成隨之產生的任務。"
11,"TEXT_DEEPDUNGEON2REWARD_DD2SHOP_000_100","你要將聚魔裝備上的乙太結晶化嗎？
看來……強化階段是沒有問題的。
那就請你盡情觀賞一下鬼師的技術吧……"
12,"TEXT_DEEPDUNGEON2REWARD_TEST_EXCHANGE_MENU_TITLE","確定要製作「<Sheet(Item,23166,0)/>」嗎？
<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>※「聚魔裝備（武器·盾）」和「聚魔裝備（防具）」的強化值都會減少10。<UIGlow>01</UIGlow><UIForeground>01</UIForeground>"
13,"TEXT_DEEPDUNGEON2REWARD_DD2SHOP_100_110","為了把聚魔裝備拿出迷宮，你希望我將乙太結晶化？
抱歉，請你優先進行探索，
拿出裝備的事情之後再說吧。"
14,"TEXT_DEEPDUNGEON2REWARD_SYSTEM_100_111","想要製作<Sheet(Item,23166,0)/>，
必須先突破30層，
並且完成隨之產生的任務。"
