key,0,1
#,,
int32,str,str
0,"TEXT_HALLOWEENENTRANCE_MEMBERC01548_000_000","我正在為守護天節的活動做準備，還會花一點時間……
請你過一會再來！"
1,"TEXT_HALLOWEENENTRANCE_MEMBERC01548_000_010","讓你久等了！
你想前往鬧鬼莊園還是想問我些什麼？"
2,"TEXT_HALLOWEENENTRANCE_MAINMENU_TITLE","要做什麼？"
3,"TEXT_HALLOWEENENTRANCE_MAINMENU_1","前往「亡靈府邸鬧鬼莊園」"
4,"TEXT_HALLOWEENENTRANCE_MAINMENU_2","詢問有關「亡靈府邸鬧鬼莊園」的事情"
5,"TEXT_HALLOWEENENTRANCE_MAINMENU_3","取消"
6,"TEXT_HALLOWEENENTRANCE_ENTERMENU_TITLE","（★未使用／削除予定★）"
7,"TEXT_HALLOWEENENTRANCE_ENTERMENU_FIXED","（★未使用／削除予定★）"
8,"TEXT_HALLOWEENENTRANCE_ENTERMENU_BACK","（★未使用／削除予定★）"
9,"TEXT_HALLOWEENENTRANCE_CHALLENGEMENU_CONFIRM","要前往亡靈府邸鬧鬼莊園嗎？"
10,"TEXT_HALLOWEENENTRANCE_CHALLENGEMENU_YES","是"
11,"TEXT_HALLOWEENENTRANCE_CHALLENGEMENU_NO","否"
12,"TEXT_HALLOWEENENTRANCE_ABOUTMENU_TITLE","想了解什麼？"
13,"TEXT_HALLOWEENENTRANCE_ABOUTMENU_GAGE","<UIForeground>F20224</UIForeground>關於亡靈府邸鬧鬼莊園的規則<UIForeground>01</UIForeground>"
14,"TEXT_HALLOWEENENTRANCE_ABOUTMENU_MONSTERS","<UIForeground>F20224</UIForeground>關於給人搗亂的奇妙的鬼怪<UIForeground>01</UIForeground>"
15,"TEXT_HALLOWEENENTRANCE_ABOUTMENU_GAMERULE","關於亡靈府邸鬧鬼莊園的小遊戲"
16,"TEXT_HALLOWEENENTRANCE_ABOUTMENU_ITEM","關於小遊戲中使用的<Sheet(EObj,2007414,0)/>"
17,"TEXT_HALLOWEENENTRANCE_ABOUTMENU_HOWMANY","關於亡靈府邸鬧鬼莊園的參加人數"
18,"TEXT_HALLOWEENENTRANCE_ABOUTMENU_COOKIE","關於報酬<Sheet(Item,24186,0)/>"
