key,0,1
#,,
int32,str,str
0,"TEXT_COMDEFGRANDCOMPANYOFFICER_00073_STORMPERSONNEL_000_000","這裡是海洋之都利姆薩·羅敏薩的大國防聯軍黑渦軍司令部。
歡迎立志守護這座城邦、充滿熱情的有志之士前來。"
1,"TEXT_COMDEFGRANDCOMPANYOFFICER_00073_SERPENTPERSONNEL_000_001","這裡是森林之都格里達尼亞的大國防聯軍雙蛇黨統合司令部 。
歡迎想要給予格里達尼亞支援與引導的有志之士前來。"
2,"TEXT_COMDEFGRANDCOMPANYOFFICER_00073_FLAMEPERSONNEL_000_002","這裡是沙漠之都烏爾達哈的大國防聯軍不滅隊作戰總部。
我們歡迎擁有不朽鬥志的人士前來。"
3,"TEXT_COMDEFGRANDCOMPANYOFFICER_00073_STORMPERSONNEL_000_003","你目前還沒有能力完成黑渦團的任務。
請繼續磨練自己，在擁有開拓新航線的力量之後再來吧。"
4,"TEXT_COMDEFGRANDCOMPANYOFFICER_00073_SERPENTPERSONNEL_000_004","你目前還沒有能力來完成雙蛇黨的任務。
請繼續磨練自己，在擁有開拓新道路的力量之後再來吧。"
5,"TEXT_COMDEFGRANDCOMPANYOFFICER_00073_FLAMEPERSONNEL_000_005","你目前還沒有能力來完成不滅隊的任務。
請繼續磨練自己，等擁有開拓新道路的力量之後再來吧。"
6,"TEXT_COMDEFGRANDCOMPANYOFFICER_00073_SYSTEM_000_006","完成一定量的主線任務後才可加入大國防聯軍。"
7,"TEXT_COMDEFGRANDCOMPANYOFFICER_00073_STORMPERSONNEL_000_007","這裡是海洋之都利姆薩·羅敏薩的大國防聯軍黑渦軍司令部。"
8,"TEXT_COMDEFGRANDCOMPANYOFFICER_00073_STORMPERSONNEL_100_007","抱歉，我們只對隸屬於黑渦團的成員開放服務，請諒解。"
9,"TEXT_COMDEFGRANDCOMPANYOFFICER_00073_SERPENTPERSONNEL_000_008","這裡是森林之都格里達尼亞的大國防聯軍雙蛇黨統合司令部 。"
10,"TEXT_COMDEFGRANDCOMPANYOFFICER_00073_SERPENTPERSONNEL_100_008","不好意思，讓你白跑一趟……
因為我們只對隸屬於雙蛇黨的成員開放服務，請諒解。"
