key,0,1
#,,
int32,str,str
0,"TEXT_JOBDEFSMN_00097_YMHITRA_000_010","我叫雅·蜜朵拉，是一位研究者。
隸屬艾奧傑亞三國和薩雷安共同創立的研究機構聖寇伊納克財團。"
1,"TEXT_JOBDEFSMN_00097_YMHITRA_000_011","我的專業算是古代史……吧。
目前和夥伴們一起研究古代亞拉戈帝國的知識和技術。"
2,"TEXT_JOBDEFSMN_00097_YMHITRA_000_012","最近主要在研究摩杜納的古代遺跡。
在那裡我們有了惹眼的新發現……
所以才會在這裡做一些事前準備。"
3,"TEXT_JOBDEFSMN_00097_YMHITRA_000_013","我以前就從姐姐那裡聽說了艾奧傑亞的情況，
那時就產生了興趣……
能以一名研究者的身份來這裡考察，我感到很開心。"
4,"TEXT_JOBDEFSMN_00097_YMHITRA_000_000","這個地方好安靜……和姐姐說的一樣呢。
可以盡情沉浸於召喚士的研究之中。
話說，你找我有什麼事？"
5,"TEXT_JOBDEFSMN_00097_Q1_000_001","想了解什麼？"
6,"TEXT_JOBDEFSMN_00097_A1_000_001","你是做什麼的？"
7,"TEXT_JOBDEFSMN_00097_A1_000_002","什麼是「召喚士」？"
8,"TEXT_JOBDEFSMN_00097_A1_000_003","取消"
9,"TEXT_JOBDEFSMN_00097_YMHITRA_000_020","奪取蠻神之力，並改變其力量的性質，
將其作為使魔來使役……
可以操縱這種「召喚獸」的魔道士被稱為「召喚士」。"
10,"TEXT_JOBDEFSMN_00097_YMHITRA_000_021","在古代亞拉戈語中，召喚獸叫做「靈」。
只有在討伐蠻神時，被其放射出的乙太沐浴後的人，
才可以利用蠻神的乙太，召喚出疑似蠻神的召喚獸。"
11,"TEXT_JOBDEFSMN_00097_YMHITRA_000_022","被譽為盛世的古代亞拉戈帝國的統治期在第三星曆時代。
那時的帝國幾乎囊獲了艾奧傑亞的所有土地，
並試圖將領地進一步向外擴張。"
12,"TEXT_JOBDEFSMN_00097_YMHITRA_000_023","南方大陸的「美拉西迪亞」等國家成為了目標。
不過，美拉西迪亞人決定召喚蠻神，以此對抗帝國。"
13,"TEXT_JOBDEFSMN_00097_YMHITRA_000_024","帝國陷入了苦戰，為了克制蠻神之力，
開始召集麾下的魔道士，開發召喚魔法。"
