key,0,1
#,,
int32,str,str
0,"TEXT_REGFSTWDKGUILD_00029_BEATINE_000_1","如果你有時間的話……
就來了解下木工吧？"
1,"TEXT_REGFSTWDKGUILD_00029_Q1_000_1","想了解什麼？"
2,"TEXT_REGFSTWDKGUILD_00029_A1_000_1","你是做什麼的？"
3,"TEXT_REGFSTWDKGUILD_00029_A1_000_2","什麼是「木工」？"
4,"TEXT_REGFSTWDKGUILD_00029_A1_000_3","取消"
5,"TEXT_REGFSTWDKGUILD_00029_A1_000_4","想要<Sheet(Item,2651,0)/>"
6,"TEXT_REGFSTWDKGUILD_00029_BEATINE_000_2","我是貝亞坦……
是這家行會的會長，負責管理聚集於這裡的木工師們。"
7,"TEXT_REGFSTWDKGUILD_00029_BEATINE_000_3","我從小……
就非常喜歡樹木和木工製品……"
8,"TEXT_REGFSTWDKGUILD_00029_BEATINE_000_4","所以一邊摸索，一邊加工各種各樣的樹木……
再將做好的製品提供給他人……
不知不覺間我就成為了行會的會長。"
9,"TEXT_REGFSTWDKGUILD_00029_BEATINE_000_5","每一天，都有樹木在森林中扎根，成長……"
10,"TEXT_REGFSTWDKGUILD_00029_BEATINE_000_6","透過對手中木材的年輪與屬性進行解讀，
從而發揮它們的價值，賦予它們新的使命，
這就是我們木工師的工作……"
11,"TEXT_REGFSTWDKGUILD_00029_BEATINE_000_10","木工是……愛樹木、愛木材……
用那愛……不對……用樹木製作出製品的工作。"
12,"TEXT_REGFSTWDKGUILD_00029_BEATINE_000_11","你們冒險者所熟悉的長槍、弓等武器，
還有適合新手使用的木盾，
這些都是透過木工製作出來的……"
13,"TEXT_REGFSTWDKGUILD_00029_BEATINE_000_12","如果想成為一名優秀的木工師……
就必須知曉樹木的特點……了解材料的用途……
掌握合適的加工方法。"
14,"TEXT_REGFSTWDKGUILD_00029_BEATINE_000_13","多虧了格里達尼亞有園藝師行會，
這裡的木工師們才有幸在這綠蔭環繞之下學習木工。"
15,"TEXT_REGFSTWDKGUILD_00029_BEATINE_000_14","讓每棵樹木都能「物盡其用」，
使它們變為木工製品，讓其發揮作用……
這就是我們木工師所肩負的使命，也是我們的自豪……"
16,"TEXT_REGFSTWDKGUILD_00029_BEATINE_000_20","（未使用/預計刪除）"
