key,0,1
#,,
int32,str,str
0,"TEXT_CMNDEFWEDDINGRECOVERY_00214_DEACON00214_000_000","在眾神面前,與對方結下永結同心的誓約……
我將為舉辦永結同心典禮的人們貢獻出綿薄之力。"
1,"TEXT_CMNDEFWEDDINGRECOVERY_00214_SYSTEM_000_001","只對申請了「永結同心」服務的玩家開放。"
2,"TEXT_CMNDEFWEDDINGRECOVERY_00214_DEACON00214_000_010","歡迎您的到來。
關於舉辦永結同心典禮，有什麼不明白或是困擾的地方嗎？"
3,"TEXT_CMNDEFWEDDINGRECOVERY_00214_Q2_000_030","想了解什麼？"
4,"TEXT_CMNDEFWEDDINGRECOVERY_00214_A2_000_031","新人指南：準備1.關於交換戒指"
5,"TEXT_CMNDEFWEDDINGRECOVERY_00214_A2_000_032","新人指南：準備2.關於典禮方案選擇"
6,"TEXT_CMNDEFWEDDINGRECOVERY_00214_A2_100_032","新人指南：準備3.關於典禮時間的預約"
7,"TEXT_CMNDEFWEDDINGRECOVERY_00214_A2_000_033","新人指南：準備4.預約後要做的事"
8,"TEXT_CMNDEFWEDDINGRECOVERY_00214_A2_000_034","新人指南：準備5.如何邀請友人參加"
9,"TEXT_CMNDEFWEDDINGRECOVERY_00214_A2_000_035","新人指南：關於典禮當天的流程"
10,"TEXT_CMNDEFWEDDINGRECOVERY_00214_A2_101_035","新人指南：丟棄了「空白請帖」的情況"
11,"TEXT_CMNDEFWEDDINGRECOVERY_00214_A2_102_035","想要變更（重新預約）典禮的時間"
12,"TEXT_CMNDEFWEDDINGRECOVERY_00214_A2_100_035","想要取消典禮"
13,"TEXT_CMNDEFWEDDINGRECOVERY_00214_A2_000_036","取消"
14,"TEXT_CMNDEFWEDDINGRECOVERY_00214_DEACON00214_000_050","永結同心典禮是神聖的儀式，
人們在十二神大聖堂透過交換戒指，宣誓結下永結同心的誓約……
因此，二位新人互贈的戒指是不可或缺的。"
15,"TEXT_CMNDEFWEDDINGRECOVERY_00214_DEACON00214_000_051","在舉辦典禮時，
還請二位新人每人準備一枚戒指。
這作為誓言證明的戒指被稱為「<Sheet(Item,8575,0)/>」。"
