key,0,1
#,,
int32,str,str
0,"TEXT_REGDRA2NOTORIOUSMONSTERHINTF1_00266_FHILSKAET_000_000","我看起來像是狩獵陸行鳥的獵人嗎？
就算都是獵人，但我的目標可是別的傢伙。"
1,"TEXT_REGDRA2NOTORIOUSMONSTERHINTF1_00266_FHILSKAET_000_001","你是來狩獵危險標的怪物的？
那我可以把這片區域的獵物情報告訴你。"
2,"TEXT_REGDRA2NOTORIOUSMONSTERHINTF1_00266_FHILSKAET_Q1_000_000","想了解什麼？"
3,"TEXT_REGDRA2NOTORIOUSMONSTERHINTF1_00266_FHILSKAET_A1_000_001","關於B級怪物：冷酷狙擊手——骨頜彗星兵"
4,"TEXT_REGDRA2NOTORIOUSMONSTERHINTF1_00266_FHILSKAET_A1_000_002","關於B級怪物：商隊襲擊者——提克斯塔"
5,"TEXT_REGDRA2NOTORIOUSMONSTERHINTF1_00266_FHILSKAET_A1_000_003","關於A級怪物：地上最凶——派拉斯特暴龍"
6,"TEXT_REGDRA2NOTORIOUSMONSTERHINTF1_00266_FHILSKAET_A1_000_004","關於A級怪物：空中君主——雙足飛龍之王"
7,"TEXT_REGDRA2NOTORIOUSMONSTERHINTF1_00266_FHILSKAET_A1_000_005","關於S級怪物：高空獵手——神穆爾鳥"
8,"TEXT_REGDRA2NOTORIOUSMONSTERHINTF1_00266_FHILSKAET_A1_000_006","取消"
9,"TEXT_REGDRA2NOTORIOUSMONSTERHINTF1_00266_FHILSKAET_000_010","骨頜族至今一直恐懼地生活在龍族的陰影之下，
基本不怎麼離開領地。
可是最近卻頻繁地有所動作。"
10,"TEXT_REGDRA2NOTORIOUSMONSTERHINTF1_00266_FHILSKAET_000_011","到最後，他們竟然開始把火炮當做戰鬥武器了，
那原本只有在籌集食物的狩獵中才會用到的。"
11,"TEXT_REGDRA2NOTORIOUSMONSTERHINTF1_00266_FHILSKAET_000_012","現在甚至發生了尾羽部落的獵人被骨頜族狙擊的事件。
必須要消滅掉他們的狙擊手才行。"
12,"TEXT_REGDRA2NOTORIOUSMONSTERHINTF1_00266_FHILSKAET_000_020","那是一頭讓尾羽部落的獵人們傷透腦筋的邦達斯那奇。
因而被指定為了危險標的怪物。"
13,"TEXT_REGDRA2NOTORIOUSMONSTERHINTF1_00266_FHILSKAET_000_021","那傢伙被稱作提克斯塔，
幾次三番襲擊了來往於皇都的商隊。"
14,"TEXT_REGDRA2NOTORIOUSMONSTERHINTF1_00266_FHILSKAET_000_022","這些商隊向尾羽部落運送生活物資，向皇都運送作為商品的陸行鳥，
如果運輸中斷，尾羽部落將難以維持生計。
需要儘快解決這個問題。"
15,"TEXT_REGDRA2NOTORIOUSMONSTERHINTF1_00266_FHILSKAET_000_030","索姆阿爾靈峰是一座活火山。
據說位於其山麓的大洞穴裡流淌著河流般的熔岩。"
16,"TEXT_REGDRA2NOTORIOUSMONSTERHINTF1_00266_FHILSKAET_000_031","那種溫暖的環境滋養了古恐龍那種原始的甲鱗綱魔獸。
龍族會利用這些魔獸作為眷屬，對地域造成巨大威脅。"
17,"TEXT_REGDRA2NOTORIOUSMONSTERHINTF1_00266_FHILSKAET_000_032","特別是名為派拉斯特暴龍的恐怖凶猛古恐龍，
一定要特別警戒。
那傢伙可是被稱作為最強眷屬啊。"
18,"TEXT_REGDRA2NOTORIOUSMONSTERHINTF1_00266_FHILSKAET_000_040","據說龍族在成長的過程中，會經過「進化」，改變形態。
而有一些龍族進化後會得到極其優秀的飛行能力，
這種龍族叫做雙足飛龍。"
19,"TEXT_REGDRA2NOTORIOUSMONSTERHINTF1_00266_FHILSKAET_000_041","雖然力量上不及強壯的四腳龍族，
但飛行速度和迴旋能力甚至強過飛空艇……"
20,"TEXT_REGDRA2NOTORIOUSMONSTERHINTF1_00266_FHILSKAET_000_042","特別是壽命很長的雙足飛龍之王，
甚至連對龍加農炮的炮彈都能躲過。
你要是想要挑戰那傢伙，可得長一萬個心眼。"
21,"TEXT_REGDRA2NOTORIOUSMONSTERHINTF1_00266_FHILSKAET_000_050","飛翔在天空中的有翼綱魔獸——獅鷲。
眾所周知，那種野獸非常擅於捕獵，
它們捕獵的終極秘訣和人類無異。"
22,"TEXT_REGDRA2NOTORIOUSMONSTERHINTF1_00266_FHILSKAET_000_051","據尾羽部落的獵人所說，
捕獵的秘訣是「把握獵物正在捕獵的瞬間」。
不管是什麼野獸，一旦注意力集中在捕獵上，立刻就會露出破綻。"
23,"TEXT_REGDRA2NOTORIOUSMONSTERHINTF1_00266_FHILSKAET_000_052","而神穆爾鳥體會到了這一秘訣。
那頭巨大的獅鷲會在餓著肚子的獸群捕獵的時候，
悄無聲息地飛來。"
24,"TEXT_REGDRA2NOTORIOUSMONSTERHINTF1_00266_TALK_ACTOR","（未使用/預計刪除）"
