key,0,1
#,,
int32,str,str
0,"TEXT_REGFSTIXALSUPPLY_00205_PROCUREMENTIXAL_000_000","幹嘛？！
無翼之徒敢在我們地盤上搗亂試試！
當心我拿你和廢柴一塊扔到焚化爐裡燒了！"
1,"TEXT_REGFSTIXALSUPPLY_00205_PROCUREMENTIXAL_000_010","幹嘛？！
我這裡倒是有想交給你的工作！
還是說你有什麼事想問啊！"
2,"TEXT_REGFSTIXALSUPPLY_00205_PROCUREMENTIXAL_000_020","幹嘛？！
我交給你的工作怎麼樣了？
還是說你有什麼事想問啊！"
3,"TEXT_REGFSTIXALSUPPLY_00205_PROCUREMENTIXAL_000_030","幹嘛？！
今天你可以收工了，剩下就交給我們吧！
還是說你有什麼事想問啊！"
4,"TEXT_REGFSTIXALSUPPLY_00205_Q1_000_000","想了解什麼？"
5,"TEXT_REGFSTIXALSUPPLY_00205_A1_000_001","關於「供應任務」"
6,"TEXT_REGFSTIXALSUPPLY_00205_A1_000_002","關於「貢獻值目標」"
7,"TEXT_REGFSTIXALSUPPLY_00205_A1_000_003","領取供應任務時的注意事項"
8,"TEXT_REGFSTIXALSUPPLY_00205_A1_000_004","進行供應任務時的提示"
9,"TEXT_REGFSTIXALSUPPLY_00205_A1_000_005","取消"
10,"TEXT_REGFSTIXALSUPPLY_00205_PROCUREMENTIXAL_000_040","我們不僅需要飛空艇使用的元件！
托那些任性工匠的福，實驗場的儲備從材料到武器、糧食，
全都處於慢性供應不足的狀態！"
11,"TEXT_REGFSTIXALSUPPLY_00205_PROCUREMENTIXAL_000_041","因此，這時候就輪到你這個閒人出場了！
不管是自己做也好到哪裡順來也罷，你去籌備些庫存不足的東西！
工作要多少有多少，不用擔心會失業！"
12,"TEXT_REGFSTIXALSUPPLY_00205_SYSTEM_000_050","鳥人族的「供應任務」是一種可重複進行的友好部族日常任務，
每天都會發行。"
13,"TEXT_REGFSTIXALSUPPLY_00205_SYSTEM_000_051","供應的不僅是建造迪茲爾·庫瓦蘭號要用到的元件，
還包括當地需要的各種物品，種類繁多。"
14,"TEXT_REGFSTIXALSUPPLY_00205_SYSTEM_000_052","領取「供應任務」後，
透過製作或採集等方式，籌備需要的道具，
然後交給空力團倉庫管理員。"
15,"TEXT_REGFSTIXALSUPPLY_00205_SYSTEM_000_053","和空力團倉庫管理員對話，或者透過設定選單打開任務情報，
都可以查看供應委託列表。"
16,"TEXT_REGFSTIXALSUPPLY_00205_PROCUREMENTIXAL_000_060","既然你接下了工作，那就得定個目標吧！
我們會把那些能夠好好完成工作的傢伙視為夥伴的！"
17,"TEXT_REGFSTIXALSUPPLY_00205_SYSTEM_000_070","在供應任務中，供應的每件物品都有「貢獻值」，
合計的貢獻值達到「貢獻值目標」後，
即可完成任務。"
18,"TEXT_REGFSTIXALSUPPLY_00205_SYSTEM_000_071","和其他日常任務一樣，在任務完成後，
會以完成任務時的職業獲得一定的經驗值。
另外，也可以提升和鳥人族的關係程度。"
19,"TEXT_REGFSTIXALSUPPLY_00205_SYSTEM_000_072","如果沒辦法完成供應任務，
在交納道具時，
也可以以相對應職業獲得經驗值。"
20,"TEXT_REGFSTIXALSUPPLY_00205_SYSTEM_100_072","另外，可以在目的列表中查看目前的貢獻值和貢獻值目標。"
21,"TEXT_REGFSTIXALSUPPLY_00205_PROCUREMENTIXAL_100_090","哦，那你可要聽好了！
這工作可不是1天之內想接幾次就接幾次的！"
22,"TEXT_REGFSTIXALSUPPLY_00205_SYSTEM_000_090","1天只能領取1次供應任務。
領取任務後，不管是「完成」或「放棄」，
當天都不能再領取任務。"
23,"TEXT_REGFSTIXALSUPPLY_00205_SYSTEM_000_091","另外，如果放棄供應任務，
接受該任務消費的「剩餘受理限額」也不會退還回來。"
24,"TEXT_REGFSTIXALSUPPLY_00205_SYSTEM_000_092","這樣，在日期改變之前，
同時可領取的友好部族日常任務數量會減少1個，
在放棄任務時還請多加考慮。"
25,"TEXT_REGFSTIXALSUPPLY_00205_SYSTEM_100_092","日期改變之後，供應委託列表的內容也會更新。
在領取任務後如果經過了一天，還請注意列表的內容變化。
列表在每天<ResetTime>01</ResetTime><If(TopLevelParameter(218))><Switch(TopLevelParameter(218))><Case(1)>1</Case><Case(2)>2</Case><Case(3)>3</Case><Case(4)>4</Case><Case(5)>5</Case><Case(6)>6</Case><Case(7)>7</Case><Case(8)>8</Case><Case(9)>9</Case><Case(10)>10</Case><Case(11)>11</Case><Case(12)>12</Case><Case(13)>13</Case><Case(14)>14</Case><Case(15)>15</Case><Case(16)>16</Case><Case(17)>17</Case><Case(18)>18</Case><Case(19)>19</Case><Case(20)>20</Case><Case(21)>21</Case><Case(22)>22</Case><Case(23)>23</Case></Switch><Else/>0</If>點（地球時間）進行更新。"
26,"TEXT_REGFSTIXALSUPPLY_00205_PROCUREMENTIXAL_100_110","對了，有一點你最好記住！
如果能交給我急需的物品，或工作完成得出色，
都會有相對應的回報的！"
27,"TEXT_REGFSTIXALSUPPLY_00205_SYSTEM_000_110","在供應委託列表中，
項目左側標有<Gui(67)/>記號的物品是一些急需的物品。
如果供應這些物品，可獲得的經驗值會有所加成。"
28,"TEXT_REGFSTIXALSUPPLY_00205_SYSTEM_000_111","另外，交納優質道具的話，經驗值也會有所加成。"
29,"TEXT_REGFSTIXALSUPPLY_00205_SYSTEM_000_112","進行供應任務時，
優先交納優質道具或標有<Gui(67)/>的道具吧。"
