key,0,1
#,,
int32,str,str
0,"TEXT_CMNDEF2ANIMAWEAPON010TRADE_00324_TALK_000_000","光才是一切……
不會發光的東西是沒有價值的。
……我一直以來都是這麼被教導的。"
1,"TEXT_CMNDEF2ANIMAWEAPON010TRADE_00324_Q1_000_000","要做什麼？"
2,"TEXT_CMNDEF2ANIMAWEAPON010TRADE_00324_A1_000_001","交易黃道武器·本我"
3,"TEXT_CMNDEF2ANIMAWEAPON010TRADE_00324_A1_000_002","交易流光水晶"
4,"TEXT_CMNDEF2ANIMAWEAPON010TRADE_00324_A1_100_002","關於流光水晶"
5,"TEXT_CMNDEF2ANIMAWEAPON010TRADE_00324_A1_000_003","取消"
6,"TEXT_CMNDEF2ANIMAWEAPON010TRADE_00324_TALK_000_010","你果然就是傳說中的英雄……
是黃道武器·本我的持有者啊。
謝謝你能把這麼貴重的東西交給我。"
7,"TEXT_CMNDEF2ANIMAWEAPON010TRADE_00324_TALK_100_010","這武器可以說是你自身靈魂的結晶，
我一定會用它製作出<Sheet(Item,13575,0)/>和<Sheet(Item,13576,0)/>的。"
8,"TEXT_CMNDEF2ANIMAWEAPON010TRADE_00324_TALK_000_011","不過，黃道武器·本我會作為材料被消耗掉，
這一點請你理解……
而且，如果是單手劍的話必須要配上盾才行。"
9,"TEXT_CMNDEF2ANIMAWEAPON010TRADE_00324_SYSTEM_000_012","請注意：交出黃道武器·本我後會失去該裝備。"
10,"TEXT_CMNDEF2ANIMAWEAPON010TRADE_00324_TALK_000_013","哎呀……你好像並沒有黃道武器·本我啊。
呵呵呵，這可瞞不過我的眼睛。"
11,"TEXT_CMNDEF2ANIMAWEAPON010TRADE_00324_Q2_000_000","要使用哪種武器製作<Sheet(Item,13575,0)/>和<Sheet(Item,13576,0)/>？"
12,"TEXT_CMNDEF2ANIMAWEAPON010TRADE_00324_A2_000_001","<Sheet(Item,IntegerParameter(1),0)/>"
13,"TEXT_CMNDEF2ANIMAWEAPON010TRADE_00324_A2_000_002","<Sheet(Item,IntegerParameter(1),0)/>和<Sheet(Item,IntegerParameter(2),0)/>"
14,"TEXT_CMNDEF2ANIMAWEAPON010TRADE_00324_A2_000_003","取消"
