key,0,1
#,,
int32,str,str
0,"TEXT_REGGYR3THEPEERINGSTONES_00395_MZALIKKO_000_000","呀，你是在協助同盟軍的冒險者吧？
找我是有什麼問題要問嗎？"
1,"TEXT_REGGYR3THEPEERINGSTONES_00395_Q1_000_000","想了解什麼？"
2,"TEXT_REGGYR3THEPEERINGSTONES_00395_A1_000_001","你是做什麼的？"
3,"TEXT_REGGYR3THEPEERINGSTONES_00395_A1_000_002","這裡是什麼地方？"
4,"TEXT_REGGYR3THEPEERINGSTONES_00395_A1_000_003","取消"
5,"TEXT_REGGYR3THEPEERINGSTONES_00395_MZALIKKO_000_010","我叫梅·吉萊珂。
居住在對等石的梅氏「努恩」梅·拉茲是我爹。
梅·娜格是我姐，長我兩歲。"
6,"TEXT_REGGYR3THEPEERINGSTONES_00395_MZALIKKO_000_013","對於其他種族來說，夫妻多是成雙成對才行，
但我們逐日之民通常都是由很多女性同時愛著一位「努恩」。
我娘現在也依舊對我爹拉茲死心塌地……"
7,"TEXT_REGGYR3THEPEERINGSTONES_00395_MZALIKKO_000_014","順帶一提，氏族中出生的男孩子都會被冠上「提亞」之名。
提亞可以選擇戰勝努恩取代他成為新的努恩，
或者離開自己長大的部落建立一個新的部落。"
8,"TEXT_REGGYR3THEPEERINGSTONES_00395_MZALIKKO_000_015","因此，每個部落裡都只有一個努恩。
雖然聽說從前地盤大的時候有過同時存在兩個努恩的事情。"
9,"TEXT_REGGYR3THEPEERINGSTONES_00395_MZALIKKO_000_020","這裡是梅氏的部落對等石。
多虧你們擊退了威羅迪納大橋的帝國軍，
我們現在恢復了自由身。"
10,"TEXT_REGGYR3THEPEERINGSTONES_00395_MZALIKKO_000_021","被帝國支配的日子真是苦不堪言，
不過還好我們有梅·拉茲在。
父親他給了我們勇氣，才讓我們能堅強活到今天。"
11,"TEXT_REGGYR3THEPEERINGSTONES_00395_MZALIKKO_000_022","因此，這個部落裡的女孩子們
要比其他逐日之民氏族中的女孩子更加醉心於自己的努恩。"
12,"TEXT_REGGYR3THEPEERINGSTONES_00395_MZALIKKO_000_023","我們的命是被梅·拉茲救下來的，那我們的這條命就為他所用。
這就是我們的報答方式。"
