key,0,1
#,,
int32,str,str
0,"TEXT_REGHINCOMPANYMENMBERS2V43_00494_GOODLOOKINGMEMBER_000_070","哎呀，調查已經結束了？
有什麼新發現嗎？
不過，為什麼只有你一個人？"
1,"TEXT_REGHINCOMPANYMENMBERS2V43_00494_GOODLOOKINGMEMBER_000_080","哎……真的嗎？
竟然發生了這麼可怕的事。
我都嚇得說不出話了……"
2,"TEXT_REGHINCOMPANYMENMBERS2V43_00494_GOODLOOKINGMEMBER_000_090","終於要開始新的冒險了！
等你平安歸來後，一定要告訴我冒險的時候都發生了什麼啊！
我會以你的經歷作為參考提升演技，爭取下次拿到主角！"
3,"TEXT_REGHINCOMPANYMENMBERS2V43_00494_GOODLOOKINGMEMBER_000_100","布瓦吉他們？
他們連招呼也沒好好打，急匆匆就離開了劇場艇。"
4,"TEXT_REGHINCOMPANYMENMBERS2V43_00494_GOODLOOKINGMEMBER_000_101","雖然是聖石造成的事故，但畢竟他們的大哥邦加莫南去世了，
大概很想趕快為他服喪吧。
他們看起來很消沉，沒怎麼說話。"
5,"TEXT_REGHINCOMPANYMENMBERS2V43_00494_GOODLOOKINGMEMBER_000_102","而且他們可能最不想見到你吧？
你討伐了變成怪物的邦加莫南，
對他們來說就跟仇人一樣。"
6,"TEXT_REGHINCOMPANYMENMBERS2V43_00494_GOODLOOKINGMEMBER_000_103","哎呀，看我都說了些什麼多餘的話。
這可真是失禮了！"
7,"TEXT_REGHINCOMPANYMENMBERS2V43_00494_GARLEANSMEMBER_000_070","大燈塔名副其實，真的好大。
我剛才在艦橋上眺望觀察它，這建築物實在是太不可思議了。"
8,"TEXT_REGHINCOMPANYMENMBERS2V43_00494_GARLEANSMEMBER_000_080","如果你說的都是真的……不，我並不是在懷疑你。
如果是真的，那聖石簡直就是個恐怖的兵器。
果然應該歸我帝國管理……"
9,"TEXT_REGHINCOMPANYMENMBERS2V43_00494_GARLEANSMEMBER_000_090","沒想到在這偏僻的孤島上
竟然有我們加雷馬人祖先的部族生活過……
這次可真是太令人不敢相信了。"
10,"TEXT_REGHINCOMPANYMENMBERS2V43_00494_GARLEANSMEMBER_000_100","雖然我還沒完全接受，
但據說是高古之民離開這裡，遷移到了北洲伊爾薩巴德，
將伊瓦利斯的故事傳給了後代們……"
