key,0,1
#,,
int32,str,str
0,"TEXT_CTSETCAOZLATOOLJA_00652_Q1_000_000","想了解什麼？"
1,"TEXT_CTSETCAOZLATOOLJA_00652_A1_000_001","詢問有關青魔道士記錄"
2,"TEXT_CTSETCAOZLATOOLJA_00652_A1_000_002","關於每週目標"
3,"TEXT_CTSETCAOZLATOOLJA_00652_A1_000_003","取消"
4,"TEXT_CTSETCAOZLATOOLJA_00652_LATOOLJA_000_010","青魔道士記錄是用來、對大師提出的、
「青魔道士萬能論」進行、實證研究的記錄。"
5,"TEXT_CTSETCAOZLATOOLJA_00652_LATOOLJA_000_011","請你也以、僅由青魔道士組成的隊伍、前往各種危險地帶、
記錄下、冒險的過程。
至於報酬、自然、會付給你的。"
6,"TEXT_CTSETCAOZLATOOLJA_00652_LATOOLJA_000_012","你持有的、青魔法書上、
記載著、相關研究對象、的危險地帶。
請你確認無誤後、召集青魔道士、進行攻略。"
7,"TEXT_CTSETCAOZLATOOLJA_00652_SYSTEM_000_020","青魔道士記錄是隻限青魔道士組成的小隊進行攻略的任務。"
8,"TEXT_CTSETCAOZLATOOLJA_00652_SYSTEM_000_021","滿足條件並完成任務時，
將會得到Gil、同盟徽章、亞拉戈神典石等報酬，
並且在首次完成任務時還將獲得首次達成報酬。"
9,"TEXT_CTSETCAOZLATOOLJA_00652_SYSTEM_000_022","可以從設定選單「青魔法書」的標籤頁中打開「青魔道士記錄」，
確認任務列表以及各個任務的攻略情況。"
10,"TEXT_CTSETCAOZLATOOLJA_00652_SYSTEM_000_023","此外，在「青魔道士記錄」中
可以進行「招募隊員」與「挑戰任務」。
請招募青魔道士，一起挑戰指定任務。"
11,"TEXT_CTSETCAOZLATOOLJA_00652_SYSTEM_000_024","以完成青魔道士記錄為目的攻略任務時，
請勿解除人數限制，一定要按規定人數進行攻略。"
12,"TEXT_CTSETCAOZLATOOLJA_00652_LATOOLJA_000_040","「青魔道士記錄」中、有一種被稱為「每週目標」的任務，
該目標、會指定一些特別、需要進行記錄的「危險地帶」。
報酬也比普通任務、要高不少、請你積極挑戰。"
13,"TEXT_CTSETCAOZLATOOLJA_00652_SYSTEM_000_041","完成「每週目標」中指定的任務，
即可獲得比通常更多的報酬。"
14,"TEXT_CTSETCAOZLATOOLJA_00652_SYSTEM_000_042","此外還存在一種需要攻略高難度任務的「特別任務」，
不過獲得的報酬也會進一步增加。"
15,"TEXT_CTSETCAOZLATOOLJA_00652_SYSTEM_100_043","每週目標指定的任務將於每週<ResetTime>1203</ResetTime><Switch(TopLevelParameter(220))><Case(1)>週日</Case><Case(2)>週一</Case><Case(3)>週二</Case><Case(4)>週三</Case><Case(5)>週四</Case><Case(6)>週五</Case><Case(7)>週六</Case></Switch>的<If(TopLevelParameter(218))><Switch(TopLevelParameter(218))><Case(1)>1</Case><Case(2)>2</Case><Case(3)>3</Case><Case(4)>4</Case><Case(5)>5</Case><Case(6)>6</Case><Case(7)>7</Case><Case(8)>8</Case><Case(9)>9</Case><Case(10)>10</Case><Case(11)>11</Case><Case(12)>12</Case><Case(13)>13</Case><Case(14)>14</Case><Case(15)>15</Case><Case(16)>16</Case><Case(17)>17</Case><Case(18)>18</Case><Case(19)>19</Case><Case(20)>20</Case><Case(21)>21</Case><Case(22)>22</Case><Case(23)>23</Case></Switch><Else/>0</If>點（地球時間）更新。"
