key,0,1
#,,
int32,str,str
0,"TEXT_CTSIKDENTRANCE_00663_DRYSKTHOTA_000_000","這裡是漁師行會營運的大型漁船“努力號”的乘船登記窗口，
如果有興趣的話，請先拜訪漁師行會！"
1,"TEXT_CTSIKDENTRANCE_00663_DRYSKTHOTA_000_010","歡迎來到漁師行會引以為傲的大型漁船……
你是想要乘坐“努力號”嗎？"
2,"TEXT_CTSIKDENTRANCE_00663_SYSTEM_000_005","乘船登記中"
3,"TEXT_CTSIKDENTRANCE_00663_SYSTEM_000_010","非乘船登記時間
下次開始登記時間： <If(GreaterThan(IntegerParameter(2),0))><Value>IntegerParameter(2)</Value>小時<If(GreaterThan(IntegerParameter(3),1))><Value>IntegerParameter(3)</Value>分鐘<Else/></If>後<Else/><If(GreaterThan(IntegerParameter(3),1))><Value>IntegerParameter(3)</Value>分鐘後<Else/>1分鐘以內</If></If>"
4,"TEXT_CTSIKDENTRANCE_00663_Q1_000_000","進行乘船登記"
5,"TEXT_CTSIKDENTRANCE_00663_Q1_000_001","查看“航運表”"
6,"TEXT_CTSIKDENTRANCE_00663_Q1_000_002","確認“出海釣魚”的詳細情報"
7,"TEXT_CTSIKDENTRANCE_00663_Q1_000_003","取消"
8,"TEXT_CTSIKDENTRANCE_00663_STM_TITLE","要乘坐哪條航線？"
9,"TEXT_CTSIKDENTRANCE_00663_STM_001","乘坐<Sheet(IKDRoute,IntegerParameter(1),11)/>。"
10,"TEXT_CTSIKDENTRANCE_00663_SYSTEM_000_020","確定要乘坐<Sheet(IKDRoute,IntegerParameter(1),11)/>嗎？"
11,"TEXT_CTSIKDENTRANCE_00663_SYSTEM_000_025","要乘坐<Sheet(IKDRoute,IntegerParameter(1),11)/>嗎？
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>※如果有小隊成員未完成“紅蓮解放者主線任務”的話，
將無法乘坐這條航線。<UIGlow>01</UIGlow><UIForeground>01</UIForeground>"
12,"TEXT_CTSIKDENTRANCE_00663_DRYSKTHOTA_000_200","哎呀，你難道是忘帶魚竿了嗎？
努力號是漁師專用的大型漁船，
所以歡迎你作為漁師前來乘坐！"
13,"TEXT_CTSIKDENTRANCE_00663_SYSTEM_000_205","僅限漁師能夠乘坐努力號。
想要進行乘船登記時，請切換到漁師職業後，
再次與德瑞斯庫托塔交談。"
14,"TEXT_CTSIKDENTRANCE_00663_DRYSKTHOTA_000_300","非常抱歉！乘船登記時間已經結束……
船隻已經出海了。
請等待下次的航海。"
15,"TEXT_CTSIKDENTRANCE_00663_SYSTEM_000_305","乘船登記的時間已經結束，
因此無法乘船。"
16,"TEXT_CTSIKDENTRANCE_00663_DRYSKTHOTA_000_500","現在還沒到乘船登記的時間！
請耐心等待下次的登記時間。"
17,"TEXT_CTSIKDENTRANCE_00663_SYSTEM_000_505","現在不是乘船登記時間，無法進行登記。
下次乘船登記的開始時間可以從“航運表”進行確認。"
18,"TEXT_CTSIKDENTRANCE_00663_DRYSKTHOTA_000_600","非常抱歉！
船隻還沒有準備好，目前無法乘船。
請等待下次的航海。"
19,"TEXT_CTSIKDENTRANCE_00663_SYSTEM_000_605","因中途退出了上次的出海釣魚，所以無法進行登記。
下次乘船登記的開始時間可以從“航運表”進行確認。"
20,"TEXT_CTSIKDENTRANCE_00663_TALK_ACTOR",""
21,"TEXT_CTSIKDENTRANCE_00663_PROG_TEST_005",""
22,"TEXT_CTSIKDENTRANCE_00663_PROG_TEST_010",""
23,"TEXT_CTSIKDENTRANCE_00663_PROG_TEST_Q1_000",""
24,"TEXT_CTSIKDENTRANCE_00663_PROG_TEST_Q1_001",""
25,"TEXT_CTSIKDENTRANCE_00663_PROG_TEST_Q1_002",""
26,"TEXT_CTSIKDENTRANCE_00663_PROG_TEST_Q1_010",""
27,"TEXT_CTSIKDENTRANCE_00663_PROG_TEST_001",""
28,"TEXT_CTSIKDENTRANCE_00663_PROG_TEST_000","非乘船登記時間（距離下次登記開始還有：<Value>IntegerParameter(1)</Value>秒）"
