key,0,1
#,,
int32,str,str
0,"TEXT_JOBDEFRPM_00863_BERURU_000_000","啊，<Highlight>ObjectParameter(1)</Highlight>！
沒想到在旅行途中能夠再見到你，
真是意料外的驚喜！"
1,"TEXT_JOBDEFRPM_00863_Q1_000_000","想了解什麼？"
2,"TEXT_JOBDEFRPM_00863_A1_000_001","最近怎麼樣？"
3,"TEXT_JOBDEFRPM_00863_A1_000_002","什麼是「繪靈法師」？"
4,"TEXT_JOBDEFRPM_00863_A1_000_003","取消"
5,"TEXT_JOBDEFRPM_00863_BERURU_000_010","自從你和咕波波救了我之後，
我為了重新面對身為繪靈法師的自己，
開始了獨自一人的旅程……於是來到了拉札漢這裡。"
6,"TEXT_JOBDEFRPM_00863_BERURU_000_011","我還是第一次來到這座城市呢。不愧是多彩之都，
絢麗的色彩不斷地衝擊著我的視覺刺激著我的靈感，
我感覺在這裡可以提升我的想像力。"
7,"TEXT_JOBDEFRPM_00863_BERURU_000_012","我打算暫時將這裡作為據點，
圍繞著薩維奈島，繼續展開助人為樂的旅行。
就像創立者瑞姆、老師還有你那樣！"
8,"TEXT_JOBDEFRPM_00863_BERURU_000_020","繪靈法師是繪靈魔法的使用者。
用筆代替法杖，將自己的魔力看作是顏料，
用類似繪畫的方式將自己的想像力變成現實。"
9,"TEXT_JOBDEFRPM_00863_BERURU_000_021","創造出這種特殊魔法的人是第五星曆末期的旅行畫家瑞姆。"
10,"TEXT_JOBDEFRPM_00863_BERURU_000_022","據說她身處於大戰勃發的艱苦時代，
在各地旅行的同時用繪靈魔法拯救了眾多的人們。
由於她的活躍表現，也因此被列為十二賢者的其中一員。"
11,"TEXT_JOBDEFRPM_00863_BERURU_000_023","在那以後，
贊同瑞姆思想的繪靈法師們將繪靈魔法一代代地繼承了下來，
只為用那一瞬間的光輝點綴世界，拯救人們。"
