key,0,1
#,,
int32,str,str
0,"TEXT_CTSWKS72MOONGATEHUB_00934_WHISPERINGWILLOW_000_000","咦，您是……能在這裡遇到您真是太榮幸了！
我正在為新加入探索計畫的協助者們介紹這裡的資訊喔。
如果有什麼想瞭解的，請儘管問我！"
1,"TEXT_CTSWKS72MOONGATEHUB_00934_Q1_000_000","想了解什麼？"
2,"TEXT_CTSWKS72MOONGATEHUB_00934_A1_000_001","可以跟我聊聊你的事嗎？"
3,"TEXT_CTSWKS72MOONGATEHUB_00934_A1_000_002","關於渴望灣"
4,"TEXT_CTSWKS72MOONGATEHUB_00934_A1_000_003","關於宇宙關隘"
5,"TEXT_CTSWKS72MOONGATEHUB_00934_A1_000_004","關於葫蘆小灣"
6,"TEXT_CTSWKS72MOONGATEHUB_00934_A1_000_005","關於婚禮威的庭園"
7,"TEXT_CTSWKS72MOONGATEHUB_00934_A1_000_006","關於閃亮山"
8,"TEXT_CTSWKS72MOONGATEHUB_00934_A1_000_007","關於月底"
9,"TEXT_CTSWKS72MOONGATEHUB_00934_A1_000_008","關於基地周邊的設施"
10,"TEXT_CTSWKS72MOONGATEHUB_00934_A1_000_009","取消"
11,"TEXT_CTSWKS72MOONGATEHUB_00934_WHISPERINGWILLOW_000_001","我原本在迷津的公堂保管院擔任研究助手，
負責分類整理資料。
懷著將這份經驗應用於進軍宇宙的想法，我來到了這裡。"
12,"TEXT_CTSWKS72MOONGATEHUB_00934_WHISPERINGWILLOW_000_002","以參與過逃離星球計畫的研究人員為中心，
很多來自薩雷安的人加了進來。
雖然方向不同，不過大家似乎都在繼續之前的研究！"
13,"TEXT_CTSWKS72MOONGATEHUB_00934_WHISPERINGWILLOW_000_003","當然，我從未想過如此密切地和兔兔族共事，
更沒想過自己居然會踏上月球呢。
雖然這裡到處都是熟悉的面孔，但每天都過得很新鮮喔。"
14,"TEXT_CTSWKS72MOONGATEHUB_00934_WHISPERINGWILLOW_000_004","「渴望灣」是一片巨型隕坑區域，
宇宙探索計畫就以這裡為中心展開。
這片地區被隕坑的外緣圍繞，因此能建立穩定的環境喔。"
