key,0,1
#,,
int32,str,str
0,"TEXT_CTSWKSEMERGENCYTRANSPORT_00958_TALK_000_000","我負責緊急情況發生時的人員運輸。
狀況發生時，我會按照演練的流程召集參加者，
你能先去和探索威聊聊嗎？"
1,"TEXT_CTSWKSEMERGENCYTRANSPORT_00958_TALK_010_000","我叫瑞芙蕾達，請多指教。
我負責緊急情況發生時的人員運輸。"
2,"TEXT_CTSWKSEMERGENCYTRANSPORT_00958_TALK_010_010","行星法恩娜即使在中控水晶的控制之下，
環境依然很惡劣，會出現突然的猛烈閃電或急遽寒冷。
還必須要提防玻璃雨襲來。"
3,"TEXT_CTSWKSEMERGENCYTRANSPORT_00958_TALK_010_020","緊急情況發生時，
如果你願意幫忙解決問題的話，可以來找我。
我會把你送到緊急探索任務的發生地點。"
4,"TEXT_CTSWKSEMERGENCYTRANSPORT_00958_TALK_020_000","你來得正好，發生了緊急情況！
我正在召集緊急探索任務的參加者，
你要不要也立刻趕往現場？"
5,"TEXT_CTSWKSEMERGENCYTRANSPORT_00958_TALK_020_010","結束"
6,"TEXT_CTSWKSEMERGENCYTRANSPORT_00958_TALK_020_020","要前往哪個緊急探索任務的地點？"
7,"TEXT_CTSWKSEMERGENCYTRANSPORT_00958_TALK_030_000","多虧有你們的協助，緊急情況即將解除，
已經不需要更多人手趕往現場了。"
8,"TEXT_CTSWKSEMERGENCYTRANSPORT_00958_TALK_030_010","多虧有你們的協助，緊急情況順利解除。
已經不需要更多人手趕往現場了。"
9,"TEXT_CTSWKSEMERGENCYTRANSPORT_00958_TALK_030_020","感謝你願意提供協助。
下次發生緊急情況時，還請再來幫忙。"
10,"TEXT_CTSWKSEMERGENCYTRANSPORT_00958_TALK_040_000","喔喔……任務地點傳來了通知！
發生的狀況已經有了解決方法，
你已經不需要趕往現場了。"
11,"TEXT_CTSWKSEMERGENCYTRANSPORT_00958_TALK_040_010","感謝你願意提供幫助。
下次發生緊急情況時，還請再來幫忙。"
