key,0,1
#,,
int32,str,str
0,"TEXT_VOICEMAN_03008_000010_NANAMO","神殿騎士團總騎士長艾默里克閣下
作為伊修加爾德代理教皇已經簽下了名字"
1,"TEXT_VOICEMAN_03008_000020_NANAMO","我在此宣佈！"
2,"TEXT_VOICEMAN_03008_000030_NANAMO","從即日起
山岳之都伊修加爾德正式回歸艾奧傑亞城邦軍事同盟"
3,"TEXT_VOICEMAN_03008_000040_NANAMO","我們四國將同患難、共進退
共同抵抗加雷馬帝國的侵略！"
4,"TEXT_VOICEMAN_03008_000050_AYMERIC","一切為了艾奧傑亞！"
5,"TEXT_VOICEMAN_03008_000060_RAUBAHNMERLWYBKANESENNA","一切為了艾奧傑亞！"
6,"TEXT_VOICEMAN_03008_000070_ALPHINAUD","你在這裡啊"
7,"TEXT_VOICEMAN_03008_000080_ALPHINAUD","那是你為奧爾什方閣下製作的吧"
8,"TEXT_VOICEMAN_03008_000090_TATARU","奧爾什方大人會一直在這裡守護著伊修加爾德的"
9,"TEXT_VOICEMAN_03008_000100_ALPHINAUD","這次漫長的旅程
我們歷盡了艱險 還失去了偉大的朋友"
10,"TEXT_VOICEMAN_03008_000110_ALPHINAUD","但是我們絕不半途而廢 一定會堅持到底"
11,"TEXT_VOICEMAN_03008_000120_TATARU","沒錯！
接下來我們要開始正式重建拂曉血盟了！"
12,"TEXT_VOICEMAN_03008_000130_TATARU","首先我們要確保足夠的活動資金！"
13,"TEXT_VOICEMAN_03008_000140_EDMONT","就這樣 這次的故事迎來了結尾"
14,"TEXT_VOICEMAN_03008_000150_EDMONT","伊修加爾德的動盪還將持續一段時間"
15,"TEXT_VOICEMAN_03008_000160_EDMONT","持續千年的教皇統治終結
給這個國家帶來了前所未有的變化"
16,"TEXT_VOICEMAN_03008_000170_EDMONT","和龍族之間的戰爭也並沒有徹底結束
邪龍至今還在威脅著人們"
17,"TEXT_VOICEMAN_03008_000180_EDMONT","但是"
18,"TEXT_VOICEMAN_03008_000190_EDMONT","只要年輕的神殿騎士團總騎士長和其忠實的盟友還在
只要為我們帶來光明的英雄還在"
19,"TEXT_VOICEMAN_03008_000200_EDMONT","我相信人類和龍族終有一日能夠互相理解
再一次達成真正的和平共處"
20,"TEXT_VOICEMAN_03008_000210_EDMONT","而這個責任正落在我們身上"
21,"TEXT_VOICEMAN_03008_000220_EDMONT","我們將以實際行動迎來新的千年龍詩"
22,"TEXT_VOICEMAN_03008_100010_ELIDIBUS","<UIForeground>F20223</UIForeground>拉哈布雷亞和以格約姆失敗了……<UIForeground>01</UIForeground>"
23,"TEXT_VOICEMAN_03008_100020_ELIDIBUS","<UIForeground>F20223</UIForeground>他們打算引發第八次次元崩壞，
不過看來還是低估了人類。<UIForeground>01</UIForeground>"
24,"TEXT_VOICEMAN_03008_100030_ELIDIBUS","<UIForeground>F20223</UIForeground>不過這對我也不是全然無關……<UIForeground>01</UIForeground>"
25,"TEXT_VOICEMAN_03008_100040_ELIDIBUS","（★未使用／削除予定★）"
26,"TEXT_VOICEMAN_03008_100050_ELIDIBUS","<UIForeground>F20223</UIForeground>如此下去光與暗的均衡會被打破，
我們想將世界回歸原樣的計畫也會失敗……<UIForeground>01</UIForeground>"
27,"TEXT_VOICEMAN_03008_100060_ELIDIBUS","<UIForeground>F20223</UIForeground>光之戰士的力量已經過於強大了，
強大到快要接近神的領域……<UIForeground>01</UIForeground>"
28,"TEXT_VOICEMAN_03008_100070_ELIDIBUS","<UIForeground>F20223</UIForeground>現在就該你們出馬了。<UIForeground>01</UIForeground>"
29,"TEXT_VOICEMAN_03008_100080_ELIDIBUS","<UIForeground>F20223</UIForeground>暗之戰士啊……<UIForeground>01</UIForeground>"
30,"TEXT_VOICEMAN_03008_200010_CID","啊……
這可真是一波未平一波又起啊。"
31,"TEXT_VOICEMAN_03008_200020_YSHTOLA","可不是嘛。"
32,"TEXT_VOICEMAN_03008_200030_CID","啊，這傢伙還真的什麼都敢啟動啊……
這可不是玩具，
這是蠻神啊！"
