key,0,1
#,,
int32,str,str
0,"TEXT_GUILDLEVEASSIGNMENT_SELECT_MENU_TITLE","有什麼事？"
1,"TEXT_GUILDLEVEASSIGNMENT_SELECT_MENU_00","傭兵任務"
2,"TEXT_GUILDLEVEASSIGNMENT_SELECT_MENU_01","採集任務"
3,"TEXT_GUILDLEVEASSIGNMENT_SELECT_MENU_02","製作任務"
4,"TEXT_GUILDLEVEASSIGNMENT_SELECT_MENU_03","特殊部隊理符"
5,"TEXT_GUILDLEVEASSIGNMENT_SELECT_MENU_04","新手教程"
6,"TEXT_GUILDLEVEASSIGNMENT_SELECT_MENU_05","接受履歷評價"
7,"TEXT_GUILDLEVEASSIGNMENT_SELECT_MENU_06","聽取說明"
8,"TEXT_GUILDLEVEASSIGNMENT_SELECT_MENU_07","取消"
9,"TEXT_GUILDLEVEASSIGNMENT_SELECT_MENU_08","黑渦團任務"
10,"TEXT_GUILDLEVEASSIGNMENT_SELECT_MENU_09","雙蛇黨任務"
11,"TEXT_GUILDLEVEASSIGNMENT_SELECT_MENU_10","不滅隊任務"
12,"TEXT_GUILDLEVEASSIGNMENT_SELECT_MENU_11","籌備任務"
13,"TEXT_GUILDLEVEASSIGNMENT_SELECT_MENU_REWARD","領取報酬"
14,"TEXT_GUILDLEVEASSIGNMENT_SELECT_MENU_BATTLE_MULTI","大規模 傭兵任務（所需受理限額:<Sheet(LeveSystemDefine,87,1)/>個）"
15,"TEXT_GUILDLEVEASSIGNMENT_SELECT_MENU_GATHER_MULTI","大規模 採集任務（所需受理限額:<Sheet(LeveSystemDefine,87,1)/>個）"
16,"TEXT_GUILDLEVEASSIGNMENT_SELECT_MENU_CRAFT_MULTI","大規模 製作任務（所需受理限額:<Sheet(LeveSystemDefine,87,1)/>個）"
17,"TEXT_GUILDLEVEASSIGNMENT_TALK_ADD_REWARD_BY_GATHERING","根據任務結果的評價，報酬將會在初期提示的額度上增加<Value>IntegerParameter(1)</Value>%。"
18,"TEXT_GUILDLEVEASSIGNMENT_TALK_ADD_REWARD_BY_GCLEVE","根據<If(IntegerParameter(1))>所屬軍隊加成<If(IntegerParameter(2))>及<Else/></If><Else/></If><If(IntegerParameter(2))>任務內容評價<Else/></If>，報酬將有所提升。"
