key,0,1
#,,
int32,str,str
0,"TEXT_CLSCNJ001_00048_SEQ_00","幻術士行會的會長艾·斯密·雅恩，希望踏出了幻術士第一步的冒險者學習土的應有之道。"
1,"TEXT_CLSCNJ001_00048_SEQ_01","艾·斯密·雅恩要求冒險者去學習幻術士的基礎——土之力。前往北部林區的聖靈幼樹，向諾拉內爾魔道士請教。"
2,"TEXT_CLSCNJ001_00048_SEQ_02","從諾拉內爾那裡接到了學習土之力的任務。前往私語巨木鳥欄，找出並調查土之濁。"
3,"TEXT_CLSCNJ001_00048_SEQ_03","成功打倒了污濁的土元精，向聖靈幼樹的諾拉內爾報告。"
4,"TEXT_CLSCNJ001_00048_SEQ_04","順利完成了學習土之力的試煉。回到幻術士行會，向艾·斯密·雅恩報告。"
5,"TEXT_CLSCNJ001_00048_SEQ_05","在和諾拉內爾交談時，出現了一位名叫希爾菲的少女幻術士，她雖在治療魔法上極具天賦，但卻不願學習自然之力。行會的幻術士們似乎都很擔心她……作為一名幻術士，在理解土之力的同時，繼續鍛鍊幻術。

※幻術士的等級達到10級以上時，可以從艾·斯密·雅恩那裡領取下一個幻術士任務。"
6,"TEXT_CLSCNJ001_00048_SEQ_06",""
7,"TEXT_CLSCNJ001_00048_SEQ_07",""
8,"TEXT_CLSCNJ001_00048_SEQ_08",""
9,"TEXT_CLSCNJ001_00048_SEQ_09",""
10,"TEXT_CLSCNJ001_00048_SEQ_10",""
11,"TEXT_CLSCNJ001_00048_SEQ_11",""
12,"TEXT_CLSCNJ001_00048_SEQ_12",""
13,"TEXT_CLSCNJ001_00048_SEQ_13",""
14,"TEXT_CLSCNJ001_00048_SEQ_14",""
15,"TEXT_CLSCNJ001_00048_SEQ_15",""
16,"TEXT_CLSCNJ001_00048_SEQ_16",""
17,"TEXT_CLSCNJ001_00048_SEQ_17",""
18,"TEXT_CLSCNJ001_00048_SEQ_18",""
19,"TEXT_CLSCNJ001_00048_SEQ_19",""
20,"TEXT_CLSCNJ001_00048_SEQ_20",""
21,"TEXT_CLSCNJ001_00048_SEQ_21",""
22,"TEXT_CLSCNJ001_00048_SEQ_22",""
23,"TEXT_CLSCNJ001_00048_SEQ_23",""
24,"TEXT_CLSCNJ001_00048_TODO_00","和聖靈幼樹的諾拉內爾對話"
