key,0,1
#,,
int32,str,str
0,"TEXT_GAIUSE409_00077_SEQ_00","披雪大冰壁的阿爾菲諾有事情想要冒險者幫忙。"
1,"TEXT_GAIUSE409_00077_SEQ_01","和前來與阿爾菲諾會合的敏菲利亞一同整理了至今為止所獲得的情報。冰之巫女伊塞勒十分崇拜歷史上第一個與龍族交好的人物濕婆，尊稱她為聖女，並想將她以蠻神的形式召喚出來。但伊塞勒利用披雪大冰壁中的乙太之光消失了蹤影。且該乙太之光已被破壞，無法正常使用。趁拂曉血盟的賢人們想辦法修復乙太之光之時，冒險者去協助水晶義勇隊追捕異端者殘黨。和披雪大冰壁附近的尤尤哈塞談談。"
2,"TEXT_GAIUSE409_00077_SEQ_02","和水晶義勇隊第三分隊的尤尤哈塞進行了交談。異端者殘黨朝著庫爾札斯中央高地聖人旅道的方向逃走了。從第三分隊隊員那裡獲得線索，前去追捕異端者的殘黨。"
3,"TEXT_GAIUSE409_00077_SEQ_03","和被雪困住的第三分隊隊員會合了。據隊員所說，異端者的殘黨穿過洞窟逃跑了。尋著<Sheet(EObj,2004657,0)/>追捕異端者殘黨。"
4,"TEXT_GAIUSE409_00077_SEQ_04","發現了<Sheet(EObj,2004657,0)/>。足跡延伸至東南邊，繼續追捕異端者的殘黨。"
5,"TEXT_GAIUSE409_00077_SEQ_05","和負傷的第三分隊隊員會合了。異端者的殘黨分別逃往了不同的方向。前往東邊，追捕一部分異端者殘黨。"
6,"TEXT_GAIUSE409_00077_SEQ_06","打倒了襲來的異端者。和尤尤哈塞談談。"
7,"TEXT_GAIUSE409_00077_SEQ_07","尤尤哈塞打倒了其中一個異端者，獲得了書簡。該書簡是異端者與商人之間往來的密信。異端者們將要在阿德內爾占星台的後面與商人會合，混在貨物中逃走。前往庫爾札斯中央高地阿德內爾占星台的後面，制伏剩下的異端者和商人。"
8,"TEXT_GAIUSE409_00077_SEQ_08","在追捕異端者時，遇到了正在調查其他事件的伊爾伯德、阿爾菲諾和夕霧。與異端者會合的商人，也和潛伏在不滅隊內部的加雷馬帝國密探有連繫。和阿德內爾占星台的阿爾菲諾談談。"
9,"TEXT_GAIUSE409_00077_SEQ_09","和阿爾菲諾進行了交談。不知加雷馬帝國密探和庫爾札斯的異端者之間到底有著怎樣的關聯。"
