key,0,1
#,,
int32,str,str
0,"TEXT_SUBFST100_00443_SEQ_00","石場水車行會理符發行窗口的尼艾爾正在尋找可以執行行會理符的冒險者。"
1,"TEXT_SUBFST100_00443_SEQ_01","必須要先證明自己有足夠的實力，才能從尼艾爾那裡領取行會理符。先去完成行會理符——懷柔任務：安撫發狂的樹妖。"
2,"TEXT_SUBFST100_00443_SEQ_02","順利完成了從尼艾爾那裡領取的行會理符。向石場水車的尼艾爾報告。"
3,"TEXT_SUBFST100_00443_SEQ_03","冒險者完成了委託，尼艾爾認可了冒險者的實力。今後，可以透過他來領取石場水車附近的委託。不要辜負尼艾爾的期望，積極地領取行會理符。"
4,"TEXT_SUBFST100_00443_SEQ_04",""
5,"TEXT_SUBFST100_00443_SEQ_05",""
6,"TEXT_SUBFST100_00443_SEQ_06",""
7,"TEXT_SUBFST100_00443_SEQ_07",""
8,"TEXT_SUBFST100_00443_SEQ_08",""
9,"TEXT_SUBFST100_00443_SEQ_09",""
10,"TEXT_SUBFST100_00443_SEQ_10",""
11,"TEXT_SUBFST100_00443_SEQ_11",""
12,"TEXT_SUBFST100_00443_SEQ_12",""
13,"TEXT_SUBFST100_00443_SEQ_13",""
14,"TEXT_SUBFST100_00443_SEQ_14",""
15,"TEXT_SUBFST100_00443_SEQ_15",""
16,"TEXT_SUBFST100_00443_SEQ_16",""
17,"TEXT_SUBFST100_00443_SEQ_17",""
18,"TEXT_SUBFST100_00443_SEQ_18",""
19,"TEXT_SUBFST100_00443_SEQ_19",""
20,"TEXT_SUBFST100_00443_SEQ_20",""
21,"TEXT_SUBFST100_00443_SEQ_21",""
22,"TEXT_SUBFST100_00443_SEQ_22",""
23,"TEXT_SUBFST100_00443_SEQ_23",""
24,"TEXT_SUBFST100_00443_TODO_00","完成懷柔任務：安撫發狂的樹妖"
25,"TEXT_SUBFST100_00443_TODO_01","向尼艾爾報告"
26,"TEXT_SUBFST100_00443_TODO_02",""
27,"TEXT_SUBFST100_00443_TODO_03",""
28,"TEXT_SUBFST100_00443_TODO_04",""
29,"TEXT_SUBFST100_00443_TODO_05",""
30,"TEXT_SUBFST100_00443_TODO_06",""
31,"TEXT_SUBFST100_00443_TODO_07",""
32,"TEXT_SUBFST100_00443_TODO_08",""
33,"TEXT_SUBFST100_00443_TODO_09",""
34,"TEXT_SUBFST100_00443_TODO_10",""
35,"TEXT_SUBFST100_00443_TODO_11",""
36,"TEXT_SUBFST100_00443_TODO_12",""
37,"TEXT_SUBFST100_00443_TODO_13",""
38,"TEXT_SUBFST100_00443_TODO_14",""
39,"TEXT_SUBFST100_00443_TODO_15",""
40,"TEXT_SUBFST100_00443_TODO_16",""
41,"TEXT_SUBFST100_00443_TODO_17",""
42,"TEXT_SUBFST100_00443_TODO_18",""
43,"TEXT_SUBFST100_00443_TODO_19",""
44,"TEXT_SUBFST100_00443_TODO_20",""
45,"TEXT_SUBFST100_00443_TODO_21",""
46,"TEXT_SUBFST100_00443_TODO_22",""
47,"TEXT_SUBFST100_00443_TODO_23",""
48,"TEXT_SUBFST100_00443_NYELL_000_1","你是在找工作嗎？
我叫尼艾爾。是冒險者行會的一員。"
49,"TEXT_SUBFST100_00443_NYELL_000_2","我這裡會為你介紹石場水車附近的委託，
例如討伐魔物或籌備物資等。"
50,"TEXT_SUBFST100_00443_NYELL_000_3","只不過…這些委託大多都比較危險，
在委託給你正式的任務之前，我需要確認一下你的實力。"
51,"TEXT_SUBFST100_00443_NYELL_000_4","那我就交給你一個我負責管理的委託吧。
能請你先去完成這個理符嗎？"
52,"TEXT_SUBFST100_00443_NYELL_000_5","非常感謝。
要注意一點，必須在充分消耗樹妖的體力後，
平息的清水才能發揮作用。"
53,"TEXT_SUBFST100_00443_SYSTEM_000_6","選中樹妖為目標後，
點選目的列表的道具圖示，
就可以使用平息的清水。"
54,"TEXT_SUBFST100_00443_NYELL_000_10","如果你做好了準備，那麼就請開始執行行會理符吧。
這項委託就拜託給你了。"
55,"TEXT_SUBFST100_00443_NYELL_000_15","看來你完成了我委派給你的理符。
那麼請收下這些報酬吧。"
56,"TEXT_SUBFST100_00443_NYELL_000_20","看樣子你已經開始執行行會理符了啊。
那麼就請你努力完成委託吧。"
57,"TEXT_SUBFST100_00443_NYELL_000_25","你的表現實在是太精彩了！
這樣一來，我也可以放心地把任務交給你了。"
58,"TEXT_SUBFST100_00443_NYELL_000_26","我期待你能有更出色的表現！"
