key,0,1
#,,
int32,str,str
0,"TEXT_CLSWVR101_00589_SEQ_00","裁縫師行會的雷多倫特·羅斯正在煩惱。"
1,"TEXT_CLSWVR101_00589_SEQ_01","雖不知原因，但雷多倫特·羅斯急需12塊<Sheet(Item,5324,0)/>。可以用<Sheet(Item,5333,0)/>來製作<Sheet(Item,5324,0)/>。把握時間製作，將其交給裁縫師行會的雷多倫特·羅斯。"
2,"TEXT_CLSWVR101_00589_SEQ_02","將<Sheet(Item,5324,0)/>交給了雷多倫特·羅斯。原來這是用來給不滅隊製作繃帶的。待手藝進步後，雷多倫特·羅斯還會再給冒險者新的課題。從冒險者行會的尤斯塔斯處領取行會理符的製作任務，爭取更大進步。

※裁縫師的等級達到15級以上時，可以從雷多倫特·羅斯那裡領取下一個裁縫師任務。"
3,"TEXT_CLSWVR101_00589_SEQ_03",""
4,"TEXT_CLSWVR101_00589_SEQ_04",""
5,"TEXT_CLSWVR101_00589_SEQ_05",""
6,"TEXT_CLSWVR101_00589_SEQ_06",""
7,"TEXT_CLSWVR101_00589_SEQ_07",""
8,"TEXT_CLSWVR101_00589_SEQ_08",""
9,"TEXT_CLSWVR101_00589_SEQ_09",""
10,"TEXT_CLSWVR101_00589_SEQ_10",""
11,"TEXT_CLSWVR101_00589_SEQ_11",""
12,"TEXT_CLSWVR101_00589_SEQ_12",""
13,"TEXT_CLSWVR101_00589_SEQ_13",""
14,"TEXT_CLSWVR101_00589_SEQ_14",""
15,"TEXT_CLSWVR101_00589_SEQ_15",""
16,"TEXT_CLSWVR101_00589_SEQ_16",""
17,"TEXT_CLSWVR101_00589_SEQ_17",""
18,"TEXT_CLSWVR101_00589_SEQ_18",""
19,"TEXT_CLSWVR101_00589_SEQ_19",""
20,"TEXT_CLSWVR101_00589_SEQ_20",""
21,"TEXT_CLSWVR101_00589_SEQ_21",""
22,"TEXT_CLSWVR101_00589_SEQ_22",""
23,"TEXT_CLSWVR101_00589_SEQ_23",""
24,"TEXT_CLSWVR101_00589_TODO_00","將<Sheet(Item,5324,0)/>交給雷多倫特·羅斯"
25,"TEXT_CLSWVR101_00589_TODO_01",""
26,"TEXT_CLSWVR101_00589_TODO_02",""
27,"TEXT_CLSWVR101_00589_TODO_03",""
28,"TEXT_CLSWVR101_00589_TODO_04",""
29,"TEXT_CLSWVR101_00589_TODO_05",""
30,"TEXT_CLSWVR101_00589_TODO_06",""
31,"TEXT_CLSWVR101_00589_TODO_07",""
32,"TEXT_CLSWVR101_00589_TODO_08",""
33,"TEXT_CLSWVR101_00589_TODO_09",""
34,"TEXT_CLSWVR101_00589_TODO_10",""
35,"TEXT_CLSWVR101_00589_TODO_11",""
36,"TEXT_CLSWVR101_00589_TODO_12",""
37,"TEXT_CLSWVR101_00589_TODO_13",""
38,"TEXT_CLSWVR101_00589_TODO_14",""
39,"TEXT_CLSWVR101_00589_TODO_15",""
40,"TEXT_CLSWVR101_00589_TODO_16",""
41,"TEXT_CLSWVR101_00589_TODO_17",""
42,"TEXT_CLSWVR101_00589_TODO_18",""
43,"TEXT_CLSWVR101_00589_TODO_19",""
44,"TEXT_CLSWVR101_00589_TODO_20",""
45,"TEXT_CLSWVR101_00589_TODO_21",""
46,"TEXT_CLSWVR101_00589_TODO_22",""
47,"TEXT_CLSWVR101_00589_TODO_23",""
48,"TEXT_CLSWVR101_00589_REDOLENTROSE_000","哎呀，<Highlight>ObjectParameter(1)</Highlight>！
你來得正好，真是我的大救星！"
49,"TEXT_CLSWVR101_00589_REDOLENTROSE_001","拜託了，趕快去做12塊<Sheet(Item,5324,0)/>！
因為是突然來的訂單，所以單靠行會裡的工匠是趕不及的。"
50,"TEXT_CLSWVR101_00589_REDOLENTROSE_002","<Sheet(Item,5333,0)/>是製作<Sheet(Item,5324,0)/>的材料。
雖然量有點多，但請儘快做好12塊給我！"
51,"TEXT_CLSWVR101_00589_REDOLENTROSE_010","做好<Sheet(Item,5324,0)/>了嗎？
雖然量有點多，但請儘快做好12塊給我喲。"
52,"TEXT_CLSWVR101_00589_REDOLENTROSE_011","1……2……正好12塊！
謝謝你，幫了我大忙了。"
53,"TEXT_CLSWVR101_00589_REDOLENTROSE_012","裁縫師行會平常接普通的訂單，
但有時也會接不滅隊的大批訂單。"
54,"TEXT_CLSWVR101_00589_REDOLENTROSE_013","這回是因為白銀市集那邊發生了點小衝突，
而包紮用的繃帶不夠了，
因此他們向我們定了一大批繃帶的原材料。"
55,"TEXT_CLSWVR101_00589_REDOLENTROSE_014","要是普通商人的訂單的話，我都會讓他們等幾天的，
但這回是來自為娜娜莫大人效力的組織的訂單，
因此我也不好意思拒絕。"
56,"TEXT_CLSWVR101_00589_REDOLENTROSE_015","用<Sheet(Item,5333,0)/>織出的<Sheet(Item,5324,0)/>，
是做服裝等布製品的基本材料。"
57,"TEXT_CLSWVR101_00589_REDOLENTROSE_016","可以說幾乎所有的裁縫師都是透過<Sheet(Item,5324,0)/>學習裁縫技巧的。
由於它價格低廉、質感舒適，所以深受百姓喜愛。"
58,"TEXT_CLSWVR101_00589_REDOLENTROSE_017","等你進步了，
就可以用你織的<Sheet(Item,5324,0)/>來為裁縫師行會做衣服了。"
59,"TEXT_CLSWVR101_00589_REDOLENTROSE_018","對了，你知道冒險者行會的「尤斯塔斯」嗎？
毫無目的去練習，想必會使你感到很無聊。"
60,"TEXT_CLSWVR101_00589_REDOLENTROSE_019","你可以從他那裡領取行會理符的製作任務，
邊接工作邊磨練裁縫師的手藝，
這樣會更有鬥志一些吧？"
