key,0,1
#,,
int32,str,str
0,"TEXT_FESVLT103_00523_SEQ_00","※本任務是特定期間內的任務。

米·凱特露天劇場的奧爾特芬斯，希望冒險者在烏爾達哈尋找去向不明的告白對象。"
1,"TEXT_FESVLT103_00523_SEQ_01","※本任務只有在季節活動開放期間才能接受和進行。
　季節活動結束後無法進行，敬請注意。
　詳情請參閱官方網站。

奧爾特芬斯委託冒險者在烏爾達哈尋找去向不明的告白對象。首先與烏爾達哈紅玉大路國際市場附近的愛情傳道士談談，讓他將委託任務的女性找來說明詳情。"
2,"TEXT_FESVLT103_00523_SEQ_02","從<Switch(PlayerParameter(79))><Case(1)>為情所困的少女</Case><Case(2)>為情所困的少女</Case><Case(3)>為情所困的少女</Case><Case(4)>為情所困的少女</Case><Case(5)>為情所困的少女</Case><Case(6)>為情所困的少女</Case><Case(7)>為情所癡的少女</Case><Case(8)>為情所癡的少女</Case><Case(9)>為情所癡的少女</Case><Case(10)>為情所癡的少女</Case><Case(11)>為情所癡的少女</Case><Case(12)>為情所癡的少女</Case></Switch>那瞭解了詳情。尋找告白對象的線索，似乎只有他留下的「<Switch(PlayerParameter(79))><Case(1)>銅</Case><Case(2)>銅</Case><Case(3)>門</Case><Case(4)>門</Case><Case(5)>谷</Case><Case(6)>谷</Case><Case(7)>銀</Case><Case(8)>銀</Case><Case(9)>亭</Case><Case(10)>亭</Case><Case(11)>旭日路</Case><Case(12)>旭日路</Case></Switch>」一詞。找到少女的心上人，把<Sheet(EventItem,2001557,0)/>交給他。

※需要尋找的「少女的心上人」不會在地圖或角色名稱上加以註明。請和其他玩家互相交換資訊，努力尋找。"
3,"TEXT_FESVLT103_00523_SEQ_03","將<Sheet(EventItem,2001557,0)/>交給了少女的心上人<Switch(PlayerParameter(79))><Case(1)>夏夏古恩</Case><Case(2)>夏夏古恩</Case><Case(3)>夏夏古恩</Case><Case(4)>夏夏古恩</Case><Case(5)>夏夏古恩</Case><Case(6)>夏夏古恩</Case><Case(7)>沃沃塔基</Case><Case(8)>沃沃塔基</Case><Case(9)>沃沃塔基</Case><Case(10)>沃沃塔基</Case><Case(11)>沃沃塔基</Case><Case(12)>沃沃塔基</Case></Switch>。向紅玉大路國際市場附近的愛情傳道士報告。"
4,"TEXT_FESVLT103_00523_SEQ_04","向愛情傳道士報告完畢。在冒險者的幫助下，烏爾達哈<Switch(PlayerParameter(79))><Case(1)>為情所困的少女</Case><Case(2)>為情所困的少女</Case><Case(3)>為情所困的少女</Case><Case(4)>為情所困的少女</Case><Case(5)>為情所困的少女</Case><Case(6)>為情所困的少女</Case><Case(7)>為情所癡的少女</Case><Case(8)>為情所癡的少女</Case><Case(9)>為情所癡的少女</Case><Case(10)>為情所癡的少女</Case><Case(11)>為情所癡的少女</Case><Case(12)>為情所癡的少女</Case></Switch>告白成功了。另外還得知，奧爾特芬斯正在尋找一位「曾在伊修加爾德相遇的女性」。好像在薩納蘭並沒找到這樣的女性……"
5,"TEXT_FESVLT103_00523_SEQ_05",""
6,"TEXT_FESVLT103_00523_SEQ_06",""
7,"TEXT_FESVLT103_00523_SEQ_07",""
