key,0,1
#,,
int32,str,str
0,"TEXT_JOBWAR540_00588_SEQ_00","石綠湖營地的布羅肯·馬烏恩坦非常擔心弟弟。"
1,"TEXT_JOBWAR540_00588_SEQ_01","布羅肯·馬烏恩坦告訴了冒險者如何學會新的戰技。為了實踐此方法，首先前往德拉瓦尼亞山麓地的尾羽部落，收集巨大熊<Sheet(BNpcName,4100,0)/>的情報。"
2,"TEXT_JOBWAR540_00588_SEQ_02","收集了巨大熊的情報。在德拉瓦尼亞山麓地寬慰河西北邊獲取為引出巨大熊而必需的<Sheet(EventItem,2001590,0)/>。"
3,"TEXT_JOBWAR540_00588_SEQ_03","獲得了<Sheet(EventItem,2001590,0)/>。將<Sheet(EventItem,2001590,0)/>設定在德拉瓦尼亞山麓地悲嘆飛泉附近的<Sheet(EObj,2005573,0)/>，討伐出現的<Sheet(BNpcName,4100,0)/>。"
4,"TEXT_JOBWAR540_00588_SEQ_04","打倒了與傳說中的英雄戰鬥過的<Sheet(BNpcName,4100,0)/>，激發了原初之魂。向石綠湖營地的布羅肯·馬烏恩坦報告。"
5,"TEXT_JOBWAR540_00588_SEQ_05","向布羅肯·馬烏恩坦報告完畢。另一方面，居里斯·高吉沒有激發原初之魂而完成了黑渦團的任務。馴服原初之魂的方法到底是什麼？為了習得新的戰技，繼續鍛鍊自己。

※戰士的等級達到56級以上時，可以從石綠湖營地的布羅肯·馬烏恩坦那裡領取下一個戰士任務。"
6,"TEXT_JOBWAR540_00588_SEQ_06","空欄"
7,"TEXT_JOBWAR540_00588_SEQ_07","空欄"
8,"TEXT_JOBWAR540_00588_SEQ_08","空欄"
9,"TEXT_JOBWAR540_00588_SEQ_09","空欄"
10,"TEXT_JOBWAR540_00588_SEQ_10","空欄"
11,"TEXT_JOBWAR540_00588_SEQ_11","空欄"
12,"TEXT_JOBWAR540_00588_SEQ_12","空欄"
13,"TEXT_JOBWAR540_00588_SEQ_13","空欄"
14,"TEXT_JOBWAR540_00588_SEQ_14","空欄"
15,"TEXT_JOBWAR540_00588_SEQ_15","空欄"
16,"TEXT_JOBWAR540_00588_SEQ_16","空欄"
17,"TEXT_JOBWAR540_00588_SEQ_17","空欄"
18,"TEXT_JOBWAR540_00588_SEQ_18","空欄"
19,"TEXT_JOBWAR540_00588_SEQ_19","空欄"
