key,0,1
#,,
int32,str,str
0,"TEXT_GAIUSB409_00865_SEQ_00","瞭望陣營地的布魯艾丁，回想起了某件事。"
1,"TEXT_GAIUSB409_00865_SEQ_01","<Sheet(BNpcName,1980,0)/>正是使得布拉烏吉巴爾負傷的元凶，他說不定就在附近。為了誘出<Sheet(BNpcName,1980,0)/>，冒險者要找出<Sheet(EObj,2002093,0)/>，並用<Sheet(EventItem,2000672,0)/>摧毀它。"
2,"TEXT_GAIUSB409_00865_SEQ_02","在<Sheet(EObj,2002259,0)/>等待，打倒現身的<Sheet(BNpcName,1980,0)/>。"
3,"TEXT_GAIUSB409_00865_SEQ_03","打倒<Sheet(BNpcName,1980,0)/>，獲得了<Sheet(EventItem,2000871,0)/>。讓瞭望陣營地的布魯艾丁查看。"
4,"TEXT_GAIUSB409_00865_SEQ_04","將<Sheet(BNpcName,1980,0)/>的討伐過程向布魯艾丁匯報完畢。將<Sheet(EventItem,2000871,0)/>交給石綠湖營地的布拉烏吉巴爾。"
5,"TEXT_GAIUSB409_00865_SEQ_05","將<Sheet(EventItem,2000871,0)/>交給了布拉烏吉巴爾。聽聞長官為其尋得仇人，以及冒險者將仇人打倒一事，他感動萬分。"
6,"TEXT_GAIUSB409_00865_SEQ_06","無"
7,"TEXT_GAIUSB409_00865_SEQ_07","無"
8,"TEXT_GAIUSB409_00865_SEQ_08","無"
9,"TEXT_GAIUSB409_00865_SEQ_09","無"
10,"TEXT_GAIUSB409_00865_SEQ_10","無"
11,"TEXT_GAIUSB409_00865_SEQ_11","無"
12,"TEXT_GAIUSB409_00865_SEQ_12","無"
13,"TEXT_GAIUSB409_00865_SEQ_13","無"
14,"TEXT_GAIUSB409_00865_SEQ_14","無"
15,"TEXT_GAIUSB409_00865_SEQ_15","無"
16,"TEXT_GAIUSB409_00865_SEQ_16","無"
17,"TEXT_GAIUSB409_00865_SEQ_17","無"
18,"TEXT_GAIUSB409_00865_SEQ_18","無"
19,"TEXT_GAIUSB409_00865_SEQ_19","無"
20,"TEXT_GAIUSB409_00865_SEQ_20","無"
21,"TEXT_GAIUSB409_00865_SEQ_21","無"
22,"TEXT_GAIUSB409_00865_SEQ_22","無"
23,"TEXT_GAIUSB409_00865_SEQ_23","無"
