key,0,1
#,,
int32,str,str
0,"TEXT_JOBDRG450_01070_SEQ_00","雅伯里克正在尋找冒險者。"
1,"TEXT_JOBDRG450_01070_SEQ_01","接受了雅伯里克的委託。在庫爾札斯中央高地巨石丘的<Sheet(EObj,2002423,0)/>等待艾斯蒂尼安。"
2,"TEXT_JOBDRG450_01070_SEQ_02","接受了艾斯蒂尼安的委託，協助他討伐邪龍尼德霍格。為此必須集齊4個龍騎士甲冑。向庫爾札斯中央高地阿德內爾占星台的雅伯里克詢問如何獲取龍騎士甲冑。"
3,"TEXT_JOBDRG450_01070_SEQ_03","和雅伯里克進行了交談。和庫爾札斯中央高地魔胃洞的神殿騎士布呂斯蒙談談。"
4,"TEXT_JOBDRG450_01070_SEQ_04","完成了布呂斯蒙的試煉。從庫爾札斯中央高地魔胃洞的神殿騎士布呂斯蒙那裡領取龍騎士甲冑。"
5,"TEXT_JOBDRG450_01070_SEQ_05","從布呂斯蒙那裡領取了龍騎士甲冑。和庫爾札斯中央高地魔胃洞的神殿騎士厄絲蒂安談談。"
6,"TEXT_JOBDRG450_01070_SEQ_06","完成了厄絲蒂安的試煉。從庫爾札斯中央高地魔胃洞的神殿騎士厄絲蒂安那裡領取龍騎士甲冑。"
7,"TEXT_JOBDRG450_01070_SEQ_07","從厄絲蒂安那裡領取了龍騎士甲冑。再次和庫爾札斯中央高地魔胃洞的神殿騎士布呂斯蒙談談。"
8,"TEXT_JOBDRG450_01070_SEQ_08","完成了布呂斯蒙的試煉。從庫爾札斯中央高地魔胃洞的神殿騎士布呂斯蒙那裡領取龍騎士甲冑。"
9,"TEXT_JOBDRG450_01070_SEQ_09","從布呂斯蒙那裡領取了龍騎士甲冑。和庫爾札斯中央高地阿德內爾占星台的雅伯里克談談。"
10,"TEXT_JOBDRG450_01070_SEQ_10","和雅伯里克進行了交談。在鋼衛塔西北側的砌石廣場上吹<Sheet(EventItem,2000814,0)/>，討伐隨之出現的魔物。"
11,"TEXT_JOBDRG450_01070_SEQ_11","成功討伐了魔物。將<Sheet(EventItem,2000814,0)/>和<Sheet(EventItem,2000815,0)/>交給庫爾札斯中央高地阿德內爾占星台的雅伯里克，並從他那裡領取龍騎士甲冑。"
