key,0,1
#,,
int32,str,str
0,"TEXT_JOBSCH400_01099_SEQ_00","斧術士行會的阿爾卡·佐爾卡有工作要委託給冒險者。"
1,"TEXT_JOBSCH400_01099_SEQ_01","接受了阿爾卡·佐爾卡的委託。前往拉諾西亞高地的放浪神古神殿，和阿爾卡·佐爾卡對話。"
2,"TEXT_JOBSCH400_01099_SEQ_02","和阿爾卡·佐爾卡進行了交談。在拉諾西亞高地的放浪神古神殿，和阿爾卡·佐爾卡對話。"
3,"TEXT_JOBSCH400_01099_SEQ_03","讓提燈怪逃走了……向利姆薩·羅敏薩斧術士行會的阿爾卡·佐爾卡報告。"
4,"TEXT_JOBSCH400_01099_SEQ_04","向阿爾卡·佐爾卡報告完畢。在這次討伐提燈怪的行動中，冒險者因小仙女不受控制，而遭到阿爾卡·佐爾卡的埋怨。他希望冒險者今後能管教好小仙女。

※學者的等級達到45級以上時，可以從阿爾卡·佐爾卡那裡領取下一個學者任務。"
5,"TEXT_JOBSCH400_01099_SEQ_05",""
6,"TEXT_JOBSCH400_01099_SEQ_06",""
7,"TEXT_JOBSCH400_01099_SEQ_07",""
8,"TEXT_JOBSCH400_01099_SEQ_08",""
9,"TEXT_JOBSCH400_01099_SEQ_09",""
10,"TEXT_JOBSCH400_01099_SEQ_10",""
11,"TEXT_JOBSCH400_01099_SEQ_11",""
12,"TEXT_JOBSCH400_01099_SEQ_12",""
13,"TEXT_JOBSCH400_01099_SEQ_13",""
14,"TEXT_JOBSCH400_01099_SEQ_14",""
15,"TEXT_JOBSCH400_01099_SEQ_15",""
16,"TEXT_JOBSCH400_01099_SEQ_16",""
17,"TEXT_JOBSCH400_01099_SEQ_17",""
18,"TEXT_JOBSCH400_01099_SEQ_18",""
19,"TEXT_JOBSCH400_01099_SEQ_19",""
20,"TEXT_JOBSCH400_01099_SEQ_20",""
21,"TEXT_JOBSCH400_01099_SEQ_21",""
22,"TEXT_JOBSCH400_01099_SEQ_22",""
23,"TEXT_JOBSCH400_01099_SEQ_23",""
24,"TEXT_JOBSCH400_01099_TODO_00","和放浪神古神殿的阿爾卡·佐爾卡對話"
25,"TEXT_JOBSCH400_01099_TODO_01","和阿爾卡·佐爾卡對話"
26,"TEXT_JOBSCH400_01099_TODO_02","向斧術士行會的阿爾卡·佐爾卡報告"
