key,0,1
#,,
int32,str,str
0,"TEXT_JOBSMN451_01095_SEQ_00","碧企鵝瀑布的雅·蜜朵拉希望冒險者挑戰新的苦修。"
1,"TEXT_JOBSMN451_01095_SEQ_01","接受了雅·蜜朵拉的委託。前往拉諾西亞外地的尼姆浮游遺跡，和雅·蜜朵拉對話，並打倒出現的召喚獸。"
2,"TEXT_JOBSMN451_01095_SEQ_02","和雅·蜜朵拉進行了交談，並打倒了出現的召喚獸。在拉諾西亞外地的尼姆浮游遺跡，和雅·蜜朵拉對話。"
3,"TEXT_JOBSMN451_01095_SEQ_03","和雅·蜜朵拉進行了交談。向格里達尼亞碧企鵝瀑布的雅·蜜朵拉報告。"
4,"TEXT_JOBSMN451_01095_SEQ_04","和碧企鵝瀑布的雅·蜜朵拉進行了交談。雅·蜜朵拉表示會調查特里斯坦的行蹤，為今後的決戰做準備。

※召喚士的等級達到50級以上時，可以從雅·蜜朵拉那裡領取下一個召喚士任務。"
5,"TEXT_JOBSMN451_01095_SEQ_05",""
6,"TEXT_JOBSMN451_01095_SEQ_06",""
7,"TEXT_JOBSMN451_01095_SEQ_07",""
8,"TEXT_JOBSMN451_01095_SEQ_08",""
9,"TEXT_JOBSMN451_01095_SEQ_09",""
10,"TEXT_JOBSMN451_01095_SEQ_10",""
11,"TEXT_JOBSMN451_01095_SEQ_11",""
12,"TEXT_JOBSMN451_01095_SEQ_12",""
13,"TEXT_JOBSMN451_01095_SEQ_13",""
14,"TEXT_JOBSMN451_01095_SEQ_14",""
15,"TEXT_JOBSMN451_01095_SEQ_15",""
16,"TEXT_JOBSMN451_01095_SEQ_16",""
17,"TEXT_JOBSMN451_01095_SEQ_17",""
18,"TEXT_JOBSMN451_01095_SEQ_18",""
19,"TEXT_JOBSMN451_01095_SEQ_19",""
20,"TEXT_JOBSMN451_01095_SEQ_20",""
21,"TEXT_JOBSMN451_01095_SEQ_21",""
22,"TEXT_JOBSMN451_01095_SEQ_22",""
23,"TEXT_JOBSMN451_01095_SEQ_23",""
24,"TEXT_JOBSMN451_01095_TODO_00","和尼姆浮游遺跡的雅·蜜朵拉對話 打倒出現的召喚獸"
25,"TEXT_JOBSMN451_01095_TODO_01","和雅·蜜朵拉對話"
