key,0,1
#,,
int32,str,str
0,"TEXT_GAIUSD004_01158_SEQ_00","雅·修朵拉想要委託冒險者去討伐蠻神泰坦。"
1,"TEXT_GAIUSD004_01158_SEQ_01","蠻神泰坦最終被再次召喚出來了。這次召喚出的泰坦比蠻神迦樓羅還要強。和利姆薩·羅敏薩黑渦軍司令部的爾·阿夏談談。"
2,"TEXT_GAIUSD004_01158_SEQ_02","據爾·阿夏所說，可以使用拉諾西亞外地武伽瑪羅武裝礦山的乙太之光，前往泰坦所在的歐·葛莫羅火口神殿。"
3,"TEXT_GAIUSD004_01158_SEQ_03","和乙太之光進行了共鳴。和同伴一起打倒再次被召喚出來的蠻神泰坦！

※可以透過任務搜尋器參加。"
4,"TEXT_GAIUSD004_01158_SEQ_04","空"
5,"TEXT_GAIUSD004_01158_SEQ_05","空"
6,"TEXT_GAIUSD004_01158_SEQ_06","空"
7,"TEXT_GAIUSD004_01158_SEQ_07","空"
8,"TEXT_GAIUSD004_01158_SEQ_08","空"
9,"TEXT_GAIUSD004_01158_SEQ_09","空"
10,"TEXT_GAIUSD004_01158_SEQ_10","空"
11,"TEXT_GAIUSD004_01158_SEQ_11","空"
12,"TEXT_GAIUSD004_01158_SEQ_12","空"
13,"TEXT_GAIUSD004_01158_SEQ_13","空"
14,"TEXT_GAIUSD004_01158_SEQ_14","空"
15,"TEXT_GAIUSD004_01158_SEQ_15","空"
16,"TEXT_GAIUSD004_01158_SEQ_16","空"
17,"TEXT_GAIUSD004_01158_SEQ_17","空"
18,"TEXT_GAIUSD004_01158_SEQ_18","空"
19,"TEXT_GAIUSD004_01158_SEQ_19","空"
20,"TEXT_GAIUSD004_01158_SEQ_20","空"
21,"TEXT_GAIUSD004_01158_SEQ_21","空"
22,"TEXT_GAIUSD004_01158_SEQ_22","空"
23,"TEXT_GAIUSD004_01158_SEQ_23","空"
24,"TEXT_GAIUSD004_01158_TODO_00","和黑渦軍司令部的爾·阿夏對話"
25,"TEXT_GAIUSD004_01158_TODO_01","和武伽瑪羅武裝礦山的乙太之光共鳴"
26,"TEXT_GAIUSD004_01158_TODO_02","空"
27,"TEXT_GAIUSD004_01158_TODO_03","空"
28,"TEXT_GAIUSD004_01158_TODO_04","空"
29,"TEXT_GAIUSD004_01158_TODO_05","空"
