key,0,1
#,,
int32,str,str
0,"TEXT_BANAMA201_01232_SEQ_00","灰陣營的納爾基·冬有事想要告訴冒險者。"
1,"TEXT_BANAMA201_01232_SEQ_01","接受了納爾基·冬的委託。討伐贊拉克側翼陣的<Sheet(BNpcName,1879,0)/>，獲取2個<Sheet(EventItem,2001115,0)/>；再討伐<Sheet(BNpcName,1880,0)/>，獲取2個<Sheet(EventItem,2001116,0)/>。"
2,"TEXT_BANAMA201_01232_SEQ_02","獲得了<Sheet(EventItem,2001116,0)/>和<Sheet(EventItem,2001115,0)/>。將<Sheet(EventItem,2001116,0)/>和<Sheet(EventItem,2001115,0)/>交給灰陣營的納爾基·冬。"
3,"TEXT_BANAMA201_01232_SEQ_03","將<Sheet(EventItem,2001116,0)/>和<Sheet(EventItem,2001115,0)/>交給了納爾基·冬。納爾基·冬一臉滿足地看著從敵對蜥蜴人族那裡奪來的蠻神召喚祭具。他說短時間內應該能阻止蠻神的召喚了。下次有機會再協助他。"
4,"TEXT_BANAMA201_01232_SEQ_04","無"
5,"TEXT_BANAMA201_01232_SEQ_05","無"
6,"TEXT_BANAMA201_01232_SEQ_06","無"
7,"TEXT_BANAMA201_01232_SEQ_07","無"
8,"TEXT_BANAMA201_01232_SEQ_08","無"
9,"TEXT_BANAMA201_01232_SEQ_09","無"
10,"TEXT_BANAMA201_01232_SEQ_10","無"
11,"TEXT_BANAMA201_01232_SEQ_11","無"
12,"TEXT_BANAMA201_01232_SEQ_12","無"
13,"TEXT_BANAMA201_01232_SEQ_13","無"
14,"TEXT_BANAMA201_01232_SEQ_14","無"
15,"TEXT_BANAMA201_01232_SEQ_15","無"
16,"TEXT_BANAMA201_01232_SEQ_16","無"
17,"TEXT_BANAMA201_01232_SEQ_17","無"
18,"TEXT_BANAMA201_01232_SEQ_18","無"
19,"TEXT_BANAMA201_01232_SEQ_19","無"
20,"TEXT_BANAMA201_01232_SEQ_20","無"
21,"TEXT_BANAMA201_01232_SEQ_21","無"
22,"TEXT_BANAMA201_01232_SEQ_22","無"
23,"TEXT_BANAMA201_01232_SEQ_23","無"
24,"TEXT_BANAMA201_01232_TODO_00","從<Sheet(BNpcName,1879,0)/>身上得到<Sheet(EventItem,2001115,0)/>"
25,"TEXT_BANAMA201_01232_TODO_01","從<Sheet(BNpcName,1880,0)/>身上得到<Sheet(EventItem,2001116,0)/>"
26,"TEXT_BANAMA201_01232_TODO_02","將祭器交給納爾基·冬"
27,"TEXT_BANAMA201_01232_TODO_03","無"
28,"TEXT_BANAMA201_01232_TODO_04","無"
29,"TEXT_BANAMA201_01232_TODO_05","無"
30,"TEXT_BANAMA201_01232_TODO_06","無"
31,"TEXT_BANAMA201_01232_TODO_07","無"
32,"TEXT_BANAMA201_01232_TODO_08","無"
33,"TEXT_BANAMA201_01232_TODO_09","無"
34,"TEXT_BANAMA201_01232_TODO_10","無"
35,"TEXT_BANAMA201_01232_TODO_11","無"
36,"TEXT_BANAMA201_01232_TODO_12","無"
37,"TEXT_BANAMA201_01232_TODO_13","無"
38,"TEXT_BANAMA201_01232_TODO_14","無"
39,"TEXT_BANAMA201_01232_TODO_15","無"
40,"TEXT_BANAMA201_01232_TODO_16","無"
41,"TEXT_BANAMA201_01232_TODO_17","無"
42,"TEXT_BANAMA201_01232_TODO_18","無"
43,"TEXT_BANAMA201_01232_TODO_19","無"
44,"TEXT_BANAMA201_01232_TODO_20","無"
45,"TEXT_BANAMA201_01232_TODO_21","無"
46,"TEXT_BANAMA201_01232_TODO_22","無"
47,"TEXT_BANAMA201_01232_TODO_23","無"
48,"TEXT_BANAMA201_01232_NARUJIBOH_000_000","最近，不悔戰陣的那群傢伙的行動起了變化。
肯定是你的活躍表現刺激了他們。"
49,"TEXT_BANAMA201_01232_NARUJIBOH_000_001","連暗中指揮那群傢伙的祭司們也開始現身活動了。
看來是召喚火神的計劃受阻，他們陷入了著急的狀態。"
50,"TEXT_BANAMA201_01232_NARUJIBOH_000_002","機會來了，強者。
打倒侍奉火神的祭司<Sheet(BNpcName,1879,0)/>及其侍從<Sheet(BNpcName,1880,0)/>！"
51,"TEXT_BANAMA201_01232_NARUJIBOH_000_003","奪取祭司們的祭具和供品，讓他們曝尸荒野。
這樣一來，就能阻止其舉行的邪惡儀式了。"
52,"TEXT_BANAMA201_01232_NARUJIBOH_000_011","目標是<Sheet(BNpcName,1879,0)/>和<Sheet(BNpcName,1880,0)/>。
奪取他們的祭具和供品。"
53,"TEXT_BANAMA201_01232_NARUJIBOH_000_021","不靠鍛鍊來擺脫自己的軟弱，
淨想著依附神明，何其懦弱！
你去奪取祭司們舉行儀式用的祭具和供品。"
54,"TEXT_BANAMA201_01232_NARUJIBOH_000_022","嗯，這正是祭祀火神的祭具和供品。
那些傢伙露出著急的樣子，卻不料砸了自己的腳。"
55,"TEXT_BANAMA201_01232_NARUJIBOH_000_023","多虧了你，這下那些傢伙要愈發著急了。
他們以後還會再製作祭具吧，
到時候再奪過來就行了。"
