key,0,1
#,,
int32,str,str
0,"TEXT_BANSYL305_01281_SEQ_00","風精靈暫留地的莫奇希亞有問題想要拜託冒險者解決。"
1,"TEXT_BANSYL305_01281_SEQ_01","接受了莫奇希亞的委託。和風精靈領入口的神秘的風精靈談談。"
2,"TEXT_BANSYL305_01281_SEQ_02","和神秘的風精靈進行了交談，身上被他施加了隱身咒文。對風精靈領的<Sheet(EObj,2003280,0)/>使用<Sheet(EventItem,2001183,0)/>。在透明狀態下就可以輕鬆地接近<Sheet(EObj,2003280,0)/>。

※透明狀態在一定時間後就會失效。接觸<Sheet(EObj,2003276,0)/>可以延長透明狀態的持續時間。"
3,"TEXT_BANSYL305_01281_SEQ_03","使用<Sheet(EventItem,2001183,0)/>破壞了<Sheet(EObj,2003280,0)/>。向風精靈暫留地的莫奇希亞報告。"
4,"TEXT_BANSYL305_01281_SEQ_04","向莫奇希亞報告完畢。得知冒險者破壞掉了<Sheet(EObj,2003280,0)/>，莫奇希亞感到安心了很多。下次有機會再協助他。"
5,"TEXT_BANSYL305_01281_SEQ_05","空欄"
6,"TEXT_BANSYL305_01281_SEQ_06","空欄"
7,"TEXT_BANSYL305_01281_SEQ_07","空欄"
8,"TEXT_BANSYL305_01281_SEQ_08","空欄"
9,"TEXT_BANSYL305_01281_SEQ_09","空欄"
10,"TEXT_BANSYL305_01281_SEQ_10","空欄"
11,"TEXT_BANSYL305_01281_SEQ_11","空欄"
12,"TEXT_BANSYL305_01281_SEQ_12","空欄"
13,"TEXT_BANSYL305_01281_SEQ_13","空欄"
14,"TEXT_BANSYL305_01281_SEQ_14","空欄"
15,"TEXT_BANSYL305_01281_SEQ_15","空欄"
16,"TEXT_BANSYL305_01281_SEQ_16","空欄"
17,"TEXT_BANSYL305_01281_SEQ_17","空欄"
18,"TEXT_BANSYL305_01281_SEQ_18","空欄"
19,"TEXT_BANSYL305_01281_SEQ_19","空欄"
20,"TEXT_BANSYL305_01281_SEQ_20","空欄"
21,"TEXT_BANSYL305_01281_SEQ_21","空欄"
22,"TEXT_BANSYL305_01281_SEQ_22","空欄"
23,"TEXT_BANSYL305_01281_SEQ_23",""
24,"TEXT_BANSYL305_01281_TODO_00","和風精靈領入口的神秘的風精靈對話"
