key,0,1
#,,
int32,str,str
0,"TEXT_SUBSEA157_01290_SEQ_00","小麥酒港的斯克里比爾德還有些關於野獸走私的事情想要確認。"
1,"TEXT_SUBSEA157_01290_SEQ_01","斯克里比爾德委託冒險者確認一下爾·康泰手裡還有沒有危險的野獸。和小麥酒港的爾·康泰對話。"
2,"TEXT_SUBSEA157_01290_SEQ_02","和爾·康泰進行了交談。在四分石地附近，對爾·康泰藏起來的飢餓的小狗使用<Sheet(EventItem,2001083,0)/>。"
3,"TEXT_SUBSEA157_01290_SEQ_03","對飢餓的小狗使用了<Sheet(EventItem,2001083,0)/>。對飢餓的小狗使用情感動作「安撫」。"
4,"TEXT_SUBSEA157_01290_SEQ_04","安撫了飢餓的小狗。向小麥酒港的斯克里比爾德報告。"
5,"TEXT_SUBSEA157_01290_SEQ_05","向斯克里比爾德報告完畢。斯克里比爾德對小狗沒有落入海盜手中感到很高興。因為小狗很親近冒險者，斯克里比爾德說可以由冒險者來飼養它。"
6,"TEXT_SUBSEA157_01290_SEQ_06","空欄"
7,"TEXT_SUBSEA157_01290_SEQ_07","空欄"
8,"TEXT_SUBSEA157_01290_SEQ_08","空欄"
9,"TEXT_SUBSEA157_01290_SEQ_09","空欄"
10,"TEXT_SUBSEA157_01290_SEQ_10","空欄"
11,"TEXT_SUBSEA157_01290_SEQ_11","空欄"
12,"TEXT_SUBSEA157_01290_SEQ_12","空欄"
13,"TEXT_SUBSEA157_01290_SEQ_13","空欄"
14,"TEXT_SUBSEA157_01290_SEQ_14","空欄"
15,"TEXT_SUBSEA157_01290_SEQ_15","空欄"
16,"TEXT_SUBSEA157_01290_SEQ_16","空欄"
17,"TEXT_SUBSEA157_01290_SEQ_17","空欄"
18,"TEXT_SUBSEA157_01290_SEQ_18","空欄"
19,"TEXT_SUBSEA157_01290_SEQ_19","空欄"
20,"TEXT_SUBSEA157_01290_SEQ_20","空欄"
21,"TEXT_SUBSEA157_01290_SEQ_21","空欄"
22,"TEXT_SUBSEA157_01290_SEQ_22","空欄"
23,"TEXT_SUBSEA157_01290_SEQ_23",""
24,"TEXT_SUBSEA157_01290_TODO_00","和爾·康泰對話"
25,"TEXT_SUBSEA157_01290_TODO_01","對飢餓的小狗使用<Sheet(EventItem,2001083,0)/>"
