key,0,1
#,,
int32,str,str
0,"TEXT_BANKOB208_01342_SEQ_00","第789洞穴團採礦地的第789團工匠博古，想要給別人搗亂。"
1,"TEXT_BANKOB208_01342_SEQ_01","接受了第789團工匠博古的委託，奪來第13團指導者佐加的手下藏起來的「好東西」。從第13洞穴團鍊金工坊的<Sheet(EObj,2003729,0)/>中獲取<Sheet(EventItem,2001243,0)/>。黑金湖的第13團錬金術師加吉會帶領冒險者前往第13洞穴團鍊金工坊。"
2,"TEXT_BANKOB208_01342_SEQ_02","從<Sheet(EObj,2003729,0)/>中獲得了<Sheet(EventItem,2001243,0)/>。將<Sheet(EventItem,2001243,0)/>交給第789洞穴團採礦地的第789團工匠博古。"
3,"TEXT_BANKOB208_01342_SEQ_03","將<Sheet(EventItem,2001243,0)/>交給了第789團工匠博古。雖然第789團工匠博古不懂鍊金術，不明白此物的價值，但能給第13洞穴團添麻煩，他十分滿足。為了削弱第13洞穴團的力量，下次再來協助他們。"
4,"TEXT_BANKOB208_01342_SEQ_04","無"
5,"TEXT_BANKOB208_01342_SEQ_05","無"
6,"TEXT_BANKOB208_01342_SEQ_06","無"
7,"TEXT_BANKOB208_01342_SEQ_07","無"
8,"TEXT_BANKOB208_01342_SEQ_08","無"
9,"TEXT_BANKOB208_01342_SEQ_09","無"
10,"TEXT_BANKOB208_01342_SEQ_10","無"
11,"TEXT_BANKOB208_01342_SEQ_11","無"
12,"TEXT_BANKOB208_01342_SEQ_12","無"
13,"TEXT_BANKOB208_01342_SEQ_13","無"
14,"TEXT_BANKOB208_01342_SEQ_14","無"
15,"TEXT_BANKOB208_01342_SEQ_15","無"
16,"TEXT_BANKOB208_01342_SEQ_16","無"
17,"TEXT_BANKOB208_01342_SEQ_17","無"
18,"TEXT_BANKOB208_01342_SEQ_18","無"
19,"TEXT_BANKOB208_01342_SEQ_19","無"
20,"TEXT_BANKOB208_01342_SEQ_20","無"
21,"TEXT_BANKOB208_01342_SEQ_21","無"
22,"TEXT_BANKOB208_01342_SEQ_22","無"
23,"TEXT_BANKOB208_01342_SEQ_23","無"
24,"TEXT_BANKOB208_01342_TODO_00","擊退阻礙 從第13洞穴團鍊金工坊的<Sheet(EObj,2003729,0)/>中
得到<Sheet(EventItem,2001243,0)/>"
