key,0,1
#,,
int32,str,str
0,"TEXT_BANSAH002_01375_SEQ_00","諾布養育場的諾布有事情想跟冒險者談。"
1,"TEXT_BANSAH002_01375_SEQ_01","諾布的兒子皮烏好像去和魚人族中的激進派「珊瑚尖槍」談判了。向諾布養育場的塞烏詢問詳細情況。"
2,"TEXT_BANSAH002_01375_SEQ_02","塞烏擔心弟弟皮烏可能已經遭了珊瑚尖槍的毒手。前往西拉諾西亞二分石地的魚人軍陣營，尋找皮烏。"
3,"TEXT_BANSAH002_01375_SEQ_03","皮烏果然受到了珊瑚尖槍的襲擊。在魚人軍陣營救助遭到珊瑚尖槍一夥襲擊的皮烏。"
4,"TEXT_BANSAH002_01375_SEQ_04","救助了皮烏。年輕氣盛的他一心想要完成父親的目的，才做出這種莽撞的事情。返回諾布養育場，向諾布報告。"
5,"TEXT_BANSAH002_01375_SEQ_05","諾布說魚人族正緩慢而確實地面臨著種族滅絕的危機。他認為確保產卵地、平安地撫養下一代長大才是要緊的事情，現在不應該和人類起衝突。幫助諾布一夥，牽制激進派的珊瑚尖槍。一起尋求人類和魚人族共存之道。"
6,"TEXT_BANSAH002_01375_SEQ_06","空欄"
7,"TEXT_BANSAH002_01375_SEQ_07","空欄"
8,"TEXT_BANSAH002_01375_SEQ_08","空欄"
9,"TEXT_BANSAH002_01375_SEQ_09","空欄"
10,"TEXT_BANSAH002_01375_SEQ_10","空欄"
11,"TEXT_BANSAH002_01375_SEQ_11","空欄"
12,"TEXT_BANSAH002_01375_SEQ_12","空欄"
13,"TEXT_BANSAH002_01375_SEQ_13","空欄"
14,"TEXT_BANSAH002_01375_SEQ_14","空欄"
15,"TEXT_BANSAH002_01375_SEQ_15","空欄"
16,"TEXT_BANSAH002_01375_SEQ_16","空欄"
17,"TEXT_BANSAH002_01375_SEQ_17","空欄"
18,"TEXT_BANSAH002_01375_SEQ_18","空欄"
19,"TEXT_BANSAH002_01375_SEQ_19","空欄"
20,"TEXT_BANSAH002_01375_SEQ_20","空欄"
21,"TEXT_BANSAH002_01375_SEQ_21","空欄"
22,"TEXT_BANSAH002_01375_SEQ_22","空欄"
23,"TEXT_BANSAH002_01375_SEQ_23",""
24,"TEXT_BANSAH002_01375_TODO_00","和諾布養育場的塞烏對話"
