key,0,1
#,,
int32,str,str
0,"TEXT_BANIXA405_01502_SEQ_00","<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>特殊規則： 等級調整<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
※本任務推薦等級為：
　製作職業10級以上、戰鬥職業47級以上。

長風實驗場的學者塔澤爾·梅耶安有個緊急委託要交給冒險者。"
1,"TEXT_BANIXA405_01502_SEQ_01","※本任務為<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow><UIGlow>01</UIGlow><UIForeground>01</UIForeground> 等級調整任務。

學者塔澤爾·梅耶安委託冒險者製作<Sheet(ItemHQ,　8109,0)/>。首先前往歐金尼亞哨塔，向密亞·莫爾柯特打聽材料的下落。"
2,"TEXT_BANIXA405_01502_SEQ_02","和歐金尼亞哨塔的密亞·莫爾柯特進行了交談。<Sheet(EventItem,2001395,0)/>被盧恩族壞蛋偷走了。前往榮耀溪，從3個<Sheet(BNpcName,2989,0)/>身上奪回材料。"
3,"TEXT_BANIXA405_01502_SEQ_03","從盧恩族壞蛋身上搶回了<Sheet(EventItem,2001395,0)/>。將<Sheet(EventItem,2001395,0)/>交給秋瓜浮村浮栓亭的休德耶德，獲取製作設施的使用許可。"
4,"TEXT_BANIXA405_01502_SEQ_04","可以使用製作設施了。用<Sheet(Item,　8070,0)/>製作2個<Sheet(ItemHQ,　8109,0)/>，並將其交給長風實驗場的學者塔澤爾·梅耶安。

※如果「製作設施：複雜工作」的狀態效果消失了，或者<Sheet(Item,　8070,0)/>不足的話，就和休德耶德對話，即可重獲狀態效果和材料，並再次進行挑戰。"
5,"TEXT_BANIXA405_01502_SEQ_05","將<Sheet(ItemHQ,　8109,0)/>交給了學者塔澤爾·梅耶安。和白羊師團長的接觸，令冒險者再次了解到了鳥人族和格里達尼亞的激烈敵對關係。與空力團的大家建立起的這份超越種族的友情，能否成為給現狀帶來變化的關鍵呢？"
6,"TEXT_BANIXA405_01502_SEQ_06","空"
7,"TEXT_BANIXA405_01502_SEQ_07","空"
8,"TEXT_BANIXA405_01502_SEQ_08","空"
9,"TEXT_BANIXA405_01502_SEQ_09","空"
10,"TEXT_BANIXA405_01502_SEQ_10","空"
11,"TEXT_BANIXA405_01502_SEQ_11","空"
