key,0,1
#,,
int32,str,str
0,"TEXT_FESSUM010_01543_SEQ_00","※本任務是特定期間內的任務。

紅蓮祭執行委員長荷爾瑪伽會，將特別獎勵發給參加了所有紅蓮祭活動的冒險者。"
1,"TEXT_FESSUM010_01543_SEQ_01","※本任務只有在季節活動開放期間才能接受和進行。
　季節活動結束後無法進行，敬請注意。
　詳情請參閱官方網站。

荷爾瑪伽不僅會將捆裝煙火作為特別獎勵，還會把秘傳的舞蹈教給冒險者。穿上<If(PlayerParameter(4))><Sheet(Item,2970,0)/><Else/><Sheet(Item,2967,0)/></If>，向艦尾樓的紅蓮祭執行委員詢問是否還有捆裝煙火。"
2,"TEXT_FESSUM010_01543_SEQ_02","紅蓮祭執行委員很擔心，因沒見到相約之人而無精打采的荷爾瑪伽。前往俾斯麥餐廳尋找荷爾瑪伽約的人。報酬會在這段時間準備好。"
3,"TEXT_FESSUM010_01543_SEQ_03","見到了荷爾瑪伽約的貿易商人亞米米。她將已故男孩贈予荷爾瑪伽的禮物託付給了冒險者。男孩與荷爾瑪伽是在過去的紅蓮祭上認識的。將男孩的禮物<Sheet(EventItem,2001433,0)/>交給艦尾樓的紅蓮祭執行委員長荷爾瑪伽。"
4,"TEXT_FESSUM010_01543_SEQ_04","將<Sheet(EventItem,2001433,0)/>交給紅蓮祭執行委員長荷爾瑪伽後，他對冒險者表示了誠摯的感謝。已故男孩的禮物中包含著請將紅蓮祭延續下去的意思。荷爾瑪伽決定，今後將紅蓮祭繼續舉辦，而此次活動也告一段落。請期待今後的紅蓮祭。"
5,"TEXT_FESSUM010_01543_SEQ_05","空"
6,"TEXT_FESSUM010_01543_SEQ_06","空"
7,"TEXT_FESSUM010_01543_SEQ_07","空"
8,"TEXT_FESSUM010_01543_SEQ_08","空"
9,"TEXT_FESSUM010_01543_SEQ_09","空"
10,"TEXT_FESSUM010_01543_SEQ_10","空"
11,"TEXT_FESSUM010_01543_SEQ_11","空"
12,"TEXT_FESSUM010_01543_SEQ_12","空"
13,"TEXT_FESSUM010_01543_SEQ_13","空"
14,"TEXT_FESSUM010_01543_SEQ_14","空"
15,"TEXT_FESSUM010_01543_SEQ_15","空"
16,"TEXT_FESSUM010_01543_SEQ_16","空"
17,"TEXT_FESSUM010_01543_SEQ_17","空"
