key,0,1
#,,
int32,str,str
0,"TEXT_HEAVNA113_01592_SEQ_00","玫瑰園的拉妮艾特想要獲得冒險者的幫助。"
1,"TEXT_HEAVNA113_01592_SEQ_01","拉妮艾特委託冒險者協助負責瓦努族相關事宜的瑪麗艾勒。向玫瑰園的瑪麗艾勒了解詳情。"
2,"TEXT_HEAVNA113_01592_SEQ_02","瑪麗艾勒委託冒險者進行巡邏。在阿巴拉提亞雲海雲頂營地的<Sheet(EObj,2005409,0)/>巡邏，討伐出現的瓦努族。"
3,"TEXT_HEAVNA113_01592_SEQ_03","在所有的<Sheet(EObj,2005409,0)/>巡邏完畢。向玫瑰園的瑪麗艾勒報告。"
4,"TEXT_HEAVNA113_01592_SEQ_04","向瑪麗艾勒報告完畢。聽聞冒險者在巡邏時擊退了瓦努族，瑪麗艾勒表示非常放心。"
5,"TEXT_HEAVNA113_01592_SEQ_05","空"
6,"TEXT_HEAVNA113_01592_SEQ_06","空"
7,"TEXT_HEAVNA113_01592_SEQ_07","空"
8,"TEXT_HEAVNA113_01592_SEQ_08","空"
9,"TEXT_HEAVNA113_01592_SEQ_09","空"
10,"TEXT_HEAVNA113_01592_SEQ_10","空"
11,"TEXT_HEAVNA113_01592_SEQ_11","空"
12,"TEXT_HEAVNA113_01592_SEQ_12","空"
13,"TEXT_HEAVNA113_01592_SEQ_13","空"
14,"TEXT_HEAVNA113_01592_SEQ_14","空"
15,"TEXT_HEAVNA113_01592_SEQ_15","空"
16,"TEXT_HEAVNA113_01592_SEQ_16","空"
17,"TEXT_HEAVNA113_01592_SEQ_17","空"
18,"TEXT_HEAVNA113_01592_SEQ_18","空"
19,"TEXT_HEAVNA113_01592_SEQ_19","空"
20,"TEXT_HEAVNA113_01592_SEQ_20","空"
21,"TEXT_HEAVNA113_01592_SEQ_21","空"
22,"TEXT_HEAVNA113_01592_SEQ_22","空"
23,"TEXT_HEAVNA113_01592_SEQ_23","空"
24,"TEXT_HEAVNA113_01592_TODO_00","和瑪麗艾勒對話"
25,"TEXT_HEAVNA113_01592_TODO_01","在<Sheet(EObj,2005409,0)/>巡邏 討伐出現的瓦努族"
26,"TEXT_HEAVNA113_01592_TODO_02","向瑪麗艾勒報告"
27,"TEXT_HEAVNA113_01592_TODO_03","空"
