key,0,1
#,,
int32,str,str
0,"TEXT_JOBNIN540_01685_SEQ_00","碼頭小屋的朧收到了赤城新的來信。"
1,"TEXT_JOBNIN540_01685_SEQ_01","從朧口中得知赤城正在奧修昂大橋等待。前往拉諾西亞低地的奧修昂大橋和赤城談談。"
2,"TEXT_JOBNIN540_01685_SEQ_02","雪剛剛奪回國寶之一翡翠蘭，正在被追兵追殺。化身誘餌，為她創造退路。對奧修昂大橋的<Sheet(EObj,2005928,0)/>使用雷遁之術。"
3,"TEXT_JOBNIN540_01685_SEQ_03","成功誘導了追兵。對奧修昂大橋南邊的<Sheet(EObj,2005929,0)/>使用雷遁之術。"
4,"TEXT_JOBNIN540_01685_SEQ_04","再次成功誘導了追兵。對拉諾西亞低地砂鹽海岸附近的<Sheet(EObj,2005930,0)/>使用雷遁之術。"
5,"TEXT_JOBNIN540_01685_SEQ_05","又一次成功誘導了追兵。在砂鹽海岸的<Sheet(EObj,2005931,0)/>等待。"
6,"TEXT_JOBNIN540_01685_SEQ_06","被一名認識鴉和月海的奇怪男子襲擊了。雖然在朧的幫助下擊退了他，但他究竟是什麼人？在砂鹽海岸和朧談談。"
7,"TEXT_JOBNIN540_01685_SEQ_07","和朧進行了交談。未能弄清處那個疑似是魔導忍眾殘黨的男人究竟有何目的，先與雪會合。前往拉諾西亞低地的暴風陸門和雪談談。"
8,"TEXT_JOBNIN540_01685_SEQ_08","和平安擺脫追兵的雪進行了交談，返回碼頭小屋。在碼頭小屋和朧談談。"
9,"TEXT_JOBNIN540_01685_SEQ_09","和朧交談後，再次透過冥想獲得了新的力量。但那個疑似是魔導忍眾殘黨的男子究竟有何目的？要對他有所防備並努力進行鍛鍊。

※忍者的等級達到56級以上時，可以從碼頭小屋的朧那裡領取下一個忍者任務。"
10,"TEXT_JOBNIN540_01685_SEQ_10","空"
11,"TEXT_JOBNIN540_01685_SEQ_11","空"
12,"TEXT_JOBNIN540_01685_SEQ_12","空"
13,"TEXT_JOBNIN540_01685_SEQ_13","空"
14,"TEXT_JOBNIN540_01685_SEQ_14","空"
15,"TEXT_JOBNIN540_01685_SEQ_15","空"
16,"TEXT_JOBNIN540_01685_SEQ_16","空"
17,"TEXT_JOBNIN540_01685_SEQ_17","空"
18,"TEXT_JOBNIN540_01685_SEQ_18","空"
