key,0,1
#,,
int32,str,str
0,"TEXT_JOBWHM600_01725_SEQ_00","恬靜路營地的拉雅·奧·神納調查完死靈肉片了。"
1,"TEXT_JOBWHM600_01725_SEQ_01","拉雅·奧·神納說自己已經想好了如何對抗不淨之物。前往北部林區的秋瓜浮村，和艾希娃談談。"
2,"TEXT_JOBWHM600_01725_SEQ_02","艾希娃表示不能放任阿拉嘉不管，便同意去見角尊了。和恬靜路營地的拉雅·奧·神納談談。"
3,"TEXT_JOBWHM600_01725_SEQ_03","拉雅·奧·神納和阿·盧恩·神納為了完成淨化，決定走出黑衣森林。前往德拉瓦尼亞山麓地的尾羽部落，和艾希娃談談。"
4,"TEXT_JOBWHM600_01725_SEQ_04","阿·盧恩·神納感到西北方向有乙太波動。在德拉瓦尼亞山麓地的徹悟岩窟中尋找阿拉嘉。"
5,"TEXT_JOBWHM600_01725_SEQ_05","打倒了不淨之物的根源<Sheet(BNpcName,4185,0)/>。和徹悟岩窟中的拉雅·奧·神納談談。"
6,"TEXT_JOBWHM600_01725_SEQ_06","拉雅·奧·神納告訴阿拉嘉，希望她能走向未來。艾希娃也決定和阿·盧恩·神納一起對抗威脅森林之物。和徹悟岩窟中的拉雅·奧·神納談談。"
7,"TEXT_JOBWHM600_01725_SEQ_07","拉雅·奧·神納將阿拉嘉送到牢獄後想向冒險者道謝。和恬靜路營地的拉雅·奧·神納談談。"
8,"TEXT_JOBWHM600_01725_SEQ_08","等待冒險者的艾希娃向冒險者道謝後離去了。拉雅·奧·神納和阿·盧恩·神納也下定了決心，今後黑衣森林的調和要從森林的內外兩面同時進行。

※滿足下列條件後，可以從恬靜路營地的拉雅·奧·神納那裡領取新的職業任務。
完成「龍詩戰爭尾聲主線任務」中「命運的止境」。"
9,"TEXT_JOBWHM600_01725_SEQ_09","空欄"
10,"TEXT_JOBWHM600_01725_SEQ_10","空欄"
11,"TEXT_JOBWHM600_01725_SEQ_11","空欄"
12,"TEXT_JOBWHM600_01725_SEQ_12","空欄"
13,"TEXT_JOBWHM600_01725_SEQ_13","空欄"
14,"TEXT_JOBWHM600_01725_SEQ_14","空欄"
15,"TEXT_JOBWHM600_01725_SEQ_15","空欄"
16,"TEXT_JOBWHM600_01725_SEQ_16","空欄"
