key,0,1
#,,
int32,str,str
0,"TEXT_HEAVNZ416_01834_SEQ_00","贖罪天廊的莫古萌在歪頭看著遠方。"
1,"TEXT_HEAVNZ416_01834_SEQ_01","莫古萌委託冒險者去探查同伴的情況。前往德拉瓦尼亞雲海的人王遺跡尋找不知所措的莫古利。"
2,"TEXT_HEAVNZ416_01834_SEQ_02","找到了不知所措的莫古利。據說他們被龍族襲擊而走散了。尋找失散在人王遺跡的另外3隻莫古利。"
3,"TEXT_HEAVNZ416_01834_SEQ_03","找到了失散的莫古利們。向人王遺跡不知所措的莫古利報告。"
4,"TEXT_HEAVNZ416_01834_SEQ_04","向不知所措的莫古利報告完畢。他們會邊警戒邊撤回贖罪天廊。"
5,"TEXT_HEAVNZ416_01834_SEQ_05","空"
6,"TEXT_HEAVNZ416_01834_SEQ_06","空"
7,"TEXT_HEAVNZ416_01834_SEQ_07","空"
8,"TEXT_HEAVNZ416_01834_SEQ_08","空"
9,"TEXT_HEAVNZ416_01834_SEQ_09","空"
10,"TEXT_HEAVNZ416_01834_SEQ_10","空"
11,"TEXT_HEAVNZ416_01834_SEQ_11","空"
12,"TEXT_HEAVNZ416_01834_SEQ_12","空"
13,"TEXT_HEAVNZ416_01834_SEQ_13","空"
14,"TEXT_HEAVNZ416_01834_SEQ_14","空"
15,"TEXT_HEAVNZ416_01834_SEQ_15","空"
16,"TEXT_HEAVNZ416_01834_SEQ_16","空"
17,"TEXT_HEAVNZ416_01834_SEQ_17","空"
18,"TEXT_HEAVNZ416_01834_SEQ_18","空"
19,"TEXT_HEAVNZ416_01834_SEQ_19","空"
20,"TEXT_HEAVNZ416_01834_SEQ_20","空"
21,"TEXT_HEAVNZ416_01834_SEQ_21","空"
22,"TEXT_HEAVNZ416_01834_SEQ_22","空"
23,"TEXT_HEAVNZ416_01834_SEQ_23","空"
24,"TEXT_HEAVNZ416_01834_TODO_00","尋找不知所措的莫古利"
25,"TEXT_HEAVNZ416_01834_TODO_01","尋找失散的莫古利們"
26,"TEXT_HEAVNZ416_01834_TODO_02","向不知所措的莫古利報告"
27,"TEXT_HEAVNZ416_01834_TODO_03","空"
28,"TEXT_HEAVNZ416_01834_TODO_04","空"
29,"TEXT_HEAVNZ416_01834_TODO_05","空"
30,"TEXT_HEAVNZ416_01834_TODO_06","空"
31,"TEXT_HEAVNZ416_01834_TODO_07","空"
32,"TEXT_HEAVNZ416_01834_TODO_08","空"
33,"TEXT_HEAVNZ416_01834_TODO_09","空"
34,"TEXT_HEAVNZ416_01834_TODO_10","空"
35,"TEXT_HEAVNZ416_01834_TODO_11","空"
36,"TEXT_HEAVNZ416_01834_TODO_12","空"
37,"TEXT_HEAVNZ416_01834_TODO_13","空"
38,"TEXT_HEAVNZ416_01834_TODO_14","空"
39,"TEXT_HEAVNZ416_01834_TODO_15","空"
40,"TEXT_HEAVNZ416_01834_TODO_16","空"
41,"TEXT_HEAVNZ416_01834_TODO_17","空"
42,"TEXT_HEAVNZ416_01834_TODO_18","空"
43,"TEXT_HEAVNZ416_01834_TODO_19","空"
44,"TEXT_HEAVNZ416_01834_TODO_20","空"
45,"TEXT_HEAVNZ416_01834_TODO_21","空"
46,"TEXT_HEAVNZ416_01834_TODO_22","空"
47,"TEXT_HEAVNZ416_01834_TODO_23","空"
48,"TEXT_HEAVNZ416_01834_MOGMONT_000_000","最近那些蠻橫的龍族們異常興奮，
所以莫古們也不得不開始巡邏警戒了咕波。"
49,"TEXT_HEAVNZ416_01834_MOGMONT_000_001","但到了交接時間，去巡邏的莫古利們卻還是遲遲未歸咕波。
莫古很擔心，能請你去人王遺跡附近看看嗎咕波？"
50,"TEXT_HEAVNZ416_01834_MOGMONT_000_010","到了交接時間，去巡邏的莫古利們卻還是遲遲未歸咕波。
莫古很擔心，能請你去人王遺跡附近看看嗎咕波？"
51,"TEXT_HEAVNZ416_01834_DEVIATEDMOGA01834_000_020","傷腦筋了咕波……
被龍族襲擊時和同伴們走散了咕波……
你有見到莫古的3名同伴嗎咕波？"
52,"TEXT_HEAVNZ416_01834_MOGMONT_000_030","到了交接時間，去巡邏的莫古利們卻還是遲遲未歸咕波。
莫古很擔心，能請你去看看嗎咕波？"
53,"TEXT_HEAVNZ416_01834_DEVIATEDMOGA01834_000_031","傷腦筋了咕波……
被龍族襲擊時和同伴們走散了咕波……
你有見到莫古的3名同伴嗎咕波？"
54,"TEXT_HEAVNZ416_01834_DEVIATEDMOGB01834_000_040","你來救莫古了咕波？！
太好了咕波。"
55,"TEXT_HEAVNZ416_01834_DEVIATEDMOGC01834_000_041","龍、龍族都走了嗎咕波？
莫古好怕怕呀咕波……"
56,"TEXT_HEAVNZ416_01834_DEVIATEDMOGD01834_000_042","太可怕了咕波！
莫古這就回去咕波！"
57,"TEXT_HEAVNZ416_01834_MOGMONT_000_050","到了交接時間，去巡邏的莫古利們卻還是遲遲未歸咕波。
莫古很擔心，能請你去看看嗎咕波？"
58,"TEXT_HEAVNZ416_01834_DEVIATEDMOGB01834_000_051","大家都沒事真是太好了咕波！"
59,"TEXT_HEAVNZ416_01834_DEVIATEDMOGC01834_000_052","這裡安全了嗎咕波？
還是有些害怕咕波……"
60,"TEXT_HEAVNZ416_01834_DEVIATEDMOGD01834_000_053","好可怕咕波。
好想早點回家咕波……"
61,"TEXT_HEAVNZ416_01834_DEVIATEDMOGA01834_000_060","謝謝你咕波！大家都平安無事咕波！
邊警戒邊撤回贖罪天廊咕波！"
