key,0,1
#,,
int32,str,str
0,"TEXT_CLSHRV600_02052_SEQ_00","乙太之光廣場的穆吉·繆里拉很高興見到冒險者。"
1,"TEXT_CLSHRV600_02052_SEQ_01","在和穆吉·繆里拉交談時，接到了巴吉勒的聯絡。因為穆吉·繆里拉的報道，巴吉勒要被問罪了。前往阿巴拉提亞雲海的雲頂營地，和巴吉勒對話。"
2,"TEXT_CLSHRV600_02052_SEQ_02","據現場的騎士萬克托魯瓦和祭司奧比耶羅所說，巴吉勒被問罪的原因是他種植了外國的基沙爾野菜。為了尋找為巴吉勒洗脫罪名的證據，和格里達尼亞園藝師行會的弗弗茶對話。"
3,"TEXT_CLSHRV600_02052_SEQ_03","據弗弗茶所說，提供給巴吉勒的基沙爾野菜才更加接近純正的「庫爾札斯產品種」。從弗弗茶處獲得了<Sheet(EventItem,2001665,0)/>。採集3個<Sheet(Item,12900,0)/>，讓伊修加爾德聖雷馬諾大聖堂的本草學者馬蒂諾查看這兩種野菜。可以在庫爾札斯西部高地人煙稀少的草場裡採到<Sheet(Item,12900,0)/>。"
4,"TEXT_CLSHRV600_02052_SEQ_04","讓馬蒂諾查看了<Sheet(EventItem,2001665,0)/>和<Sheet(Item,12900,0)/>。馬蒂諾下定論說兩種野菜是同一類植物。為表明自己的觀點，馬蒂諾還寫了一封證明信交給冒險者。將3個<Sheet(Item,12900,0)/>交給雲頂營地的巴吉勒。"
5,"TEXT_CLSHRV600_02052_SEQ_05","將<Sheet(Item,12900,0)/>交給了巴吉勒，巴吉勒也頭一次親眼見卡貝基野菜。將<Sheet(EventItem,2001665,0)/>和<Sheet(EventItem,2001666,0)/>交給雲頂營地的巴吉勒。"
6,"TEXT_CLSHRV600_02052_SEQ_06","將<Sheet(EventItem,2001665,0)/>和<Sheet(EventItem,2001666,0)/>交給了巴吉勒。並向萬克托魯瓦和奧比耶羅說明了兩種野菜是同一類植物。祭司奧比耶羅接受了冒險者的解釋，撤離了。和雲頂營地的巴吉勒對話。"
7,"TEXT_CLSHRV600_02052_SEQ_07","巴吉勒委託冒險者將事情的經過轉達給穆吉·繆里拉。和伊修加爾德乙太之光廣場的穆吉·繆里拉對話。"
