key,0,1
#,,
int32,str,str
0,"TEXT_HEAVNR101_02090_SEQ_00","田園郡發生了重大的危機，斯洛菲克斯想要將此事告訴冒險者。"
1,"TEXT_HEAVNR101_02090_SEQ_01","沙利亞克河中出現了巨大的機械蠻神。拂曉血盟的雅·修朵拉前去找瑪托雅商量釜底抽薪的方法，現場則交給了冒險者和希德應對。在德拉瓦尼亞河谷地的游擊野營地和記錄員巴庫利克斯談談，想辦法與希德會合。"
2,"TEXT_HEAVNR101_02090_SEQ_02","與希德會合成功。召喚出了機械蠻神的是哥布林的危險科學家組織青藍之手，他們在三年前就曾經嘗試過一次召喚。為了尋找進入內部破壞蠻神的方法，前往薩雷安精品工匠街和畢格斯會合。"
3,"TEXT_HEAVNR101_02090_SEQ_03","畢格斯正為無法開啟入口而頭疼。威吉則嘗試著解讀其內部發出的暗號通訊。對游擊野營地的<Sheet(EObj,2006124,0)/>使用<Sheet(EventItem,2001792,0)/>，尋找威吉需要的物質。"
4,"TEXT_HEAVNR101_02090_SEQ_04","<Sheet(EObj,2006124,0)/>中有一塊結晶產生了強烈反應。拾取<Sheet(EObj,2006180,0)/>。"
5,"TEXT_HEAVNR101_02090_SEQ_05","這塊<Sheet(EventItem,2001793,0)/>好像是斯洛菲克斯的女兒朗德洛克斯重要的寶物。在冒險者的勸說下，她最終同意了借出輝石。將<Sheet(EventItem,2001793,0)/>交給薩雷安精品工匠街的威吉。"
6,"TEXT_HEAVNR101_02090_SEQ_06","將<Sheet(EventItem,2001793,0)/>交給了威吉。在米黛的協助下破解了青藍之手的暗號。可以進入亞歷山大機神城啟動之章1了。為了找出蠻神的動力源並將其停止，做好萬全準備後，和同伴一起挑戰蠻神。

※可以透過任務搜尋器參加，也可以透過薩雷安精品工匠街的<Sheet(EObj,2006170,0)/>進行挑戰。"
7,"TEXT_HEAVNR101_02090_SEQ_07","成功突破了亞歷山大機神城啟動之章1。離開目前區域。"
8,"TEXT_HEAVNR101_02090_SEQ_08","冒險者遭遇青藍之手的統帥萬事通奎克辛克斯，暫時撤退了出來。向游擊野營地的畢格斯報告。"
9,"TEXT_HEAVNR101_02090_SEQ_09","向畢格斯報告完畢。他將會把青藍之手幹部提到的東西轉告希德。繼續和希德等人推進亞歷山大機神城啟動之章。"
