key,0,1
#,,
int32,str,str
0,"TEXT_HEAVNY805_02099_SEQ_00","空"
1,"TEXT_HEAVNY805_02099_SEQ_01","空"
2,"TEXT_HEAVNY805_02099_SEQ_02","空"
3,"TEXT_HEAVNY805_02099_SEQ_03","空"
4,"TEXT_HEAVNY805_02099_SEQ_04","空"
5,"TEXT_HEAVNY805_02099_SEQ_05","空"
6,"TEXT_HEAVNY805_02099_SEQ_06","空"
7,"TEXT_HEAVNY805_02099_SEQ_07","空"
8,"TEXT_HEAVNY805_02099_SEQ_08","空"
9,"TEXT_HEAVNY805_02099_SEQ_09","空"
10,"TEXT_HEAVNY805_02099_SEQ_10","空"
11,"TEXT_HEAVNY805_02099_SEQ_11","空"
12,"TEXT_HEAVNY805_02099_SEQ_12","空"
13,"TEXT_HEAVNY805_02099_SEQ_13","空"
14,"TEXT_HEAVNY805_02099_SEQ_14","空"
15,"TEXT_HEAVNY805_02099_SEQ_15","空"
16,"TEXT_HEAVNY805_02099_SEQ_16","空"
17,"TEXT_HEAVNY805_02099_SEQ_17","空"
18,"TEXT_HEAVNY805_02099_SEQ_18","空"
19,"TEXT_HEAVNY805_02099_SEQ_19","空"
20,"TEXT_HEAVNY805_02099_SEQ_20","空"
21,"TEXT_HEAVNY805_02099_SEQ_21","空"
22,"TEXT_HEAVNY805_02099_SEQ_22","空"
23,"TEXT_HEAVNY805_02099_SEQ_23","空"
24,"TEXT_HEAVNY805_02099_TODO_00","空"
25,"TEXT_HEAVNY805_02099_TODO_01","空"
26,"TEXT_HEAVNY805_02099_TODO_02","空"
27,"TEXT_HEAVNY805_02099_TODO_03","空"
28,"TEXT_HEAVNY805_02099_TODO_04","空"
29,"TEXT_HEAVNY805_02099_TODO_05","空"
30,"TEXT_HEAVNY805_02099_TODO_06","空"
31,"TEXT_HEAVNY805_02099_TODO_07","空"
32,"TEXT_HEAVNY805_02099_TODO_08","空"
33,"TEXT_HEAVNY805_02099_TODO_09","空"
34,"TEXT_HEAVNY805_02099_TODO_10","空"
35,"TEXT_HEAVNY805_02099_TODO_11","空"
36,"TEXT_HEAVNY805_02099_TODO_12","空"
37,"TEXT_HEAVNY805_02099_TODO_13","空"
38,"TEXT_HEAVNY805_02099_TODO_14","空"
39,"TEXT_HEAVNY805_02099_TODO_15","空"
40,"TEXT_HEAVNY805_02099_TODO_16","空"
41,"TEXT_HEAVNY805_02099_TODO_17","空"
42,"TEXT_HEAVNY805_02099_TODO_18","空"
43,"TEXT_HEAVNY805_02099_TODO_19","空"
44,"TEXT_HEAVNY805_02099_TODO_20","空"
45,"TEXT_HEAVNY805_02099_TODO_21","空"
46,"TEXT_HEAVNY805_02099_TODO_22","空"
47,"TEXT_HEAVNY805_02099_TODO_23","空"
48,"TEXT_HEAVNY805_02099_TOBANA_000_000","……我不會看錯的！
終於有一個厲害的大地使者出現了。
這下子可以迎來新商品的交易時代了！"
49,"TEXT_HEAVNY805_02099_TOBANA_000_002","我所說的商品就是「護符」！
那可是經過本商會專屬祈禱師祈禱，注入了十二神祝福的護身符。
帶上它可以讓採集變得更加順利哦……可能！"
50,"TEXT_HEAVNY805_02099_TOBANA_000_006","如果你想要在大地使者的道路上越走越遠，
那護符將是必不可缺的物品……
請你盡情地來這裡兌換，為我的銷售額做貢獻吧！"
51,"TEXT_HEAVNY805_02099_SYSTEM_000_008","特殊商品兌換員那裡追加了新的道具。
可以兌換「護符」了。"
52,"TEXT_HEAVNY805_02099_SYSTEM_000_009","護符是採掘師和園藝師專用的道具。
使用與區域及職業相吻合的護符，
可以獲得和採集有關的狀態效果。"
53,"TEXT_HEAVNY805_02099_SYSTEM_000_010","在此狀態效果中，
有時可以發現可能採集到稀有道具的「隱密採集地點」。"
54,"TEXT_HEAVNY805_02099_TOBANA_000_020","雖然我這裡有些新商品，
不過對你來說還用不到……沒錯！"
55,"TEXT_HEAVNY805_02099_SYSTEM_000_021","若要領取或繼續推進本任務，
需要任意採集職業達到60級以上，且當前職業為大地使者。"
56,"TEXT_HEAVNY805_02099_LUBOBO_000_000","（未使用/預計刪除）"
57,"TEXT_HEAVNY805_02099_LUBOBO_000_001","（未使用/預計刪除）"
58,"TEXT_HEAVNY805_02099_LUBOBO_000_002","（未使用/預計刪除）"
59,"TEXT_HEAVNY805_02099_LUBOBO_000_003","（未使用/預計刪除）"
60,"TEXT_HEAVNY805_02099_LUBOBO_000_004","（未使用/預計刪除）"
61,"TEXT_HEAVNY805_02099_LUBOBO_000_005","（未使用/預計刪除）"
62,"TEXT_HEAVNY805_02099_LUBOBO_000_006","（未使用/預計刪除）"
63,"TEXT_HEAVNY805_02099_TOBANA_000_001","（未使用/預計刪除）"
64,"TEXT_HEAVNY805_02099_TOBANA_000_003","（未使用/預計刪除）"
65,"TEXT_HEAVNY805_02099_TOBANA_000_004","（未使用/預計刪除）"
66,"TEXT_HEAVNY805_02099_TOBANA_000_005","（未使用/預計刪除）"
67,"TEXT_HEAVNY805_02099_SYSTEM_000_011","（未使用/預計刪除）"
68,"TEXT_HEAVNY805_02099_SYSTEM_000_012","（未使用/預計刪除）"
