key,0,1
#,,
int32,str,str
0,"TEXT_BANVAN005_02168_SEQ_00","<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>特殊規則： 等級調整（限定職業）<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
西風島的利努瓦利好像充滿了幹勁。"
1,"TEXT_BANVAN005_02168_SEQ_01","※本任務為<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow><UIGlow>01</UIGlow><UIForeground>01</UIForeground> 等級調整（限定職業）任務，
　需要與接受任務時的職業相同才可繼續進行任務。

前情回顧：
冒險者與利努瓦利一起，救出了她的哥哥利努瓦努。就在這時，有大量溫杜族的雜兵向他們襲來。最終，兄妹二人跳了一支心有靈犀的太陽之舞，順利將敵人趕走。與心有靈犀之人一起跳太陽之舞的話，會比一個人跳的時候強大好幾倍。利努瓦努成為了納基袞杜部落的長老。可是，利努瓦努並不是很喜歡尊杜族，袞杜族與尊杜族之間瀰漫著一股緊張的氣息。
　　　　　　　　　　　　*　*　*
利努瓦利為了搞好兩氏族之間的關係，決定在納基袞杜部落設宴招待尊杜族。利努瓦利委託冒險者前去尋找烹調釣上來的魚所需要的調味料。前往阿巴拉提亞雲海的瓦納溫杜部落，獲取<Sheet(EventItem,2001903,0)/>。"
2,"TEXT_BANVAN005_02168_SEQ_02","獲得了<Sheet(EventItem,2001903,0)/>。利努瓦利為釣魚前往了沃仙曦染，將<Sheet(EventItem,2001903,0)/>交給西風島的群雲利努瓦努。"
3,"TEXT_BANVAN005_02168_SEQ_03","將<Sheet(EventItem,2001903,0)/>交給了利努瓦努。利努瓦努好像很擔心妹妹。前往阿巴拉提亞雲海的沃仙曦染，尋找利努瓦利。"
4,"TEXT_BANVAN005_02168_SEQ_04","討伐了襲擊利努瓦利的魔物。和沃仙曦染的利努瓦利談談。"
5,"TEXT_BANVAN005_02168_SEQ_05","和利努瓦利進行了交談。雖然被魔物襲擊了，可她還是成功釣上了大魚。和回到西風島的利努瓦利談談。"
6,"TEXT_BANVAN005_02168_SEQ_06","和利努瓦利進行了交談。看來宴會的料理大家都很滿意，兩氏族之間的關係也有所改善。希望能繼續這麼平安無事下去，順利完成村子的重建……"
7,"TEXT_BANVAN005_02168_SEQ_07",""
8,"TEXT_BANVAN005_02168_SEQ_08",""
