key,0,1
#,,
int32,str,str
0,"TEXT_FESHLW203_02151_SEQ_00","※本任務是特定期間內的任務。

林場水車，冒險者行會的調查員又掌握到了新的情報。"
1,"TEXT_FESHLW203_02151_SEQ_01","※本任務只有在季節活動開放期間才能接受和進行。
　季節活動結束後無法進行，敬請注意。
　詳情請參閱官方網站。

和冒險者行會的調查員進行了交談。據說有人在彎枝牧場目擊到了向孩子們搭話的奇術師們。前往中央林區彎枝牧場，和冒險者行會的調查員對話。"
2,"TEXT_FESHLW203_02151_SEQ_02","和冒險者行會的調查員進行了交談。雖然沒有變身成魔物的孩子，但如果不尋找抵抗變身魔法的方法的話，是無法避免悲慘事再發生的。在彎枝牧場尋找不知從哪裡傳來的聲音的主人。"
3,"TEXT_FESHLW203_02151_SEQ_03","和聲音的主人——南瓜頭女人進行了交談。騎上<Sheet(EventItem,2001897,0)/>施加清掃魔咒的話，就可以令變身魔法失效了。騎上<Sheet(EventItem,2001897,0)/>，向彎枝牧場的妖異的小頑童們施加清掃魔咒。"
4,"TEXT_FESHLW203_02151_SEQ_04","向彎枝牧場的妖異的小頑童們施加了清掃魔咒，成功令變身魔法失效了。向彎枝牧場的冒險者行會的調查員報告。"
5,"TEXT_FESHLW203_02151_SEQ_05","向冒險者行會的調查員報告完畢。還有一個孩子被變身成了魔物。和彎枝牧場的南瓜頭女人談談。"
6,"TEXT_FESHLW203_02151_SEQ_06","和彎枝牧場的南瓜頭女人進行了交談。據說<Sheet(EventItem,2001896,0)/>只有在被變身後短時間內吃下才有效果，而現在重新烤已經來不及了。不過，如果燒掉<Sheet(EventItem,2001897,0)/>，將灰燼撒在身上的話就可以恢復原樣。用彎枝牧場的<Sheet(EObj,2006593,0)/>燒掉<Sheet(EventItem,2001897,0)/>，獲取<Sheet(EventItem,2001898,0)/>。"
7,"TEXT_FESHLW203_02151_SEQ_07","燒掉<Sheet(EventItem,2001897,0)/>獲得了<Sheet(EventItem,2001898,0)/>。在彎枝牧場尋找束手無策的小頑童，使用<Sheet(EventItem,2001898,0)/>。"
8,"TEXT_FESHLW203_02151_SEQ_08","對束手無策的小頑童使用了<Sheet(EventItem,2001898,0)/>，成功讓孩子恢復了原樣。向彎枝牧場的冒險者行會的調查員報告。"
