key,0,1
#,,
int32,str,str
0,"TEXT_BANGNA302_02262_SEQ_00","<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>特殊規則： 等級調整（限定職業）<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
自由腦巢穴的眼神好費解地歪著頭。"
1,"TEXT_BANGNA302_02262_SEQ_01","※本任務為<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow><UIGlow>01</UIGlow><UIForeground>01</UIForeground> 等級調整（限定職業）任務，
　需要與接受任務時的職業相同才可繼續進行任務。

眼神好委託冒險者收集供給尾羽部落的煙草。在荒煙野地獲取3株<Sheet(EventItem,2001952,0)/>。"
2,"TEXT_BANGNA302_02262_SEQ_02","獲取了3株<Sheet(EventItem,2001952,0)/>。將<Sheet(EventItem,2001952,0)/>交給自由腦巢穴的眼神好。"
3,"TEXT_BANGNA302_02262_SEQ_03","將<Sheet(EventItem,2001952,0)/>交給了眼神好。他立刻做出了<Sheet(EventItem,2001953,0)/>，並委託冒險者將其送到尾羽部落。將<Sheet(EventItem,2001953,0)/>交給尾羽部落的盧帕爾和格里莫爾德。"
4,"TEXT_BANGNA302_02262_SEQ_04","將<Sheet(EventItem,2001953,0)/>交給了盧帕爾和格里莫爾德。向自由腦巢穴的眼神好報告。"
5,"TEXT_BANGNA302_02262_SEQ_05","向眼神好報告完畢。他也試著吸了一口煙，結果就咳嗽了起來。於是他決定勸告人類客人為身體著想，少抽一些。"
6,"TEXT_BANGNA302_02262_SEQ_06",""
7,"TEXT_BANGNA302_02262_SEQ_07",""
8,"TEXT_BANGNA302_02262_SEQ_08",""
9,"TEXT_BANGNA302_02262_SEQ_09",""
10,"TEXT_BANGNA302_02262_SEQ_10",""
11,"TEXT_BANGNA302_02262_SEQ_11",""
12,"TEXT_BANGNA302_02262_SEQ_12",""
13,"TEXT_BANGNA302_02262_SEQ_13",""
14,"TEXT_BANGNA302_02262_SEQ_14",""
15,"TEXT_BANGNA302_02262_SEQ_15",""
16,"TEXT_BANGNA302_02262_SEQ_16",""
17,"TEXT_BANGNA302_02262_SEQ_17",""
18,"TEXT_BANGNA302_02262_SEQ_18",""
19,"TEXT_BANGNA302_02262_SEQ_19",""
20,"TEXT_BANGNA302_02262_SEQ_20",""
