key,0,1
#,,
int32,str,str
0,"TEXT_HEAVND103_02244_SEQ_00","不潔三塔的阿爾菲諾想要出發。"
1,"TEXT_HEAVND103_02244_SEQ_01","阿爾菲諾率先帶領艾默里克前往索姆阿爾靈峰的峰頂了。和德拉瓦尼亞雲海莫古利之家的艾默里克談談。"
2,"TEXT_HEAVND103_02244_SEQ_02","在和艾默里克交談的時候，莫古唐突然出現了。為了呼喚出聖龍，在德拉瓦尼亞雲海天極白堊宮的<Sheet(EObj,2006956,0)/>吹響喇叭。"
3,"TEXT_HEAVND103_02244_SEQ_03","在<Sheet(EObj,2006956,0)/>吹響了喇叭，並向飛來的聖龍赫拉斯瓦爾格說明了來意。赫拉斯瓦爾格在聽過艾默里克和阿爾菲諾的拼命勸說，以及冒險者和幻龍米德加爾特的話語後有些動搖了。聖龍要在試煉之地確認冒險者等人是否有與邪龍戰鬥的能力。和天極白堊宮的艾默里克談談。"
4,"TEXT_HEAVND103_02244_SEQ_04","和艾默里克進行了交談。為了前往試煉之地，和天極白堊宮負責帶路的美麗的飛龍談談。"
5,"TEXT_HEAVND103_02244_SEQ_05","和美麗的飛龍進行了交談。前往天龍宮殿憶罪宮，接受聖龍的試煉。

※調查進入點選擇「和輔助隊員進入」，或選擇設定選單裡的「劇情輔助器」，可以和非玩家同伴一同進入副本。
※和玩家一同進入時請透過任務搜尋器參加。"
6,"TEXT_HEAVND103_02244_SEQ_06","突破了天龍宮殿憶罪宮。回到德拉瓦尼亞雲海的天極白堊宮，聽取赫拉斯瓦爾格的回答。"
7,"TEXT_HEAVND103_02244_SEQ_07","赫拉斯瓦爾格認可了冒險者等人的實力和決心，發誓要與邪龍一戰。和天極白堊宮的阿爾菲諾談談。"
8,"TEXT_HEAVND103_02244_SEQ_08","在和阿爾菲諾進行交談之時，傳來了邪龍的咆哮聲。邪龍尼德霍格終於開始進軍了。踏上最終決戰的戰場，給龍詩戰爭畫下一個句號。"
9,"TEXT_HEAVND103_02244_SEQ_09",""
10,"TEXT_HEAVND103_02244_SEQ_10",""
11,"TEXT_HEAVND103_02244_SEQ_11",""
12,"TEXT_HEAVND103_02244_SEQ_12",""
13,"TEXT_HEAVND103_02244_SEQ_13",""
14,"TEXT_HEAVND103_02244_SEQ_14",""
