key,0,1
#,,
int32,str,str
0,"TEXT_BANMOG503_02309_SEQ_00","<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>特殊規則： 等級調整<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
憶念廣場的機靈的莫古艾克看起來心神不定的樣子。"
1,"TEXT_BANMOG503_02309_SEQ_01","※本任務為<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow><UIGlow>01</UIGlow><UIForeground>01</UIForeground> 等級調整任務。

為了使飛龍港的生產裝置再次運轉，機靈的莫古艾克委託冒險者和維伊·亞福一起處理一下。為了騎上維伊·亞福，和憶念廣場的藍翼幼龍談談。"
2,"TEXT_BANMOG503_02309_SEQ_02","和藍翼幼龍進行了交談，騎上了維伊·亞福。騎著維伊·亞福，對飛龍港的<Sheet(EObj,2007275,0)/>使用咆哮。

※和憶念廣場的藍翼幼龍對話即可騎乘維伊·亞福。"
3,"TEXT_BANMOG503_02309_SEQ_03","對<Sheet(EObj,2007275,0)/>使用了咆哮，注入了魔力。騎著維伊·亞福，對飛龍港的第2個<Sheet(EObj,2007275,0)/>使用咆哮。"
4,"TEXT_BANMOG503_02309_SEQ_04","對<Sheet(EObj,2007275,0)/>使用了咆哮，注入了魔力。騎著維伊·亞福，對飛龍港的第3個<Sheet(EObj,2007275,0)/>使用咆哮。"
5,"TEXT_BANMOG503_02309_SEQ_05","對<Sheet(EObj,2007275,0)/>使用了咆哮，注入了魔力。騎著維伊·亞福，對飛龍港的第4個<Sheet(EObj,2007275,0)/>使用咆哮。"
6,"TEXT_BANMOG503_02309_SEQ_06","對<Sheet(EObj,2007275,0)/>使用了咆哮，注入了魔力。向憶念廣場的機靈的莫古艾克報告。"
7,"TEXT_BANMOG503_02309_SEQ_07","向莫古艾克報告完畢。莫古艾克認為，千年前製造了<Sheet(EObj,2007275,0)/>的人類和龍族如果知道裝置再次被使用了一定會很高興。"
8,"TEXT_BANMOG503_02309_SEQ_08",""
9,"TEXT_BANMOG503_02309_SEQ_09",""
10,"TEXT_BANMOG503_02309_SEQ_10",""
11,"TEXT_BANMOG503_02309_SEQ_11",""
12,"TEXT_BANMOG503_02309_SEQ_12",""
13,"TEXT_BANMOG503_02309_SEQ_13",""
14,"TEXT_BANMOG503_02309_SEQ_14",""
