key,0,1
#,,
int32,str,str
0,"TEXT_JOBREL402_02381_SEQ_00","田園郡的安格萊特好像在等待冒險者向她搭話。"
1,"TEXT_JOBREL402_02381_SEQ_01","安格萊特希望用<Sheet(Item,16064,0)/>交換<Sheet(EventItem,2002021,0)/>。冒險者帶著<Sheet(EventItem,2002020,0)/>回憶自己經歷過的慘烈戰鬥，即可令<Sheet(EventItem,2002021,0)/>誕生。攜帶<Sheet(EventItem,2002020,0)/>完成「隨機任務：拾級迷宮」，獲取<Sheet(EventItem,2002021,0)/>。

※只有在接受任務的狀態下完成「隨機任務：拾級迷宮」，才能獲得<Sheet(EventItem,2002021,0)/>。"
2,"TEXT_JOBREL402_02381_SEQ_02","獲得了<Sheet(EventItem,2002021,0)/>。將<Sheet(EventItem,2002021,0)/>交給田園郡的安格萊特。"
3,"TEXT_JOBREL402_02381_SEQ_03","將<Sheet(EventItem,2002021,0)/>交給了安格萊特，獲得了<Sheet(Item,16064,0)/>。她是要使用靈布製作幫人宣洩怨恨的詛咒人偶。下次有機會時，可以再次接受她的委託。

※本任務可重複進行。本任務每天最多可完成1次。完成後，當天無法再次接受。如接受任務後拖延到第二天完成，則會消耗掉完成當天的任務受理限額。

※每天<ResetTime>01</ResetTime><If(TopLevelParameter(218))><Switch(TopLevelParameter(218))><Case(1)>1</Case><Case(2)>2</Case><Case(3)>3</Case><Case(4)>4</Case><Case(5)>5</Case><Case(6)>6</Case><Case(7)>7</Case><Case(8)>8</Case><Case(9)>9</Case><Case(10)>10</Case><Case(11)>11</Case><Case(12)>12</Case><Case(13)>13</Case><Case(14)>14</Case><Case(15)>15</Case><Case(16)>16</Case><Case(17)>17</Case><Case(18)>18</Case><Case(19)>19</Case><Case(20)>20</Case><Case(21)>21</Case><Case(22)>22</Case><Case(23)>23</Case></Switch><Else/>0</If>點（地球時間）之後可以再次進行挑戰。請在重置前耐心等待。"
4,"TEXT_JOBREL402_02381_SEQ_04",""
5,"TEXT_JOBREL402_02381_SEQ_05",""
6,"TEXT_JOBREL402_02381_SEQ_06",""
7,"TEXT_JOBREL402_02381_SEQ_07",""
8,"TEXT_JOBREL402_02381_SEQ_08",""
9,"TEXT_JOBREL402_02381_SEQ_09",""
10,"TEXT_JOBREL402_02381_SEQ_10",""
