key,0,1
#,,
int32,str,str
0,"TEXT_CLSMIN601_02554_SEQ_00","採掘師行會的阿達爾博塔又有工作想要介紹給冒險者。"
1,"TEXT_CLSMIN601_02554_SEQ_01","前情回顧：
阿達爾博塔介紹給冒險者的工作原來是和迅風傭兵團一起進行資源調查。透過冒險者的卓越表現，迅風傭兵團的資源調查進展順利。但在一次資源調查的時候，傭兵團的團員卻突然失蹤了。冒險者用採到的傳說中的礦石和哥布林族作為交換讓他們帶路。最終成功找到了團員。
　　　　　　　　　　　　*　*　*
阿達爾博塔給冒險者介紹了在田園郡工坊的工作。想要接受工作的話，必須先領取身份擔保書。和採掘師行會的琳內特談談。"
2,"TEXT_CLSMIN601_02554_SEQ_02","從琳內特那裡得到了<Sheet(EventItem,2002057,0)/>。將<Sheet(EventItem,2002057,0)/>交給田園郡乙太之光廣場的諾諾瓦特。"
3,"TEXT_CLSMIN601_02554_SEQ_03","將<Sheet(EventItem,2002057,0)/>交給了諾諾瓦特。工坊的主任會說明詳細的工作內容。和斯提克奇克斯工坊的斯提克奇克斯談談。"
4,"TEXT_CLSMIN601_02554_SEQ_04","和斯提克奇克斯進行了交談。原來他想拜託冒險者的工作是為最先進技術開發研究組——最技研開發中的蒸氣滾輪準備所需的礦石。和乙太之光廣場的諾諾瓦特談談。"
5,"TEXT_CLSMIN601_02554_SEQ_05","和諾諾瓦特進行了交談。等工坊挑選出需要的礦石並進行優先度分類之後再找他們。

※採掘師的等級達到63級以上時，可以從田園郡的諾諾瓦特那裡領取下一個採掘師任務。"
6,"TEXT_CLSMIN601_02554_SEQ_06",""
7,"TEXT_CLSMIN601_02554_SEQ_07",""
8,"TEXT_CLSMIN601_02554_SEQ_08",""
9,"TEXT_CLSMIN601_02554_SEQ_09",""
10,"TEXT_CLSMIN601_02554_SEQ_10",""
11,"TEXT_CLSMIN601_02554_SEQ_11",""
12,"TEXT_CLSMIN601_02554_SEQ_12",""
13,"TEXT_CLSMIN601_02554_SEQ_13",""
14,"TEXT_CLSMIN601_02554_SEQ_14",""
15,"TEXT_CLSMIN601_02554_SEQ_15",""
16,"TEXT_CLSMIN601_02554_SEQ_16",""
17,"TEXT_CLSMIN601_02554_SEQ_17",""
18,"TEXT_CLSMIN601_02554_SEQ_18",""
