key,0,1
#,,
int32,str,str
0,"TEXT_JOBBRD630_02891_SEQ_00","帝國東方堡的桑松大牙士對努爾瓦爾感到十分棘手。"
1,"TEXT_JOBBRD630_02891_SEQ_01","努爾瓦爾表示，由於吉德洛遊手好閒，所以他才親自到處打聽消息。在帝國東方堡尋找吉德洛。"
2,"TEXT_JOBBRD630_02891_SEQ_02","吉德洛反過來委託冒險者協助自己。在基拉巴尼亞邊區尋找往東北方開宗堂方向的雙蛇黨斥候。"
3,"TEXT_JOBBRD630_02891_SEQ_03","雙蛇黨斥候被一群蒙面人包圍了。在基拉巴尼亞邊區的尖槍瀑布救助雙蛇黨斥候。"
4,"TEXT_JOBBRD630_02891_SEQ_04","蒙面人似乎是想要拖住雙蛇黨斥候。向帝國東方堡的吉德洛報告。"
5,"TEXT_JOBBRD630_02891_SEQ_05","根據吉德洛打聽來的情報得知，努爾瓦爾時常偷偷溜到外面去。雖然不知道他有什麼企圖，但不能大意，要隨時做好戰鬥的準備。

※吟遊詩人的等級達到65級以上時，可以從帝國東方堡的桑松大牙士那裡領取下一個吟遊詩人任務。"
6,"TEXT_JOBBRD630_02891_SEQ_06",""
7,"TEXT_JOBBRD630_02891_SEQ_07",""
8,"TEXT_JOBBRD630_02891_SEQ_08",""
9,"TEXT_JOBBRD630_02891_SEQ_09",""
10,"TEXT_JOBBRD630_02891_SEQ_10",""
11,"TEXT_JOBBRD630_02891_SEQ_11",""
12,"TEXT_JOBBRD630_02891_SEQ_12",""
13,"TEXT_JOBBRD630_02891_SEQ_13",""
14,"TEXT_JOBBRD630_02891_SEQ_14",""
15,"TEXT_JOBBRD630_02891_SEQ_15",""
16,"TEXT_JOBBRD630_02891_SEQ_16",""
17,"TEXT_JOBBRD630_02891_SEQ_17",""
18,"TEXT_JOBBRD630_02891_SEQ_18",""
19,"TEXT_JOBBRD630_02891_SEQ_19",""
20,"TEXT_JOBBRD630_02891_SEQ_20",""
21,"TEXT_JOBBRD630_02891_SEQ_21",""
22,"TEXT_JOBBRD630_02891_SEQ_22",""
23,"TEXT_JOBBRD630_02891_SEQ_23",""
24,"TEXT_JOBBRD630_02891_TODO_00","尋找吉德洛"
25,"TEXT_JOBBRD630_02891_TODO_01","尋找雙蛇黨斥候"
