key,0,1
#,,
int32,str,str
0,"TEXT_BANANA001_03036_SEQ_00","<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>特殊規則： 等級調整（限定職業）<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
對等石的梅·拉茲·努恩有事想要告訴冒險者。"
1,"TEXT_BANANA001_03036_SEQ_01","※本任務為<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow><UIGlow>01</UIGlow><UIForeground>01</UIForeground> 等級調整（限定職業）任務，
　需要與接受任務時的職業相同才可繼續進行任務。

從梅·拉茲·努恩處得知了薩利夏正在尋找冒險者。前往基拉巴尼亞邊區的勇巢，和薩利夏談談。"
2,"TEXT_BANANA001_03036_SEQ_02","薩利夏想要把參加了解放軍的女兒阿露帕叫回勇巢來。將<Sheet(EventItem,2002425,0)/>交給神拳痕的阿露帕。"
3,"TEXT_BANANA001_03036_SEQ_03","阿露帕就任了新設立的國境警備隊的隊長，因此暫時不會回勇巢。而且阿露帕也有事想和冒險者商量。和威羅迪納基地的阿露帕談談。"
4,"TEXT_BANANA001_03036_SEQ_04","和阿露帕進行了交談。國境警備隊為了解決人手不足的問題，準備把一部分任務交給冒險者們。阿露帕的母親薩利夏表示，等到自己下次蛻皮結束時，如果威羅迪納大橋還沒辦法變成足以守護國境的關口的話，就會去把女兒帶回勇巢。作為國境警備隊成立的標誌，威羅迪納大橋升起了隊旗。支援警備隊長阿露帕，為今後關口的發展出力吧！"
5,"TEXT_BANANA001_03036_SEQ_05",""
6,"TEXT_BANANA001_03036_SEQ_06",""
7,"TEXT_BANANA001_03036_SEQ_07",""
8,"TEXT_BANANA001_03036_SEQ_08",""
9,"TEXT_BANANA001_03036_SEQ_09",""
10,"TEXT_BANANA001_03036_SEQ_10",""
11,"TEXT_BANANA001_03036_SEQ_11",""
12,"TEXT_BANANA001_03036_SEQ_12",""
13,"TEXT_BANANA001_03036_SEQ_13",""
14,"TEXT_BANANA001_03036_SEQ_14",""
15,"TEXT_BANANA001_03036_SEQ_15",""
16,"TEXT_BANANA001_03036_SEQ_16",""
17,"TEXT_BANANA001_03036_SEQ_17",""
18,"TEXT_BANANA001_03036_SEQ_18",""
19,"TEXT_BANANA001_03036_SEQ_19",""
20,"TEXT_BANANA001_03036_SEQ_20",""
