key,0,1
#,,
int32,str,str
0,"TEXT_STMBDY503_03141_SEQ_00","多瑪飛地的小櫻繼續努力地工作著。"
1,"TEXT_STMBDY503_03141_SEQ_01","小櫻委託冒險者協助進行新的多瑪飛地重建計畫。和多瑪飛地的百貨市場的三葉交談。"
2,"TEXT_STMBDY503_03141_SEQ_02","和三葉進行了交談。和車前會所的小櫻交談。"
3,"TEXT_STMBDY503_03141_SEQ_03","和小櫻進行了交談。將不需要的東西出讓給她們，為多瑪飛地的重建做出貢獻！"
4,"TEXT_STMBDY503_03141_SEQ_04",""
5,"TEXT_STMBDY503_03141_SEQ_05",""
6,"TEXT_STMBDY503_03141_SEQ_06",""
7,"TEXT_STMBDY503_03141_SEQ_07",""
8,"TEXT_STMBDY503_03141_SEQ_08",""
9,"TEXT_STMBDY503_03141_SEQ_09",""
10,"TEXT_STMBDY503_03141_SEQ_10",""
11,"TEXT_STMBDY503_03141_SEQ_11",""
12,"TEXT_STMBDY503_03141_SEQ_12",""
13,"TEXT_STMBDY503_03141_SEQ_13",""
14,"TEXT_STMBDY503_03141_SEQ_14",""
15,"TEXT_STMBDY503_03141_SEQ_15",""
16,"TEXT_STMBDY503_03141_SEQ_16",""
17,"TEXT_STMBDY503_03141_SEQ_17",""
18,"TEXT_STMBDY503_03141_SEQ_18",""
19,"TEXT_STMBDY503_03141_SEQ_19",""
20,"TEXT_STMBDY503_03141_SEQ_20",""
21,"TEXT_STMBDY503_03141_SEQ_21",""
22,"TEXT_STMBDY503_03141_SEQ_22",""
23,"TEXT_STMBDY503_03141_SEQ_23",""
24,"TEXT_STMBDY503_03141_TODO_00","和三葉對話"
25,"TEXT_STMBDY503_03141_TODO_01","和小櫻對話"
26,"TEXT_STMBDY503_03141_TODO_02",""
27,"TEXT_STMBDY503_03141_TODO_03",""
28,"TEXT_STMBDY503_03141_TODO_04",""
29,"TEXT_STMBDY503_03141_TODO_05",""
30,"TEXT_STMBDY503_03141_TODO_06",""
31,"TEXT_STMBDY503_03141_TODO_07",""
32,"TEXT_STMBDY503_03141_TODO_08",""
33,"TEXT_STMBDY503_03141_TODO_09",""
34,"TEXT_STMBDY503_03141_TODO_10",""
35,"TEXT_STMBDY503_03141_TODO_11",""
36,"TEXT_STMBDY503_03141_TODO_12",""
