key,0,1
#,,
int32,str,str
0,"TEXT_LUCKLA103_03229_SEQ_00","伊奧拉想要對冒險者表達感謝。"
1,"TEXT_LUCKLA103_03229_SEQ_01","和伊奧拉進行了交談。多虧了以往開發的新商品，黑鐵工坊能夠繼續經營一段時間了。和水晶都彷徨階梯亭的艾斯蒙談談。"
2,"TEXT_LUCKLA103_03229_SEQ_02","和艾斯蒙進行了交談。艾斯蒙、科拉娜、素·任德3人嘗試為伊奧拉取回遺物的戒指，但是以失敗告終。可是尼伊·麻恩想到了取回戒指的好方法。以<Sheet(Item,27238,0)/>為原料，製作出<Sheet(ItemHQ,27239,0)/>，交給彷徨階梯亭的艾斯蒙。

※如果<Sheet(Item,27238,0)/>不足，可以與尼伊·麻恩的使魔對話重新獲得材料，並再次進行挑戰。"
3,"TEXT_LUCKLA103_03229_SEQ_03","將<Sheet(ItemHQ,27239,0)/>交給了艾斯蒙。和宇宙和音的瓦爾登談談。"
4,"TEXT_LUCKLA103_03229_SEQ_04","和瓦爾登進行了交談。最初不打算歸還遺物戒指的瓦爾登在拿到了按照尼伊·麻恩的要求製作的戒指後，很爽快地就把遺物戒指還了回來。和彷徨階梯亭的艾斯蒙談談。"
5,"TEXT_LUCKLA103_03229_SEQ_05","和艾斯蒙進行了交談。邀請了以往和黑鐵工坊做過交易的顧客，舉辦了慰勞會。在此期間艾斯蒙等三位工匠將從瓦爾登那裡要回來的戒指送給了伊奧拉。伊奧拉面對三位工匠以及冒險者為自己取回戒指而奮鬥過的情誼感激落淚，看來伊奧拉終於發覺到即使是在失去父親一個人獨自生活後，也還是會有在意自己的家人。和中庸工藝館的伊奧拉談談。"
6,"TEXT_LUCKLA103_03229_SEQ_06","伊奧拉向冒險者發誓。今後將只靠自己和夥伴一起守護好工坊。雖然是一群看起來有些奇怪的傢伙們，但是只要是和這三個人一起的話，不管是何種苦難也會撐過去的。如果冒險者開始懷念喧鬧的黑鐵工坊的人們時，可以再次拜訪這裡。"
7,"TEXT_LUCKLA103_03229_SEQ_07",""
8,"TEXT_LUCKLA103_03229_SEQ_08",""
9,"TEXT_LUCKLA103_03229_SEQ_09",""
10,"TEXT_LUCKLA103_03229_SEQ_10",""
11,"TEXT_LUCKLA103_03229_SEQ_11",""
