key,0,1
#,,
int32,str,str
0,"TEXT_LUCKZA101_03371_SEQ_00","<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>特殊規則： 等級調整<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
工匠村的尤麗絲正在等待旅行者的到來。"
1,"TEXT_LUCKZA101_03371_SEQ_01","※本任務為<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow><UIGlow>01</UIGlow><UIForeground>01</UIForeground> 等級調整任務。

和尤麗絲進行了交談。尤麗絲為了去見村外的熟人，委託冒險者保護自己。在工匠村附近，如果尤麗絲遇到了襲擊就打倒出現的魔物。"
2,"TEXT_LUCKZA101_03371_SEQ_02","討伐了魔物。救助工匠村附近的尤麗絲。"
3,"TEXT_LUCKZA101_03371_SEQ_03","救助了尤麗絲。和觀石塔的尤麗絲談談。"
4,"TEXT_LUCKZA101_03371_SEQ_04","和尤麗絲進行了交談。遇到了尤麗絲的父親克里夫托爾的朋友塞·琉柯。作為擔任工匠村村長的條件，他提出了3個請求。尤麗絲打算聽從他的請求。和工匠村的尤麗絲談談。"
5,"TEXT_LUCKZA101_03371_SEQ_05","和尤麗絲進行了交談。從村民那裡借來了鐮刀，並聽取了過去在工匠村發生的慘劇。和觀石塔的尤麗絲談談。"
6,"TEXT_LUCKZA101_03371_SEQ_06","和尤麗絲進行了交談。為了關懷深受心裡創傷的工匠村村民，繼續協助尤麗絲。"
7,"TEXT_LUCKZA101_03371_SEQ_07",""
8,"TEXT_LUCKZA101_03371_SEQ_08",""
9,"TEXT_LUCKZA101_03371_SEQ_09",""
10,"TEXT_LUCKZA101_03371_SEQ_10",""
11,"TEXT_LUCKZA101_03371_SEQ_11",""
12,"TEXT_LUCKZA101_03371_SEQ_12",""
13,"TEXT_LUCKZA101_03371_SEQ_13",""
14,"TEXT_LUCKZA101_03371_SEQ_14",""
15,"TEXT_LUCKZA101_03371_SEQ_15",""
16,"TEXT_LUCKZA101_03371_SEQ_16",""
17,"TEXT_LUCKZA101_03371_SEQ_17",""
18,"TEXT_LUCKZA101_03371_SEQ_18",""
19,"TEXT_LUCKZA101_03371_SEQ_19",""
20,"TEXT_LUCKZA101_03371_SEQ_20",""
21,"TEXT_LUCKZA101_03371_SEQ_21",""
