key,0,1
#,,
int32,str,str
0,"TEXT_LUCKZH007_03517_SEQ_00","<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>特殊規則： 等級調整<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
廢船街東南附近的索麗娜好像想找人幫忙尋找戀人。"
1,"TEXT_LUCKZH007_03517_SEQ_01",""
2,"TEXT_LUCKZH007_03517_SEQ_02",""
3,"TEXT_LUCKZH007_03517_SEQ_03",""
4,"TEXT_LUCKZH007_03517_SEQ_04",""
5,"TEXT_LUCKZH007_03517_SEQ_05",""
6,"TEXT_LUCKZH007_03517_SEQ_06",""
7,"TEXT_LUCKZH007_03517_SEQ_07",""
8,"TEXT_LUCKZH007_03517_SEQ_08",""
9,"TEXT_LUCKZH007_03517_SEQ_09",""
10,"TEXT_LUCKZH007_03517_SEQ_10",""
11,"TEXT_LUCKZH007_03517_SEQ_11",""
12,"TEXT_LUCKZH007_03517_SEQ_12",""
13,"TEXT_LUCKZH007_03517_SEQ_13",""
14,"TEXT_LUCKZH007_03517_SEQ_14",""
15,"TEXT_LUCKZH007_03517_SEQ_15",""
16,"TEXT_LUCKZH007_03517_SEQ_16",""
17,"TEXT_LUCKZH007_03517_SEQ_17",""
18,"TEXT_LUCKZH007_03517_SEQ_18",""
19,"TEXT_LUCKZH007_03517_SEQ_19",""
20,"TEXT_LUCKZH007_03517_SEQ_20",""
21,"TEXT_LUCKZH007_03517_SEQ_21",""
22,"TEXT_LUCKZH007_03517_SEQ_22",""
23,"TEXT_LUCKZH007_03517_SEQ_23",""
24,"TEXT_LUCKZH007_03517_TODO_00","在碎貝海岸附近尋找藍頭髮的好青年"
25,"TEXT_LUCKZH007_03517_TODO_01","救助藍頭髮的好青年"
26,"TEXT_LUCKZH007_03517_TODO_02","和廢船街的藍頭髮的好青年對話"
27,"TEXT_LUCKZH007_03517_TODO_03",""
28,"TEXT_LUCKZH007_03517_TODO_04",""
29,"TEXT_LUCKZH007_03517_TODO_05",""
30,"TEXT_LUCKZH007_03517_TODO_06",""
31,"TEXT_LUCKZH007_03517_TODO_07",""
32,"TEXT_LUCKZH007_03517_TODO_08",""
33,"TEXT_LUCKZH007_03517_TODO_09",""
34,"TEXT_LUCKZH007_03517_TODO_10",""
35,"TEXT_LUCKZH007_03517_TODO_11",""
36,"TEXT_LUCKZH007_03517_TODO_12",""
37,"TEXT_LUCKZH007_03517_TODO_13",""
38,"TEXT_LUCKZH007_03517_TODO_14",""
39,"TEXT_LUCKZH007_03517_TODO_15",""
40,"TEXT_LUCKZH007_03517_TODO_16",""
41,"TEXT_LUCKZH007_03517_TODO_17",""
42,"TEXT_LUCKZH007_03517_TODO_18",""
43,"TEXT_LUCKZH007_03517_TODO_19",""
44,"TEXT_LUCKZH007_03517_TODO_20",""
45,"TEXT_LUCKZH007_03517_TODO_21",""
46,"TEXT_LUCKZH007_03517_TODO_22",""
47,"TEXT_LUCKZH007_03517_TODO_23",""
48,"TEXT_LUCKZH007_03517_SOLINA_000_000","剛才讓你看笑話了，不好意思……
找人的事就拜託你了。"
49,"TEXT_LUCKZH007_03517_SOLINA_000_001","我再去廢船街那邊找找，
請你去珂露西亞島海岸附近找找看吧。
說不定他游到了岸邊呢……"
50,"TEXT_LUCKZH007_03517_SOLINA_000_002","他清爽的藍色頭髮很有特點，
笑容十分性感，是個菁靈族的好青年！"
51,"TEXT_LUCKZH007_03517_SOLINA_000_003",""
52,"TEXT_LUCKZH007_03517_BOYFRIEND03517_000_010","得、得救了！
我還以為要完蛋了……謝謝你！"
53,"TEXT_LUCKZH007_03517_BOYFRIEND03517_000_011","這樣啊……索麗娜也平安無事！"
54,"TEXT_LUCKZH007_03517_BOYFRIEND03517_000_012","你能和我一起去遊末邦的廢船街嗎？
我想和索麗娜一起向你道謝。"
55,"TEXT_LUCKZH007_03517_ELFBOY03517_000_013","索麗娜？
我不認識……那是遊末邦的人嗎？"
56,"TEXT_LUCKZH007_03517_ELFBOY03517_000_014","很遺憾，不是我。
遊末邦因為騷亂，很多人都逃跑了，
想找人可是十分困難的。"
57,"TEXT_LUCKZH007_03517_BOYFRIEND03517_000_020","索麗娜！"
58,"TEXT_LUCKZH007_03517_SOLINA_000_021","親愛的！
太好了，你平安無事！"
59,"TEXT_LUCKZH007_03517_BOYFRIEND03517_000_022","我不會拋棄你的。"
60,"TEXT_LUCKZH007_03517_SOLINA_000_023","哇——笨蛋……人家擔心死了！"
61,"TEXT_LUCKZH007_03517_SOLINA_000_024","多虧了你啊！
我們要如何感謝你才好啊……"
62,"TEXT_LUCKZH007_03517_BOYFRIEND03517_000_025","我之前是在那家店做服務生的。
和索麗娜交往的事被總管知道了。
他把我打了一頓還把我開除了，我只能在廢船街貧窮度日……"
63,"TEXT_LUCKZH007_03517_BOYFRIEND03517_000_026","但這次為了找我而出手的
還是總管……這個人真是口不對心啊。"
64,"TEXT_LUCKZH007_03517_SOLINA_000_027","為了報答總管的善意，
今後要更努力工作才行。"
65,"TEXT_LUCKZH007_03517_BOYFRIEND03517_000_028","光讓總管做好人，我的面子掛不住。
這回的報酬就讓我來奉上吧。
真是太謝謝你了！"
66,"TEXT_LUCKZH007_03517_SOLINA_000_029","親愛的！"
