key,0,1
#,,
int32,str,str
0,"TEXT_LUCKHA102_03726_SEQ_00","無名眾人廣場的弗朗塞爾想要向冒險者詢問結果。"
1,"TEXT_LUCKHA102_03726_SEQ_01","向弗朗塞爾傳達了吉布里隆會提供餐食，艾蕾茲會提供大型工具，昂德盧則會考慮派遣工兵前來幫忙。接到委託作為弗朗塞爾的代理人前往街道去解答人們的問題，和無名眾人廣場的豐克里諾談談。"
2,"TEXT_LUCKHA102_03726_SEQ_02","作為總監的代理，與人們進行了交談。與無名眾人廣場的豐克里諾一起等待弗朗塞爾的歸來。"
3,"TEXT_LUCKHA102_03726_SEQ_03","聽弗朗塞爾說應該是能夠得到四大名門的協助。可是突然有一個臉色慌張的少女跑了過來，到底發生了什麼事情……"
4,"TEXT_LUCKHA102_03726_SEQ_04",""
5,"TEXT_LUCKHA102_03726_SEQ_05",""
6,"TEXT_LUCKHA102_03726_SEQ_06",""
7,"TEXT_LUCKHA102_03726_SEQ_07",""
8,"TEXT_LUCKHA102_03726_SEQ_08",""
9,"TEXT_LUCKHA102_03726_SEQ_09",""
10,"TEXT_LUCKHA102_03726_SEQ_10",""
11,"TEXT_LUCKHA102_03726_SEQ_11",""
12,"TEXT_LUCKHA102_03726_SEQ_12",""
13,"TEXT_LUCKHA102_03726_SEQ_13",""
14,"TEXT_LUCKHA102_03726_SEQ_14",""
15,"TEXT_LUCKHA102_03726_SEQ_15",""
16,"TEXT_LUCKHA102_03726_SEQ_16",""
17,"TEXT_LUCKHA102_03726_SEQ_17",""
18,"TEXT_LUCKHA102_03726_SEQ_18",""
19,"TEXT_LUCKHA102_03726_SEQ_19",""
20,"TEXT_LUCKHA102_03726_SEQ_20",""
21,"TEXT_LUCKHA102_03726_SEQ_21",""
22,"TEXT_LUCKHA102_03726_SEQ_22",""
23,"TEXT_LUCKHA102_03726_SEQ_23",""
24,"TEXT_LUCKHA102_03726_TODO_00","和豐克里諾對話"
25,"TEXT_LUCKHA102_03726_TODO_01","再次和豐克里諾對話"
26,"TEXT_LUCKHA102_03726_TODO_02",""
27,"TEXT_LUCKHA102_03726_TODO_03",""
28,"TEXT_LUCKHA102_03726_TODO_04",""
29,"TEXT_LUCKHA102_03726_TODO_05",""
30,"TEXT_LUCKHA102_03726_TODO_06",""
