key,0,1
#,,
int32,str,str
0,"TEXT_AKTKBA521_04128_SEQ_00","伊修加爾德作戰會議室的阿圖瓦雷爾正在等待冒險者的到訪。"
1,"TEXT_AKTKBA521_04128_SEQ_01","和阿圖瓦雷爾進行了交談。艾默里克已經先去與瓦爾緹諾瓦主教見面。與阿圖瓦雷爾一起前往伊修加爾德上層，和聖雷馬諾大聖堂的克萊姆助祭談談。"
2,"TEXT_AKTKBA521_04128_SEQ_02","從克萊姆助祭那裡了解到瓦爾緹諾瓦主教雖然答應了覲見可卻又外出了。在聖雷馬諾大聖堂附近尋找瓦爾緹諾瓦主教。"
3,"TEXT_AKTKBA521_04128_SEQ_03","看到了瓦爾緹諾瓦的過去，得知他的目的是想要再次召喚圓桌騎士。目的敗露的瓦爾緹諾瓦在絕望之中化身為了末日野獸。艾默里克奮力將其討伐，迅速平息了事件，回到作戰會議室和艾默里克談談。
若是離開了作戰會議室，神殿騎士團總部的神殿騎士團的衛兵會帶領冒險者再次前往作戰會議室。"
4,"TEXT_AKTKBA521_04128_SEQ_04","將回溯過去中看到的事情告訴了艾默里克和阿圖瓦雷爾。圓桌騎士的請神過程中出現的複製人是否就是萬德羅。繼續展開調查。

※任意遠程魔法進攻職業的等級達到88級以上時，可以從神殿騎士團總部內作戰會議室的阿圖瓦雷爾那裡領取下一個遠程魔法進攻職能任務。"
5,"TEXT_AKTKBA521_04128_SEQ_05",""
6,"TEXT_AKTKBA521_04128_SEQ_06",""
7,"TEXT_AKTKBA521_04128_SEQ_07",""
8,"TEXT_AKTKBA521_04128_SEQ_08",""
9,"TEXT_AKTKBA521_04128_SEQ_09",""
10,"TEXT_AKTKBA521_04128_SEQ_10",""
11,"TEXT_AKTKBA521_04128_SEQ_11",""
12,"TEXT_AKTKBA521_04128_SEQ_12",""
13,"TEXT_AKTKBA521_04128_SEQ_13",""
14,"TEXT_AKTKBA521_04128_SEQ_14",""
15,"TEXT_AKTKBA521_04128_SEQ_15",""
16,"TEXT_AKTKBA521_04128_SEQ_16",""
17,"TEXT_AKTKBA521_04128_SEQ_17",""
18,"TEXT_AKTKBA521_04128_SEQ_18",""
19,"TEXT_AKTKBA521_04128_SEQ_19",""
20,"TEXT_AKTKBA521_04128_SEQ_20",""
